Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.524,0.086,5.928,0.244
bcc-csm1-1-m,3.469,0.159,5.155,0.286
BNU-ESM,4.84,0.159,6.676,0.227
CanESM2,5.771,0.292,7.448,0.576
CCSM4,4.349,0.345,5.735,0.403
CNRM-CM5,4.041,0.348,5.38,0.552
CSIRO-Mk3-6-0,5.501,0.285,6.191,0.201
GFDL-ESM2M,2.07,0.079,3.791,0.089
GFDL-ESM2G,3.952,-0.058,4.466,-0.041
HadGEM2-CC365,5.291,0.123,7.947,0.054
HadGEM2-ES365,5.874,0.29,8.057,0.266
inmcm4,1.929,0.055,3.402,0.206
IPSL-CM5A-LR,4.398,0.37,6.119,0.243
IPSL-CM5A-MR,5.44,0.069,7.419,0.142
IPSL-CM5B-LR,3.752,0.24,5.152,0.068
MIROC5,5.953,0.254,7.001,0.117
MIROC-ESM,6.882,0.208,8.369,0.057
MIROC-ESM-CHEM,6.735,0.321,8.761,0.699
MRI-CGCM3,1.933,0.214,3.114,0.509
NorESM1-M,5.07,0.203,6.308,0.041
20CMIP5ModelMean,4.589,0.202,6.121,0.247
