Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.441,0.028,5.923,0.752
bcc-csm1-1-m,3.549,-0.623,5.313,0.205
BNU-ESM,4.864,1.471,6.721,1.815
CanESM2,5.626,2.149,7.437,3.135
CCSM4,4.153,0.015,5.644,0.365
CNRM-CM5,3.865,0.674,5.256,1.527
CSIRO-Mk3-6-0,5.363,-0.443,6.102,0.028
GFDL-ESM2M,2.175,0.613,3.912,-0.102
GFDL-ESM2G,3.802,0.674,4.49,1.177
HadGEM2-CC365,4.991,0.345,7.321,-0.628
HadGEM2-ES365,5.326,0.423,7.315,-0.497
inmcm4,2.163,0.502,3.785,0.031
IPSL-CM5A-LR,4.559,-0.758,6.394,-0.471
IPSL-CM5A-MR,5.326,-0.394,7.316,0.018
IPSL-CM5B-LR,3.72,0.707,5.208,0.999
MIROC5,5.866,1.462,6.994,2.087
MIROC-ESM,6.891,1.649,8.367,1.237
MIROC-ESM-CHEM,6.804,1.826,8.808,2.278
MRI-CGCM3,1.986,1.073,3.296,1.576
NorESM1-M,4.792,1.6,6.161,1.384
20CMIP5ModelMean,4.513,0.65,6.088,0.846
