date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.686843,-110.061929,80,0,0,231.3,0,0,0,56.6,0,0,245.6,0,0,0
2020-02-15T15:43:35Z,44.686843,-110.061929,84.6,0,5.8,339.9,0,0,0,56.6,0,0,293.7,0,0,0
2020-03-17T02:12:39Z,44.686843,-110.061929,87.5,72.7,16,305.5,0,0,0,63.7,0,10.4,324.4,0,0,0
2020-04-16T12:41:43Z,44.686843,-110.061929,89,13.7,1.1,416.8,0,0,0,88.9,355.1,30.2,0,2.4,0,2.4
2020-05-16T23:10:47Z,44.686843,-110.061929,88.8,502,72.3,0,11.5,0,11.5,87.1,24.6,50.9,0,30.4,0.4,30
2020-06-16T09:39:51Z,44.686843,-110.061929,83,76.5,96.2,0,58.1,4.8,53.4,78.9,1.2,49.6,0,70.2,3.7,66.5
2020-07-16T20:08:54Z,44.686843,-110.061929,48,0,36.8,0,91.2,28.9,62.5,53.2,0,34.2,0,75.6,21.7,54.3
2020-08-16T06:37:58Z,44.686843,-110.061929,33.1,0,23.8,0,74.2,35.6,38.7,57.5,0,49.7,0,71,15.2,55.6
2020-09-15T17:07:02Z,44.686843,-110.061929,37.5,0,67.4,0,38.3,11.4,26.7,35.9,0,4.7,0,43,22.6,20.3
2020-10-16T03:36:06Z,44.686843,-110.061929,77.1,22,53,1.2,19,1.7,17.1,31.4,0,18.2,36.2,11.3,7.5,4.1
2020-11-15T14:05:10Z,44.686843,-110.061929,89,31.9,23.2,86.5,0,0,0,87.8,24.9,16.1,93.1,0,0,0
2020-12-16T00:34:14Z,44.686843,-110.061929,89,0,0,173,0,0,0,89,0,0,182.6,0,0,0
2021-01-16T05:14:31Z,44.686843,-110.061929,89,0,0,258.8,0,0,0,89,0,0,217.3,0,0,0
2021-02-15T15:43:35Z,44.686843,-110.061929,89,0,0,324.2,0,0,0,89,0,0,266.6,0,0,0
