date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,44.686843,-110.061929,80,0,0,212.5,0,0,0
1980-02-15T15:43:35Z,44.686843,-110.061929,80.9,7.3,1.2,264.6,0,0,0
1980-03-17T02:12:39Z,44.686843,-110.061929,89,0,0,367.5,0,0,0
1980-04-16T12:41:43Z,44.686843,-110.061929,89,399,14,0,1.5,0,1.5
1980-05-16T23:10:47Z,44.686843,-110.061929,88.2,92,91.5,2,24.6,0.2,24.3
1980-06-16T09:39:51Z,44.686843,-110.061929,82.9,42.3,62.3,0,52.7,3.6,49
1980-07-16T20:08:54Z,44.686843,-110.061929,67.2,0,55.7,0,79.6,13.6,66.1
1980-08-16T06:37:58Z,44.686843,-110.061929,51.9,0,51,0.2,56.1,13.7,42
1980-09-15T17:07:02Z,44.686843,-110.061929,81.6,35.6,80.1,0,33.2,2,31.5
1980-10-16T03:36:06Z,44.686843,-110.061929,83.2,21.6,11.1,0,12.3,1.2,11.4
1980-11-15T14:05:10Z,44.686843,-110.061929,88.7,33.2,29.1,42.6,2,0,1.9
1980-12-16T00:34:14Z,44.686843,-110.061929,89,18,2,101.2,0,0,0
1981-01-16T05:14:31Z,44.686843,-110.061929,89,0,0,121.4,0,0,0
1981-02-15T15:43:35Z,44.686843,-110.061929,89,14.2,8.8,184.1,0,0,0
1981-03-18T02:12:39Z,44.686843,-110.061929,89,17.3,6.9,203.8,0,0,0
1981-04-17T12:41:43Z,44.686843,-110.061929,88.8,271.1,33.5,0,4.7,0,4.7
1981-05-17T23:10:47Z,44.686843,-110.061929,88.5,131.5,105,0,21.8,0,21.6
1981-06-17T09:39:51Z,44.686843,-110.061929,86.5,112.9,133.9,0,48.4,0.9,47.2
1981-07-17T20:08:54Z,44.686843,-110.061929,54.4,0,23.2,0,78.7,23.8,54.6
1981-08-17T06:37:58Z,44.686843,-110.061929,33,0,14.6,0,70.5,36.7,33.8
1981-09-16T17:07:02Z,44.686843,-110.061929,25.1,0,22.5,0,41.1,24.7,16.7
1981-10-17T03:36:06Z,44.686843,-110.061929,72.3,17.7,31.1,1.7,3.7,1.1,2.6
1981-11-16T14:05:10Z,44.686843,-110.061929,88.1,21.9,13.2,50.9,4.1,0,3.9
1981-12-17T00:34:14Z,44.686843,-110.061929,89,12.8,2.5,146.7,0,0,0
1982-01-16T05:14:31Z,44.686843,-110.061929,89,0,0,282.3,0,0,0
1982-02-15T15:43:35Z,44.686843,-110.061929,89,15.7,7.1,329.5,0,0,0
1982-03-18T02:12:39Z,44.686843,-110.061929,89,0,0,428.1,0,0,0
1982-04-17T12:41:43Z,44.686843,-110.061929,89,84.3,26.1,445.3,0,0,0
1982-05-17T23:10:47Z,44.686843,-110.061929,89,491.3,57.9,27.3,0,0,0
1982-06-17T09:39:51Z,44.686843,-110.061929,86.8,85.4,78.8,0,43.3,1.2,42
1982-07-17T20:08:54Z,44.686843,-110.061929,76.1,3.7,54.7,0,72,7.1,65.1
1982-08-17T06:37:58Z,44.686843,-110.061929,53.6,0,40.8,0,70.1,16.1,53.9
1982-09-16T17:07:02Z,44.686843,-110.061929,63.7,10.2,40.5,17,26,7.6,18.4
1982-10-17T03:36:06Z,44.686843,-110.061929,88.7,72.7,37.8,14.6,4.9,0,4.8
1982-11-16T14:05:10Z,44.686843,-110.061929,89,0,0,77.1,0,0,0
1982-12-17T00:34:14Z,44.686843,-110.061929,89,0,0,153.4,0,0,0
1983-01-16T05:14:31Z,44.686843,-110.061929,89,0,0,221.4,0,0,0
1983-02-15T15:43:35Z,44.686843,-110.061929,89,5.7,0.9,280.7,0,0,0
1983-03-18T02:12:39Z,44.686843,-110.061929,89,20.3,4.6,332.7,0,0,0
1983-04-17T12:41:43Z,44.686843,-110.061929,89,106,13,273.9,0,0,0
1983-05-17T23:10:47Z,44.686843,-110.061929,88.4,344,39.6,0,8.9,0.2,8.9
1983-06-17T09:39:51Z,44.686843,-110.061929,84.2,13.6,48.5,0,43,1.3,41.7
1983-07-17T20:08:54Z,44.686843,-110.061929,82.5,13.4,77,0,72.1,3.4,68.7
1983-08-17T06:37:58Z,44.686843,-110.061929,65,0,42.6,0,70.5,11.1,59.5
1983-09-16T17:07:02Z,44.686843,-110.061929,65.4,20,66.7,3.4,26,5.1,20.7
1983-10-17T03:36:06Z,44.686843,-110.061929,88.5,91,50.2,0,6.6,0,6.4
1983-11-16T14:05:10Z,44.686843,-110.061929,88.8,3.6,6.2,97.5,0.8,0,0.7
1983-12-17T00:34:14Z,44.686843,-110.061929,89,0,0,182.9,0,0,0
1984-01-16T05:14:31Z,44.686843,-110.061929,89,0,0,234.6,0,0,0
1984-02-15T15:43:35Z,44.686843,-110.061929,89,0,0,276.7,0,0,0
1984-03-17T02:12:39Z,44.686843,-110.061929,89,0.4,0,335.5,0,0,0
1984-04-16T12:41:43Z,44.686843,-110.061929,89,103,7.8,305.5,0,0,0
1984-05-16T23:10:47Z,44.686843,-110.061929,88.6,439.4,85.4,0,9.4,0.1,9.3
1984-06-16T09:39:51Z,44.686843,-110.061929,81.9,49.6,49.1,0,40.5,4,36.3
1984-07-16T20:08:54Z,44.686843,-110.061929,61.3,0,73.4,0,77.8,14.4,63.1
1984-08-16T06:37:58Z,44.686843,-110.061929,69.8,0,47.6,0,65.7,7.2,58.4
1984-09-15T17:07:02Z,44.686843,-110.061929,73.2,2.3,24.7,29.3,18.9,3.3,15.7
1984-10-16T03:36:06Z,44.686843,-110.061929,85.4,28.4,1.5,67,7.4,0,7.2
1984-11-15T14:05:10Z,44.686843,-110.061929,88.2,0.3,1.6,137.1,0,0,0
1984-12-16T00:34:14Z,44.686843,-110.061929,89,0,0,194.8,0,0,0
1985-01-16T05:14:31Z,44.686843,-110.061929,89,0,0,221.6,0,0,0
1985-02-15T15:43:35Z,44.686843,-110.061929,89,0,0,273,0,0,0
1985-03-18T02:12:39Z,44.686843,-110.061929,89,0,0,348.3,0,0,0
1985-04-17T12:41:43Z,44.686843,-110.061929,89,332.8,6.5,56.6,0,0,0
1985-05-17T23:10:47Z,44.686843,-110.061929,87.7,93.1,48.7,0.1,28.5,0.4,27.8
1985-06-17T09:39:51Z,44.686843,-110.061929,79.4,19.2,57.4,0,55.6,4.4,51.1
1985-07-17T20:08:54Z,44.686843,-110.061929,64,0,61.4,0,80,12.6,67.3
1985-08-17T06:37:58Z,44.686843,-110.061929,71.3,0,37,0,53,7.1,46.1
1985-09-16T17:07:02Z,44.686843,-110.061929,85.5,42.1,58.4,6.7,18.6,0.7,17.8
1985-10-17T03:36:06Z,44.686843,-110.061929,88.7,65,1.9,0.9,4.2,0,4.2
1985-11-16T14:05:10Z,44.686843,-110.061929,88.8,0.3,0.7,106.1,0,0,0
1985-12-17T00:34:14Z,44.686843,-110.061929,89,0,0,149.7,0,0,0
1986-01-16T05:14:31Z,44.686843,-110.061929,89,2.4,1,218.9,0,0,0
1986-02-15T15:43:35Z,44.686843,-110.061929,89,17.2,0,365.4,0,0,0
1986-03-18T02:12:39Z,44.686843,-110.061929,89,118,17.4,306.1,0,0,0
1986-04-17T12:41:43Z,44.686843,-110.061929,89,140.1,19.4,255.8,0,0,0
1986-05-17T23:10:47Z,44.686843,-110.061929,87.7,307,18.7,0,16.5,0.8,15.8
1986-06-17T09:39:51Z,44.686843,-110.061929,78.5,16,55.1,0,66.6,6,61
1986-07-17T20:08:54Z,44.686843,-110.061929,68.8,1.5,87.7,0,67.1,7,60.3
1986-08-17T06:37:58Z,44.686843,-110.061929,71.9,0,43.1,0,66.1,7.6,58.4
1986-09-16T17:07:02Z,44.686843,-110.061929,82.3,30.9,43.5,13,15.1,1.4,13.7
1986-10-17T03:36:06Z,44.686843,-110.061929,87.1,25.8,4.1,11.2,10.1,0,9.9
1986-11-16T14:05:10Z,44.686843,-110.061929,87.6,0,0,105.8,0,0,0
1986-12-17T00:34:14Z,44.686843,-110.061929,87.6,0,0,116.1,0,0,0
1987-01-16T05:14:31Z,44.686843,-110.061929,87.6,0,0,163.7,0,0,0
1987-02-15T15:43:35Z,44.686843,-110.061929,87.6,0,0,204.1,0,0,0
1987-03-18T02:12:39Z,44.686843,-110.061929,88.8,42.6,2.5,206.7,0,0,0
1987-04-17T12:41:43Z,44.686843,-110.061929,87.3,239.4,11.2,0,13.9,0.7,13
1987-05-17T23:10:47Z,44.686843,-110.061929,82.1,64.1,94.7,0,34.7,2.7,31.8
1987-06-17T09:39:51Z,44.686843,-110.061929,81.7,26.4,65.2,0,63,3.2,59.8
1987-07-17T20:08:54Z,44.686843,-110.061929,79,12.7,88.5,0,70.4,5.1,65.5
