date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,728,0,0,0,1825,0,0,0,886,5,10,0,1835,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,728,0,0,0,2258,0,0,0,890,0,0,0,2659,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,882,423,159,0,2376,0,0,0,890,30,30,0,3299,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,890,3675,713,19,0,23,0,23,890,1280,400,0,3103,0,0,0
2020-05-16T23:10:47.241Z,44.702,-110.018,871,864,512,96,21,215,7,209,886,3542,534,13,0,194,0,194
2020-06-16T09:39:51.072Z,44.702,-110.018,818,127,438,225,0,586,36,549,787,17,407,173,0,616,52,562
2020-07-16T20:08:54.903Z,44.702,-110.018,639,0,625,1169,0,870,150,719,574,0,626,1846,0,978,180,798
2020-08-16T06:37:58.734Z,44.702,-110.018,410,0,265,2603,0,827,337,488,449,0,368,2952,0,781,231,547
2020-09-15T17:07:02.565Z,44.702,-110.018,590,0,695,2,0,415,86,330,306,0,132,0,22,357,220,142
2020-10-16T03:36:06.397Z,44.702,-110.018,823,194,519,80,49,230,15,214,819,311,376,1,82,94,5,90
2020-11-15T14:05:10.228Z,44.702,-110.018,890,80,35,80,1071,3,0,3,890,452,109,1,125,4,0,4
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,80,1571,0,0,0,890,0,0,1,765,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,80,2352,0,0,0,890,0,0,1,1347,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,41,5,80,2709,0,0,0,890,0,0,1,1519,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,2095,230,80,1127,0,0,0,890,73,27,1,2153,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,889,1856,585,80,123,38,0,38,890,913,172,1,1743,0,0,0
2021-05-17T23:10:47.241Z,44.702,-110.018,887,788,1089,150,0,456,0,455,882,2629,1017,50,1,210,3,207
2021-06-17T09:39:51.072Z,44.702,-110.018,797,165,612,716,0,763,62,699,742,451,714,948,0,758,93,665
2021-07-17T20:08:54.903Z,44.702,-110.018,549,0,478,2118,0,940,247,695,507,0,462,1989,0,877,252,620
2021-08-17T06:37:58.734Z,44.702,-110.018,333,0,342,3536,0,802,322,483,335,0,282,2918,0,762,357,404
2021-09-16T17:07:02.565Z,44.702,-110.018,339,0,466,3714,0,413,132,278,396,0,562,3378,532,433,151,285
