date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,31,2390,0,0,0,890,0,0,141,2228,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,31,2817,0,0,0,890,0,0,141,2846,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,890,203,92,31,3560,0,0,0,890,82,34,141,3160,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,890,1840,152,31,2466,0,0,0,890,2213,163,141,1281,0,0,0
2020-05-16T23:10:47.241Z,44.702,-110.018,867,2782,705,175,0,405,8,397,889,2514,1054,141,0,195,0,195
2020-06-16T09:39:51.072Z,44.702,-110.018,789,65,522,731,0,763,64,703,865,369,660,198,0,444,7,438
2020-07-16T20:08:54.903Z,44.702,-110.018,442,0,182,2437,0,989,429,556,777,0,690,1139,0,857,65,795
2020-08-16T06:37:58.734Z,44.702,-110.018,213,0,254,3751,0,806,466,339,680,0,730,2047,0,748,71,675
2020-09-15T17:07:02.565Z,44.702,-110.018,262,0,325,0,0,395,192,203,735,0,226,0,3,340,28,311
2020-10-16T03:36:06.397Z,44.702,-110.018,439,0,393,0,12,185,53,129,883,237,72,0,147,46,0,45
2020-11-15T14:05:10.228Z,44.702,-110.018,722,0,71,0,279,6,1,5,888,277,146,0,229,56,0,55
2020-12-16T00:34:14.059Z,44.702,-110.018,762,0,6,0,742,0,0,0,890,0,0,0,420,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,783,0,0,0,1334,0,0,0,890,0,0,0,1032,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,832,30,137,0,2038,0,0,0,890,209,48,0,1601,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,1310,146,0,1172,0,0,0,890,212,81,0,1885,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,879,1861,557,83,0,182,4,178,890,2536,282,0,56,0,0,0
2021-05-17T23:10:47.241Z,44.702,-110.018,883,983,1066,115,35,337,1,336,872,687,841,109,0,405,4,399
2021-06-17T09:39:51.072Z,44.702,-110.018,856,544,834,378,0,528,20,507,794,85,684,650,0,729,36,694
2021-07-17T20:08:54.903Z,44.702,-110.018,590,0,327,1358,0,863,214,649,621,0,704,1844,35,887,156,733
2021-08-17T06:37:58.734Z,44.702,-110.018,355,0,389,2391,0,723,273,452,713,0,509,2541,0,678,90,592
2021-09-16T17:07:02.565Z,44.702,-110.018,581,0,507,2506,0,315,85,231,609,0,175,2808,0,402,90,315
2021-10-17T03:36:06.397Z,44.702,-110.018,830,26,171,5,212,142,12,130,825,206,510,34,260,136,17,118
2021-11-16T14:05:10.228Z,44.702,-110.018,890,165,49,5,916,0,0,0,889,657,291,34,663,9,0,9
2021-12-17T00:34:14.059Z,44.702,-110.018,890,0,0,5,1327,0,0,0,890,0,0,34,1177,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,890,43,42,5,2025,0,0,0,890,35,35,34,2011,0,0,0
2022-02-15T15:43:35.747Z,44.702,-110.018,890,854,79,5,1993,0,0,0,890,19,19,34,2486,0,0,0
2022-03-18T02:12:39.578Z,44.702,-110.018,890,999,138,5,1769,0,0,0,890,662,95,34,2258,0,0,0
2022-04-17T12:41:43.409Z,44.702,-110.018,888,2517,341,5,0,79,0,79,890,2790,327,34,139,0,0,0
2022-05-17T23:10:47.241Z,44.702,-110.018,858,339,734,168,0,504,12,492,771,170,112,308,0,551,84,469
2022-06-17T09:39:51.072Z,44.702,-110.018,849,368,872,355,0,530,20,511,713,0,718,715,0,717,70,645
2022-07-17T20:08:54.903Z,44.702,-110.018,607,0,337,1478,0,890,197,693,475,0,268,2208,0,956,357,599
2022-08-17T06:37:58.734Z,44.702,-110.018,351,0,241,2541,0,760,338,421,226,0,227,3754,0,841,494,349
2022-09-16T17:07:02.565Z,44.702,-110.018,589,0,670,2761,0,426,83,345,272,0,327,4171,0,447,214,233
2022-10-17T03:36:06.397Z,44.702,-110.018,698,44,272,4,0,184,37,145,686,53,394,5,0,97,17,81
2022-11-16T14:05:10.228Z,44.702,-110.018,885,215,51,4,361,15,0,15,889,327,26,5,437,12,0,12
2022-12-17T00:34:14.059Z,44.702,-110.018,890,418,199,4,823,0,0,0,890,52,52,5,1531,0,0,0
2023-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,4,1290,0,0,0,890,0,0,5,2022,0,0,0
2023-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,4,1699,0,0,0,890,0,0,5,2254,0,0,0
2023-03-18T02:12:39.578Z,44.702,-110.018,890,1067,41,4,1001,0,0,0,890,1018,285,5,1999,0,0,0
2023-04-17T12:41:43.409Z,44.702,-110.018,875,1324,305,167,0,237,6,233,889,2572,561,5,92,66,0,66
2023-05-17T23:10:47.241Z,44.702,-110.018,799,156,373,366,0,503,33,468,888,1814,1939,5,0,377,0,377
2023-06-17T09:39:51.072Z,44.702,-110.018,540,0,314,1525,0,867,262,605,863,1157,1447,236,0,583,11,571
2023-07-17T20:08:54.903Z,44.702,-110.018,433,0,749,2325,0,843,218,626,853,842,1726,906,0,806,16,789
2023-08-17T06:37:58.734Z,44.702,-110.018,512,0,439,3317,0,756,187,568,808,357,1091,1636,0,726,35,691
2023-09-16T17:07:02.565Z,44.702,-110.018,448,0,410,3847,73,419,131,284,865,302,556,1644,0,351,4,345
2023-10-17T03:36:06.397Z,44.702,-110.018,796,97,341,0,696,108,19,88,852,244,451,11,0,195,8,185
2023-11-16T14:05:10.228Z,44.702,-110.018,890,921,235,0,406,0,0,0,882,49,63,11,1226,8,0,8
2023-12-17T00:34:14.059Z,44.702,-110.018,890,273,260,0,1438,0,0,0,890,183,89,11,1954,0,0,0
2024-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,0,2302,0,0,0,890,56,56,11,2613,0,0,0
2024-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,0,3158,0,0,0,890,65,31,11,3367,0,0,0
2024-03-17T02:12:39.578Z,44.702,-110.018,890,702,104,0,2837,0,0,0,890,19,19,11,4436,0,0,0
2024-04-16T12:41:43.409Z,44.702,-110.018,890,2810,187,0,505,0,0,0,890,1676,592,11,3733,0,0,0
2024-05-16T23:10:47.241Z,44.702,-110.018,884,971,480,42,0,309,0,307,890,5279,1338,13,41,42,0,42
2024-06-16T09:39:51.072Z,44.702,-110.018,822,146,616,757,0,744,39,707,850,333,832,116,0,582,14,562
2024-07-16T20:08:54.903Z,44.702,-110.018,447,0,209,2168,0,940,371,572,653,0,253,696,0,794,153,641
2024-08-16T06:37:58.734Z,44.702,-110.018,249,0,300,3723,0,839,421,420,419,0,273,1355,0,712,251,460
2024-09-15T17:07:02.565Z,44.702,-110.018,306,0,487,0,0,325,158,168,372,0,249,0,0,355,146,207
