date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,701,0,0,0,2117,0,0,0,890,0,0,1,2104,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,758,0,65,0,3153,0,0,0,890,25,8,1,2706,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,833,652,144,0,2802,0,0,0,890,643,286,1,2900,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,890,164,11,0,3824,0,0,0,890,3336,216,19,0,17,0,17
2020-05-16T23:10:47.241Z,44.702,-110.018,886,4661,731,118,0,153,1,152,837,156,493,210,0,550,23,524
2020-06-16T09:39:51.072Z,44.702,-110.018,823,646,904,551,0,659,53,602,642,0,394,1348,0,896,183,716
2020-07-16T20:08:54.903Z,44.702,-110.018,432,0,330,2342,0,1000,372,632,326,0,388,3088,0,991,443,549
2020-08-16T06:37:58.734Z,44.702,-110.018,261,0,237,3746,0,818,438,377,229,0,285,4343,0,795,419,377
2020-09-15T17:07:02.565Z,44.702,-110.018,321,0,708,0,0,423,137,288,177,0,167,0,0,381,229,155
2020-10-16T03:36:06.397Z,44.702,-110.018,731,94,493,0,7,211,25,183,298,0,327,3,136,191,105,85
2020-11-15T14:05:10.228Z,44.702,-110.018,890,336,214,0,770,0,0,0,807,490,206,3,614,0,0,0
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,0,1572,0,0,0,890,31,31,3,1535,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,0,2343,0,0,0,890,0,0,3,2227,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,7,7,0,2969,0,0,0,890,0,0,3,2888,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,277,70,0,3329,0,0,0,890,0,0,3,3389,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,890,3481,698,0,1190,0,0,0,890,1663,334,3,2637,0,0,0
2021-05-17T23:10:47.241Z,44.702,-110.018,862,1646,608,223,1,442,11,428,882,3296,766,26,0,253,2,250
2021-06-17T09:39:51.072Z,44.702,-110.018,795,294,506,527,0,629,36,590,838,614,1173,221,0,643,13,630
2021-07-17T20:08:54.903Z,44.702,-110.018,765,28,783,1842,0,918,73,848,737,0,629,1047,0,831,62,766
2021-08-17T06:37:58.734Z,44.702,-110.018,460,0,284,3316,0,835,254,583,590,0,747,2167,0,788,141,649
2021-09-16T17:07:02.565Z,44.702,-110.018,637,0,577,3404,0,354,46,308,872,411,887,2257,0,388,1,386
2021-10-17T03:36:06.397Z,44.702,-110.018,585,0,25,97,554,182,53,126,863,616,525,107,17,166,11,156
2021-11-16T14:05:10.228Z,44.702,-110.018,571,0,0,97,862,0,0,0,888,345,100,107,216,8,0,8
2021-12-17T00:34:14.059Z,44.702,-110.018,571,0,0,97,1892,0,0,0,888,78,82,107,1144,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,573,0,4,97,2419,0,0,0,890,0,0,107,2218,0,0,0
2022-02-15T15:43:35.747Z,44.702,-110.018,576,0,0,97,3334,0,0,0,890,0,0,107,3194,0,0,0
2022-03-18T02:12:39.578Z,44.702,-110.018,768,613,97,97,3051,0,0,0,890,60,60,107,3995,0,0,0
2022-04-17T12:41:43.409Z,44.702,-110.018,890,1881,226,97,1904,0,0,0,890,1400,99,107,3431,0,0,0
2022-05-17T23:10:47.241Z,44.702,-110.018,848,2126,526,444,0,514,24,493,885,4302,463,197,0,105,2,101
2022-06-17T09:39:51.072Z,44.702,-110.018,829,47,897,794,0,734,24,710,843,766,1206,639,0,669,33,636
2022-07-17T20:08:54.903Z,44.702,-110.018,585,0,332,2359,0,965,225,735,596,0,626,2010,0,932,182,754
2022-08-17T06:37:58.734Z,44.702,-110.018,532,0,604,3376,0,769,167,600,453,0,276,2678,0,673,217,453
2022-09-16T17:07:02.565Z,44.702,-110.018,595,0,651,3756,0,490,70,416,291,0,107,3059,0,514,288,226
2022-10-17T03:36:06.397Z,44.702,-110.018,764,231,349,0,34,156,19,138,612,111,503,0,81,171,26,144
2022-11-16T14:05:10.228Z,44.702,-110.018,888,95,37,0,540,5,0,5,887,127,59,0,309,24,0,24
