date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,709,0,0,0,2205,0,0,0,890,48,47,11,1697,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,709,0,0,0,2447,0,0,0,890,115,67,11,1913,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,853,498,181,0,2047,0,0,0,890,782,192,11,1706,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,887,2612,662,0,185,160,0,160,887,2218,352,28,0,67,1,66
2020-05-16T23:10:47.241Z,44.702,-110.018,865,879,453,33,0,277,12,265,873,583,895,123,0,464,7,455
2020-06-16T09:39:51.072Z,44.702,-110.018,847,811,1101,54,0,446,21,426,729,0,581,874,0,832,76,760
2020-07-16T20:08:54.903Z,44.702,-110.018,704,0,595,922,0,850,105,746,568,0,641,1730,0,839,203,641
2020-08-16T06:37:58.734Z,44.702,-110.018,438,0,268,1821,0,751,273,477,469,0,414,3443,0,863,266,598
2020-09-15T17:07:02.565Z,44.702,-110.018,553,8,513,0,19,328,117,210,642,0,752,0,0,470,87,380
2020-10-16T03:36:06.397Z,44.702,-110.018,852,74,108,21,22,153,3,147,884,414,399,0,5,151,0,149
2020-11-15T14:05:10.228Z,44.702,-110.018,890,501,317,21,291,7,0,7,888,153,98,0,213,18,0,18
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,21,797,0,0,0,890,33,12,0,400,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,217,101,21,1257,0,0,0,890,22,22,0,688,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,260,158,21,1823,0,0,0,890,0,0,0,1018,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,144,88,21,2482,0,0,0,890,0,0,0,1392,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,889,3190,628,22,0,62,0,62,890,1838,315,0,0,66,0,66
2021-05-17T23:10:47.241Z,44.702,-110.018,855,525,713,90,57,361,10,351,867,1518,1331,89,0,406,9,396
2021-06-17T09:39:51.072Z,44.702,-110.018,803,383,423,167,0,479,39,439,802,494,975,707,0,741,58,684
2021-07-17T20:08:54.903Z,44.702,-110.018,473,0,181,1389,0,902,350,553,427,0,316,2851,0,1055,415,645
2021-08-17T06:37:58.734Z,44.702,-110.018,239,0,202,2554,0,785,456,337,200,0,128,4073,0,799,522,278
2021-09-16T17:07:02.565Z,44.702,-110.018,363,0,477,2694,0,374,121,255,128,0,133,4557,0,496,330,164
2021-10-17T03:36:06.397Z,44.702,-110.018,622,0,449,20,20,191,33,156,302,0,484,43,20,231,101,130
2021-11-16T14:05:10.228Z,44.702,-110.018,884,32,109,20,963,0,0,0,590,0,85,43,442,0,0,0
2021-12-17T00:34:14.059Z,44.702,-110.018,890,0,0,20,1973,0,0,0,880,222,50,43,319,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,20,3015,0,0,0,890,45,18,43,1265,0,0,0
2022-02-15T15:43:35.747Z,44.702,-110.018,890,76,25,20,3756,0,0,0,890,12,12,43,2249,0,0,0
2022-03-18T02:12:39.578Z,44.702,-110.018,890,113,24,20,4075,0,0,0,890,1489,299,43,1254,0,0,0
2022-04-17T12:41:43.409Z,44.702,-110.018,890,4332,673,20,707,0,0,0,886,2263,1120,43,0,159,0,158
2022-05-17T23:10:47.241Z,44.702,-110.018,872,1477,1020,71,6,358,6,353,877,450,807,112,0,456,3,452
2022-06-17T09:39:51.072Z,44.702,-110.018,827,583,876,269,0,564,32,530,769,142,384,434,0,535,58,475
2022-07-17T20:08:54.903Z,44.702,-110.018,457,0,405,1808,0,961,334,626,399,0,105,2272,0,1008,489,523
2022-08-17T06:37:58.734Z,44.702,-110.018,421,0,576,2975,0,792,250,537,195,0,256,3207,0,751,443,309
2022-09-16T17:07:02.565Z,44.702,-110.018,578,186,703,3135,1,308,57,253,245,0,388,3486,0,468,230,236
2022-10-17T03:36:06.397Z,44.702,-110.018,886,404,148,0,171,53,0,52,555,0,312,23,0,140,26,115
2022-11-16T14:05:10.228Z,44.702,-110.018,890,77,22,0,489,0,0,0,843,8,63,23,318,21,4,17
2022-12-17T00:34:14.059Z,44.702,-110.018,890,10,10,0,1180,0,0,0,890,0,0,23,1091,0,0,0
2023-01-16T05:14:31.916Z,44.702,-110.018,890,46,36,0,1497,0,0,0,890,0,0,23,1495,0,0,0
2023-02-15T15:43:35.747Z,44.702,-110.018,890,51,48,0,2028,0,0,0,890,0,0,23,1981,0,0,0
2023-03-18T02:12:39.578Z,44.702,-110.018,890,8,8,0,2639,0,0,0,890,0,0,23,2546,0,0,0
2023-04-17T12:41:43.409Z,44.702,-110.018,890,1272,355,0,2001,0,0,0,890,1380,198,23,1640,0,0,0
2023-05-17T23:10:47.241Z,44.702,-110.018,889,3127,1237,0,0,203,0,203,884,2127,770,23,7,311,0,311
2023-06-17T09:39:51.072Z,44.702,-110.018,865,407,1018,268,0,732,10,721,810,89,410,485,0,680,58,623
2023-07-17T20:08:54.903Z,44.702,-110.018,571,0,329,1771,0,960,260,696,483,0,387,1806,0,927,278,647
2023-08-17T06:37:58.734Z,44.702,-110.018,423,0,635,3297,0,845,203,637,294,0,321,3000,0,798,410,387
2023-09-16T17:07:02.565Z,44.702,-110.018,417,0,480,3556,0,460,159,301,350,0,320,3183,0,423,211,212
