date,lat,long,soil_water_monthly_85,runoff_monthly_85,rain_monthly_85,agdd_monthly_85,accumswe_monthly_85,pet_monthly_85,deficit_monthly_85,aet_monthly_85,soil_water_monthly_45,runoff_monthly_45,rain_monthly_45,agdd_monthly_45,accumswe_monthly_45,pet_monthly_45,deficit_monthly_45,aet_monthly_45
2020-01-16T05:14:31.916Z,44.702,-110.018,886,20,47,30,1547,0,0,0,880,0,0,0,1140,0,0,0
2020-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,30,1967,0,0,0,880,0,0,0,1534,0,0,0
2020-03-17T02:12:39.578Z,44.702,-110.018,890,1240,143,30,1158,0,0,0,883,127,61,0,1954,0,0,0
2020-04-16T12:41:43.409Z,44.702,-110.018,890,1286,333,30,499,0,0,0,888,2394,407,0,31,85,0,85
2020-05-16T23:10:47.241Z,44.702,-110.018,846,709,473,145,0,461,20,444,881,925,955,63,13,204,2,201
2020-06-16T09:39:51.072Z,44.702,-110.018,842,437,1081,606,0,691,26,665,854,519,1211,396,0,721,17,706
2020-07-16T20:08:54.903Z,44.702,-110.018,600,0,477,1674,0,873,185,686,754,296,646,1307,0,777,89,690
2020-08-16T06:37:58.734Z,44.702,-110.018,391,0,220,2323,0,716,292,423,455,0,324,2123,0,733,254,480
2020-09-15T17:07:02.565Z,44.702,-110.018,301,0,405,0,241,495,283,218,405,0,246,0,0,419,155,270
2020-10-16T03:36:06.397Z,44.702,-110.018,771,0,136,0,342,56,6,49,688,0,295,0,397,91,19,73
2020-11-15T14:05:10.228Z,44.702,-110.018,883,332,141,0,354,0,0,0,872,274,196,0,586,0,0,0
2020-12-16T00:34:14.059Z,44.702,-110.018,890,0,0,0,631,0,0,0,890,0,0,0,1102,0,0,0
2021-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,0,1436,0,0,0,890,0,0,0,1403,0,0,0
2021-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,0,2216,0,0,0,890,2,2,0,1728,0,0,0
2021-03-18T02:12:39.578Z,44.702,-110.018,890,598,50,0,2356,0,0,0,890,525,67,0,1694,0,0,0
2021-04-17T12:41:43.409Z,44.702,-110.018,890,1455,270,0,1497,0,0,0,888,2367,481,0,20,37,0,37
2021-05-17T23:10:47.241Z,44.702,-110.018,881,1902,487,64,4,203,3,200,866,223,352,9,0,321,9,312
2021-06-17T09:39:51.072Z,44.702,-110.018,827,506,809,338,0,596,30,563,797,253,750,802,0,798,85,714
2021-07-17T20:08:54.903Z,44.702,-110.018,613,0,513,1482,0,890,176,716,531,0,579,2125,0,913,226,691
2021-08-17T06:37:58.734Z,44.702,-110.018,485,0,394,2374,0,708,186,524,411,0,349,3290,0,794,301,493
2021-09-16T17:07:02.565Z,44.702,-110.018,508,0,216,2505,0,257,71,187,324,0,500,3674,0,512,195,318
2021-10-17T03:36:06.397Z,44.702,-110.018,623,0,93,39,718,140,42,98,613,0,132,0,0,88,23,65
2021-11-16T14:05:10.228Z,44.702,-110.018,878,150,162,39,1203,0,0,0,821,0,144,0,382,16,2,13
2021-12-17T00:34:14.059Z,44.702,-110.018,890,0,0,39,1718,0,0,0,884,0,0,0,746,0,0,0
2022-01-16T05:14:31.916Z,44.702,-110.018,890,0,0,39,2063,0,0,0,884,0,0,0,1049,0,0,0
2022-02-15T15:43:35.747Z,44.702,-110.018,890,0,0,39,2544,0,0,0,885,0,5,0,1757,0,0,0
2022-03-18T02:12:39.578Z,44.702,-110.018,890,82,19,39,2917,0,0,0,890,1015,233,0,1595,0,0,0
2022-04-17T12:41:43.409Z,44.702,-110.018,890,389,41,39,2983,0,0,0,890,2343,475,0,20,0,0,0
2022-05-17T23:10:47.241Z,44.702,-110.018,886,3441,636,57,0,290,0,290,877,546,737,0,46,334,4,330
2022-06-17T09:39:51.072Z,44.702,-110.018,763,0,311,824,0,716,88,632,731,227,360,728,0,704,129,574
2022-07-17T20:08:54.903Z,44.702,-110.018,389,0,254,2100,0,906,387,513,350,0,292,1974,0,917,386,531
2022-08-17T06:37:58.734Z,44.702,-110.018,237,0,281,3001,0,755,381,372,179,0,132,3536,0,846,572,276
2022-09-16T17:07:02.565Z,44.702,-110.018,217,0,265,3179,0,413,221,192,146,0,195,4006,0,426,250,177
2022-10-17T03:36:06.397Z,44.702,-110.018,740,234,709,3,19,134,22,113,664,0,393,0,160,19,1,18
2022-11-16T14:05:10.228Z,44.702,-110.018,890,146,9,3,920,0,0,0,889,527,185,0,761,5,0,5
2022-12-17T00:34:14.059Z,44.702,-110.018,890,201,61,3,1050,0,0,0,890,56,9,0,1177,0,0,0
