date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31.916Z,44.702,-110.018,68.4,0,0,180.8,0,0,0
1980-02-15T15:43:35.747Z,44.702,-110.018,69.9,0,1.2,220.5,0,0,0
1980-03-17T02:12:39.578Z,44.702,-110.018,86.1,0,0,311.7,0,0,0
1980-04-16T12:41:43.409Z,44.702,-110.018,87.9,328.9,15.2,0,7.6,0,7.5
1980-05-16T23:10:47.241Z,44.702,-110.018,87.9,75.4,84.1,1.4,29.7,0.3,29.3
1980-06-16T09:39:51.072Z,44.702,-110.018,82.2,34.1,60.1,0,57.6,4.2,53.5
1980-07-16T20:08:54.903Z,44.702,-110.018,61.3,0,52.1,0,87.6,19.1,68.5
1980-08-16T06:37:58.734Z,44.702,-110.018,43.4,0,46.8,0,63.1,18.7,43.9
1980-09-15T17:07:02.565Z,44.702,-110.018,76,17.7,77.5,0,37,3.5,33.5
1980-10-16T03:36:06.397Z,44.702,-110.018,82.1,15.2,9.8,0,14.2,1.4,12.8
1980-11-15T14:05:10.228Z,44.702,-110.018,88.7,36,30.2,39,2.2,0,2.2
1980-12-16T00:34:14.059Z,44.702,-110.018,89,18.1,2.1,79.1,0,0,0
1981-01-16T05:14:31.916Z,44.702,-110.018,89,0,0,95.1,0,0,0
1981-02-15T15:43:35.747Z,44.702,-110.018,89,15.7,8.8,148.1,0,0,0
1981-03-18T02:12:39.578Z,44.702,-110.018,89,19.7,6.3,161.7,0,0,0
1981-04-17T12:41:43.409Z,44.702,-110.018,88.8,216.2,28.1,0,8.9,0,8.9
1981-05-17T23:10:47.241Z,44.702,-110.018,88.4,113.3,95.1,0,24.3,0.1,24.1
1981-06-17T09:39:51.072Z,44.702,-110.018,85.9,103.7,130,0,53.4,1.6,51.5
1981-07-17T20:08:54.903Z,44.702,-110.018,49.1,0,19.9,0,86.6,31.1,54.8
1981-08-17T06:37:58.734Z,44.702,-110.018,26.4,0,12.5,0,77.1,46.3,31
1981-09-16T17:07:02.565Z,44.702,-110.018,18.8,0,20.3,0,45.6,29.8,15.6
1981-10-17T03:36:06.397Z,44.702,-110.018,61.7,1.1,26.9,1.8,4.2,1.3,2.8
1981-11-16T14:05:10.228Z,44.702,-110.018,88,15.3,9.5,43.6,4.8,0,4.7
1981-12-17T00:34:14.059Z,44.702,-110.018,89,14.4,3,119.4,0,0,0
1982-01-16T05:14:31.916Z,44.702,-110.018,89,0,0,245.5,0,0,0
1982-02-15T15:43:35.747Z,44.702,-110.018,89,21.8,8.8,274.8,0,0,0
1982-03-18T02:12:39.578Z,44.702,-110.018,89,0,0,354.4,0,0,0
1982-04-17T12:41:43.409Z,44.702,-110.018,89,107.4,27.9,329.7,0,0,0
1982-05-17T23:10:47.241Z,44.702,-110.018,88.8,384.4,54.5,4.9,10,0,10
1982-06-17T09:39:51.072Z,44.702,-110.018,86.2,57,74.8,0,48.2,1.6,46.7
1982-07-17T20:08:54.903Z,44.702,-110.018,72.6,0,53.7,0,80.6,9.7,70.6
1982-08-17T06:37:58.734Z,44.702,-110.018,48.4,0,44,0,76.8,20.1,56.4
1982-09-16T17:07:02.565Z,44.702,-110.018,60.4,7.4,40.4,14,29.3,9.5,19.6
1982-10-17T03:36:06.397Z,44.702,-110.018,88.7,62.2,32.4,12.9,4.9,0,4.8
1982-11-16T14:05:10.228Z,44.702,-110.018,89,0,0,66.6,0,0,0
1982-12-17T00:34:14.059Z,44.702,-110.018,89,0,0,129.7,0,0,0
1983-01-16T05:14:31.916Z,44.702,-110.018,89,0,0,181.1,0,0,0
1983-02-15T15:43:35.747Z,44.702,-110.018,89,10,2.1,229.1,0,0,0
1983-03-18T02:12:39.578Z,44.702,-110.018,89,23.7,5,267.2,0,0,0
1983-04-17T12:41:43.409Z,44.702,-110.018,89,129.8,13.3,174,0,0,0
1983-05-17T23:10:47.241Z,44.702,-110.018,87,236.2,38.9,0,17,1.1,15.9
1983-06-17T09:39:51.072Z,44.702,-110.018,80.6,1.1,45.2,0,49.7,2.3,47.4
1983-07-17T20:08:54.903Z,44.702,-110.018,80.5,5.6,78.6,0,80.7,4.9,76.1
1983-08-17T06:37:58.734Z,44.702,-110.018,58.2,0,38.1,0,77.7,16.7,61.4
1983-09-16T17:07:02.565Z,44.702,-110.018,54.9,4.9,64.5,2,32.3,8.2,24.2
1983-10-17T03:36:06.397Z,44.702,-110.018,88.5,81.7,51.1,0,7.8,0,7.8
1983-11-16T14:05:10.228Z,44.702,-110.018,88.6,5.8,9.2,78.3,0.8,0,0.8
1983-12-17T00:34:14.059Z,44.702,-110.018,89,0,0,148.8,0,0,0
1984-01-16T05:14:31.916Z,44.702,-110.018,89,0,0,201.6,0,0,0
1984-02-15T15:43:35.747Z,44.702,-110.018,89,0,0,241,0,0,0
1984-03-17T02:12:39.578Z,44.702,-110.018,89,2.8,0,287.2,0,0,0
1984-04-16T12:41:43.409Z,44.702,-110.018,89,120,8.8,227.2,0,0,0
1984-05-16T23:10:47.241Z,44.702,-110.018,88.5,338.7,80.3,0,15.8,0.1,15.5
1984-06-16T09:39:51.072Z,44.702,-110.018,80.5,39.1,47.5,0,47.7,5.3,42.1
1984-07-16T20:08:54.903Z,44.702,-110.018,55.6,0,71.8,0,86.3,19.5,66.9
1984-08-16T06:37:58.734Z,44.702,-110.018,58.4,0,43.8,0,72.4,13.9,59.3
1984-09-15T17:07:02.565Z,44.702,-110.018,60.4,0,27.9,26.8,22.4,6.3,16
1984-10-16T03:36:06.397Z,44.702,-110.018,84.4,17.4,1.2,52.6,8.4,0.1,8.1
1984-11-15T14:05:10.228Z,44.702,-110.018,88,3.8,3.8,99.3,0,0,0
1984-12-16T00:34:14.059Z,44.702,-110.018,89,0,0,143.1,0,0,0
1985-01-16T05:14:31.916Z,44.702,-110.018,89,0,0,170,0,0,0
1985-02-15T15:43:35.747Z,44.702,-110.018,89,0,0,211.8,0,0,0
1985-03-18T02:12:39.578Z,44.702,-110.018,89,1.8,0,278.2,0,0,0
1985-04-17T12:41:43.409Z,44.702,-110.018,88.9,310.3,7.4,0,3.3,0,3.3
1985-05-17T23:10:47.241Z,44.702,-110.018,87.2,25.4,45.4,0.1,33.9,0.6,32.9
1985-06-17T09:39:51.072Z,44.702,-110.018,78,10.9,54.7,0,62.1,5.9,56.1
1985-07-17T20:08:54.903Z,44.702,-110.018,58.6,0,56,0,88.2,17.5,70.8
1985-08-17T06:37:58.734Z,44.702,-110.018,61.3,0,38.9,0,60.3,12.4,47.8
1985-09-16T17:07:02.565Z,44.702,-110.018,77.9,22.9,53.8,7.2,20,2.3,17.7
1985-10-17T03:36:06.397Z,44.702,-110.018,88.5,50.2,1.6,0.7,6.1,0,5.9
1985-11-16T14:05:10.228Z,44.702,-110.018,88,0,0.1,93.2,0.3,0,0.3
1985-12-17T00:34:14.059Z,44.702,-110.018,88.2,0,0,131.8,0,0,0
1986-01-16T05:14:31.916Z,44.702,-110.018,88.6,2.4,2,188.6,0,0,0
