date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,38.72253865,-109.5863498,14.7,11.2,2.3,0.1,4.7,0.2,4.4,11.4,3.5,13.1,0,10.8,2.7,7.7
2020-02-15T15:43:35Z,38.72253865,-109.5863498,8.2,0,0.3,0,23.6,12.8,11.3,11.3,0,3.6,0,7.2,1.4,5.9
2020-03-17T02:12:39Z,38.72253865,-109.5863498,4.3,0,27.5,0,64.5,35.5,28.7,4.9,0,3.5,0,47.8,32.5,15.2
2020-04-16T12:41:43Z,38.72253865,-109.5863498,3.4,0,28.6,0,91.2,60.8,30.1,1.3,0,11.8,0,76.3,63.7,12.5
2020-05-16T23:10:47Z,38.72253865,-109.5863498,0.1,0,7.3,0,112.7,105.5,7.1,0,0,4.6,0,114.7,109.9,4.7
2020-06-16T09:39:51Z,38.72253865,-109.5863498,0,0,2.1,0,136.9,134.8,2.1,0,0,16.6,0,146.6,129.8,16.6
2020-07-16T20:08:54Z,38.72253865,-109.5863498,0.3,0,29.1,0,156.1,127.2,29.1,0,0,1.2,0,159.3,158.1,1.2
2020-08-16T06:37:58Z,38.72253865,-109.5863498,0.4,0,17.8,0,136.8,119.1,17.7,0,0,16.4,0,134.2,117.8,16.4
2020-09-15T17:07:02Z,38.72253865,-109.5863498,4.7,20.5,67.3,0,89.6,56.3,33.3,0,0,3.1,0,95.6,92.6,3.1
2020-10-16T03:36:06Z,38.72253865,-109.5863498,4.3,0,12.6,0,57.1,32.4,24.8,0,0,0.4,0,54.5,54.1,0.4
2020-11-15T14:05:10Z,38.72253865,-109.5863498,9.3,1,25.8,0,24,5.7,18.4,2.9,0,8.2,0,23.2,18.6,5.1
2020-12-16T00:34:14Z,38.72253865,-109.5863498,11.5,0,9.5,0,9.2,1.7,6.9,2.6,0,0.7,8.3,6,4.9,1
2021-01-16T05:14:31Z,38.72253865,-109.5863498,7.8,0,0.9,0,16.7,8.4,8.2,7.4,0,0.2,0,8.4,3.1,5.3
2021-02-15T15:43:35Z,38.72253865,-109.5863498,8.1,0,21.5,0,29.2,9,20,8.7,0,4.2,0,13.4,6,7.4
2021-03-18T02:12:39Z,38.72253865,-109.5863498,1.8,0,9.7,0,56.8,42.9,13.8,2.7,0,6.5,0,44.9,33.5,11.4
2021-04-17T12:41:43Z,38.72253865,-109.5863498,0.9,0,15.9,0,84.8,69.3,15.6,2,0,17.8,0,70.1,51.7,18.5
2021-05-17T23:10:47Z,38.72253865,-109.5863498,1.2,0,11.7,0,125.7,112.3,13.1,3.1,0,38.6,0,114.1,77.1,36.7
2021-06-17T09:39:51Z,38.72253865,-109.5863498,0,0,3.1,0,144.8,141.7,3.1,0.2,0,1.1,0,139.3,135.8,3.4
2021-07-17T20:08:54Z,38.72253865,-109.5863498,0,0,11.9,0,165.7,153.6,11.9,0.6,0,24.6,0,158.3,133.7,24.6
2021-08-17T06:37:58Z,38.72253865,-109.5863498,1.1,0,29.9,0,139.7,110.2,29.8,0,0,14.2,0,137.6,123.5,14.2
2021-09-16T17:07:02Z,38.72253865,-109.5863498,5.9,8,51.4,0,83.7,40.9,42.6,3.9,6.8,49.5,0,90.6,52.1,38.1
2021-10-17T03:36:06Z,38.72253865,-109.5863498,9.9,18.6,62,0,53.8,15.2,38.1,2.6,0,14.7,0,53.2,40.1,13.1
2021-11-16T14:05:10Z,38.72253865,-109.5863498,12.5,8.9,30.4,0,17.5,3.4,14,12.5,16.2,37.3,0,18.6,3.6,14.9
2021-12-17T00:34:14Z,38.72253865,-109.5863498,13.6,29.2,27.8,8.6,5.9,0.5,5.4,14.8,31.1,16.7,0,2.7,0.2,2.5
2022-01-16T05:14:31Z,38.72253865,-109.5863498,14.7,25.2,12.3,14.5,0,0,0,14.7,22.2,5.6,0,1.7,0,1.7
2022-02-15T15:43:35Z,38.72253865,-109.5863498,12.3,15.4,4.8,0.1,14.2,3.6,10.7,13.1,0,6.6,0.3,8.9,0.8,8
2022-03-18T02:12:39Z,38.72253865,-109.5863498,7,4.6,18.5,0,45.2,23.4,21.7,6.9,1.3,5.5,0,41.3,23,18.5
2022-04-17T12:41:43Z,38.72253865,-109.5863498,1.1,0,6.5,0,84.3,76.6,7.4,1.5,0,18.8,0,70.6,52.6,18
2022-05-17T23:10:47Z,38.72253865,-109.5863498,0,0,7.9,0,118.2,110.4,7.9,1.4,0,21.5,0,108,84.9,23.2
2022-06-17T09:39:51Z,38.72253865,-109.5863498,1.8,0,24.4,0,138.2,113.5,24.5,0,0,0.7,0,141.1,140.4,0.7
2022-07-17T20:08:54Z,38.72253865,-109.5863498,1.6,0,55.2,0,163.4,118.4,45.5,0,0,5.2,0,161.6,156.4,5.2
2022-08-17T06:37:58Z,38.72253865,-109.5863498,2.1,0,34.9,0,139.9,96,43.7,1.4,0,38.5,0,134.7,98.6,36.4
2022-09-16T17:07:02Z,38.72253865,-109.5863498,5.3,0,48.3,0,85.2,43.1,42.3,0.3,0,4.9,0,90.6,83.5,7.2
2022-10-17T03:36:06Z,38.72253865,-109.5863498,2,0,7.7,0,49.2,36.7,13.1,12.6,67.3,122.9,0,48.6,3.9,44.7
2022-11-16T14:05:10Z,38.72253865,-109.5863498,1.5,0,2.1,0,19.3,16.4,2.8,11.2,15.8,39.5,0,27,5.8,20.9
2022-12-17T00:34:14Z,38.72253865,-109.5863498,10.4,0,5.7,6.8,0.3,0,0.3,13.2,1.9,2.7,0.5,4.3,0.3,4
2023-01-16T05:14:31Z,38.72253865,-109.5863498,14.5,39.4,30.4,0,3.4,0,3.2,13,0.7,2.3,1.3,6.1,0.6,5.4
2023-02-15T15:43:35Z,38.72253865,-109.5863498,10.3,0,0.4,0,16.4,6.2,10.2,12.4,4.9,10.6,0,16,2.9,12.8
2023-03-18T02:12:39Z,38.72253865,-109.5863498,8.8,2.2,28,0,43.4,16,27.6,7.4,0,29.9,0,50.7,19.1,31.9
2023-04-17T12:41:43Z,38.72253865,-109.5863498,1.7,0,10.5,0,79.5,66.8,12.6,2.9,0,21.3,0,71.7,47.4,24.5
2023-05-17T23:10:47Z,38.72253865,-109.5863498,0.2,0,10.3,0,113.3,101.9,11.2,2.3,0,34.1,0,106.4,69.6,36.5
2023-06-17T09:39:51Z,38.72253865,-109.5863498,0.1,0,24,0,150.4,127.6,22.8,0,0,6.7,0,142.7,135.2,7.2
2023-07-17T20:08:54Z,38.72253865,-109.5863498,0.1,0,22.7,0,165.1,141.1,23.8,1.3,0.5,53.3,0,160.1,119.1,40.9
2023-08-17T06:37:58Z,38.72253865,-109.5863498,2.4,0,68.8,0,135.8,69.8,66.1,1.9,0,31.5,0,132,89.7,42
