date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,38.72253865,-109.5863498,14.4,38.6,23,0,3.7,0.1,3.6
1980-02-15T15:43:35Z,38.72253865,-109.5863498,13.4,26.9,36.9,0,19.7,2.2,17.6
1980-03-17T02:12:39Z,38.72253865,-109.5863498,12.7,28.6,43.7,0.3,22.4,3.9,18.4
1980-04-16T12:41:43Z,38.72253865,-109.5863498,5.4,4.3,19.9,0,67.9,36.4,31.7
1980-05-16T23:10:47Z,38.72253865,-109.5863498,5.5,3.3,48.4,0,97.8,49.5,48.3
1980-06-16T09:39:51Z,38.72253865,-109.5863498,0,0,0.6,0,138.2,137.2,1
1980-07-16T20:08:54Z,38.72253865,-109.5863498,0,0,10.8,0,154.6,143.8,10.8
1980-08-16T06:37:58Z,38.72253865,-109.5863498,1.3,0,23.6,0,130.2,108.3,21.9
1980-09-15T17:07:02Z,38.72253865,-109.5863498,2.2,0,19.8,0,87.6,66.5,21.5
1980-10-16T03:36:06Z,38.72253865,-109.5863498,6.9,7.6,35.1,0,46.6,26.3,19.8
1980-11-15T14:05:10Z,38.72253865,-109.5863498,7.2,5.3,11.2,0,19.5,10,9.2
1980-12-16T00:34:14Z,38.72253865,-109.5863498,11.8,1.9,5.5,0,13.9,3.1,10.7
1981-01-16T05:14:31Z,38.72253865,-109.5863498,6.3,0,7.2,0.8,11.3,7.1,4.5
1981-02-15T15:43:35Z,38.72253865,-109.5863498,9.4,0,3.7,0,17.8,6.7,11
1981-03-18T02:12:39Z,38.72253865,-109.5863498,8.1,0,30.9,0,38.9,13,25.8
1981-04-17T12:41:43Z,38.72253865,-109.5863498,5.2,0,26.9,0,82.8,45.4,37.5
1981-05-17T23:10:47Z,38.72253865,-109.5863498,0.6,0,27,0,102.8,76.2,26.3
1981-06-17T09:39:51Z,38.72253865,-109.5863498,0,0,8.4,0,145,135.9,9.2
1981-07-17T20:08:54Z,38.72253865,-109.5863498,0.3,0,28.9,0,153.5,124.9,28.8
1981-08-17T06:37:58Z,38.72253865,-109.5863498,1.9,0,30.1,0,130.9,101,29.9
1981-09-16T17:07:02Z,38.72253865,-109.5863498,3.2,4.4,26.7,0,90.9,68.8,22.1
1981-10-17T03:36:06Z,38.72253865,-109.5863498,10.7,19.9,65,0,44.3,7.9,36.2
1981-11-16T14:05:10Z,38.72253865,-109.5863498,4.4,0,4.4,11.4,21.6,14.3,7.2
1981-12-17T00:34:14Z,38.72253865,-109.5863498,11.8,3.1,3.8,0.8,6.6,1.1,5.2
1982-01-16T05:14:31Z,38.72253865,-109.5863498,14.9,11.3,2.3,0.8,2.7,0,2.7
1982-02-15T15:43:35Z,38.72253865,-109.5863498,13,6.2,1.5,0,13.5,4.3,9.2
1982-03-18T02:12:39Z,38.72253865,-109.5863498,7.2,0,22.2,0,41.1,15.7,25.4
1982-04-17T12:41:43Z,38.72253865,-109.5863498,0.8,0,2.3,0,67.1,61.1,5.4
1982-05-17T23:10:47Z,38.72253865,-109.5863498,0,0,13.2,0,104.8,91.6,12.9
1982-06-17T09:39:51Z,38.72253865,-109.5863498,0,0,7.4,0,129.8,122.4,7.4
1982-07-17T20:08:54Z,38.72253865,-109.5863498,0.1,0,16.7,0,150.7,134.6,16.3
1982-08-17T06:37:58Z,38.72253865,-109.5863498,1.3,0,40.2,0,133.5,94,39.4
1982-09-16T17:07:02Z,38.72253865,-109.5863498,6.3,7.2,57.3,0,86.9,47.1,39.9
