date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,38.57882425,-107.7255568,97.7,4.3,0.4,15.6,0,0,0,61.7,0,0.6,13.1,1.3,0.4,0.9
2020-02-15T15:43:35Z,38.57882425,-107.7255568,97.6,38.8,15.7,0,4.9,0,4.9,83.2,0,5.1,8.2,3.8,0.1,3.5
2020-03-17T02:12:39Z,38.57882425,-107.7255568,94.4,33.3,34.8,0,23.6,0.9,22.7,93.6,8.4,7.8,0.6,10.1,0.1,9.6
2020-04-16T12:41:43Z,38.57882425,-107.7255568,91.1,17,42.3,0,46,2.5,43.7,82.2,0,26.1,0,63.1,8.1,54.7
2020-05-16T23:10:47Z,38.57882425,-107.7255568,58.3,0,17.8,0,88.7,30.2,58.1,68.2,0,38.8,0,75.9,20.5,55.2
2020-06-16T09:39:51Z,38.57882425,-107.7255568,22.5,0,1.2,0,122,92.4,29.4,57.8,0,61.1,0,109.8,34,76.1
2020-07-16T20:08:54Z,38.57882425,-107.7255568,7,0,20.7,0,131.2,102.3,28.8,26.6,0,39.5,0,123.5,64.4,58.9
2020-08-16T06:37:58Z,38.57882425,-107.7255568,7.3,0,51.4,0,113.3,69.3,43.5,27.3,0,71.1,0,110.8,51.6,59
2020-09-15T17:07:02Z,38.57882425,-107.7255568,11.9,0,32.1,0,77.5,54.9,22.2,22.7,0,8.6,0,72.9,50,22.8
2020-10-16T03:36:06Z,38.57882425,-107.7255568,35.2,0,46.2,0,35.6,17.3,18.7,27.4,0,28,0.2,35.4,19.8,16
2020-11-15T14:05:10Z,38.57882425,-107.7255568,56.2,0,0.1,0,17.4,6.7,10.5,81.3,17.2,68,40.5,7,0.7,6
2020-12-16T00:34:14Z,38.57882425,-107.7255568,57.5,0,6.9,5.5,3.2,1.6,1.6,95.8,4.7,3.1,56.8,0,0,0
2021-01-16T05:14:31Z,38.57882425,-107.7255568,72.2,16.4,27.5,5.3,0,0,0,97.7,4.2,0,54.5,0,0,0
2021-02-15T15:43:35Z,38.57882425,-107.7255568,97.7,27.4,2,10.8,0,0,0,97.7,73.1,10.2,0,1,0,1
2021-03-18T02:12:39Z,38.57882425,-107.7255568,93,14.1,17.1,0,27.9,0.9,27,91.4,4.1,5.8,0,25.7,2,23.5
2021-04-17T12:41:43Z,38.57882425,-107.7255568,83.9,0,26.3,0,53.3,5.5,47.5,64.4,0,13.5,0,53.6,15.1,38.6
2021-05-17T23:10:47Z,38.57882425,-107.7255568,55.1,0,20.7,0,94.2,34.3,59.9,50.2,0,37.3,0,91.7,35.3,56.6
2021-06-17T09:39:51Z,38.57882425,-107.7255568,21.6,0,6.7,0,121.2,89.4,31.5,34,0,47.5,0,115.2,55.1,60.5
2021-07-17T20:08:54Z,38.57882425,-107.7255568,5.9,0,5.2,0,142,128.4,13.5,15.8,0,55.2,0,129,76.3,52.8
2021-08-17T06:37:58Z,38.57882425,-107.7255568,7.3,0,28.2,0,121.9,102,20,26.3,0,61.2,0,114.5,60.4,54.1
2021-09-16T17:07:02Z,38.57882425,-107.7255568,15.2,0,30.4,0,77.8,49.7,28.5,32,0,62,0,80.3,39.3,41
2021-10-17T03:36:06Z,38.57882425,-107.7255568,14.4,0,11.7,0.7,37.3,27.6,9.9,45.7,0,11.8,0,37.8,17.3,20.5
2021-11-16T14:05:10Z,38.57882425,-107.7255568,19.3,0,8.7,2,14,7.9,5.7,78.5,32.9,59.4,9.4,8.1,1.6,6.5
2021-12-17T00:34:14Z,38.57882425,-107.7255568,37.9,0,6.5,1.6,2.8,1.3,1.5,97.7,24.1,12.3,17.7,0.3,0,0.3
2022-01-16T05:14:31Z,38.57882425,-107.7255568,94.1,59.4,80.5,4.4,1.2,0,1.2,97.7,8.1,5,18,0,0,0
2022-02-15T15:43:35Z,38.57882425,-107.7255568,95.9,6.2,5.6,6.3,7.6,0,7.5,97.7,59.1,13.5,9.1,0,0,0
2022-03-18T02:12:39Z,38.57882425,-107.7255568,93.9,11.4,7.6,0,15.2,0.5,14.6,97.2,57.5,35.5,0,18.8,0,18.7
2022-04-17T12:41:43Z,38.57882425,-107.7255568,95.4,12.7,46.6,0,38.5,0.5,37.8,87.6,0,25,0,44.4,3.8,40.6
2022-05-17T23:10:47Z,38.57882425,-107.7255568,76.6,0,27.7,0,83.5,15.9,67.8,59,0,22.4,0,87.1,26.3,60.7
2022-06-17T09:39:51Z,38.57882425,-107.7255568,32,0,5,0,125.7,82.8,43.2,28.2,0,17.3,0,122.7,77.1,45.4
2022-07-17T20:08:54Z,38.57882425,-107.7255568,9.9,0,31.1,0,140.8,109.8,31.1,10.8,0,29.4,0,136.8,99.2,37.7
2022-08-17T06:37:58Z,38.57882425,-107.7255568,12.4,0,42.5,0,119.2,71.2,48,5.2,0,34.2,0,125.2,88.3,36.5
2022-09-16T17:07:02Z,38.57882425,-107.7255568,8.3,0,12.1,0,82,68.5,13.2,6.1,0,20.2,0,79.3,59.2,20.1
2022-10-17T03:36:06Z,38.57882425,-107.7255568,20.8,0,36,0,43.4,25.6,18,43.6,0,75,0.2,33.2,13.9,19.6
2022-11-16T14:05:10Z,38.57882425,-107.7255568,33.2,0,21,7.2,9.9,5.9,4,61.1,0,2.7,2.1,11.4,4,8
2022-12-17T00:34:14Z,38.57882425,-107.7255568,64,0,10.1,16.2,0.5,0,0.5,77.8,0,10.5,0,3.7,0.2,3
2023-01-16T05:14:31Z,38.57882425,-107.7255568,82.6,31.3,20.8,6.9,0,0,0,80.4,0,0,4.5,0.3,0,0.3
2023-02-15T15:43:35Z,38.57882425,-107.7255568,97.7,24.3,11.4,3.7,0,0,0,95,34.9,27.6,12.7,0,0,0
2023-03-18T02:12:39Z,38.57882425,-107.7255568,94.4,8.5,23.9,0,27.7,0.5,27.1,91.4,31.2,20.4,0,26.3,2,24.5
2023-04-17T12:41:43Z,38.57882425,-107.7255568,92.7,20.9,40,0,41.1,2.3,38.4,81.4,0,41.1,0,51.5,6.4,45.1
2023-05-17T23:10:47Z,38.57882425,-107.7255568,62.4,0,18.5,0,77.3,22.7,54.9,71.7,0,52.2,0,79.4,13.5,65.7
2023-06-17T09:39:51Z,38.57882425,-107.7255568,28.1,0,5.2,0,114.3,78.8,35.6,41,0,20.7,0,118.1,59.1,59.4
2023-07-17T20:08:54Z,38.57882425,-107.7255568,7.7,0,1.7,0,140.2,127.2,13,16.6,0,30.3,0,121.2,75.4,45.9
2023-08-17T06:37:58Z,38.57882425,-107.7255568,2,0,9.9,0,126.9,114.5,12.7,9.5,0,27.9,0,114.1,82.4,31.4
2023-09-16T17:07:02Z,38.57882425,-107.7255568,21.4,0,56.9,0,74.6,43.5,31,4.8,0,11.4,0,84.7,70.5,14
2023-10-17T03:36:06Z,38.57882425,-107.7255568,29.8,0,22.6,0,34.2,19,15.2,16.3,0,24.5,0,42.5,28.8,13.6
2023-11-16T14:05:10Z,38.57882425,-107.7255568,35.1,0,8.5,23.6,11.6,6,5.4,22.3,0,14.3,0.7,11.7,6.3,5.3
2023-12-17T00:34:14Z,38.57882425,-107.7255568,75.5,1.8,12.5,1.1,0.4,0,0.4,34.3,0,0,22.7,0.7,0,0.7
2024-01-16T05:14:31Z,38.57882425,-107.7255568,97.7,1.8,1.8,15.6,0,0,0,39.8,0,0,47.8,0,0,0
2024-02-15T15:43:35Z,38.57882425,-107.7255568,97.7,35.4,7.6,0.1,0.7,0,0.7,57.2,0,2.9,13.2,0,0,0
2024-03-17T02:12:39Z,38.57882425,-107.7255568,96.8,9.3,18.2,0,13.7,0,13.5,97.1,39,12.5,0,4.9,0,4.9
2024-04-16T12:41:43Z,38.57882425,-107.7255568,86.9,28.1,32.9,0,50.4,6.4,44,91.2,7.3,33.8,0,47.9,2.5,45.6
2024-05-16T23:10:47Z,38.57882425,-107.7255568,59.2,0,24.5,0,84.9,31.4,53.5,67.9,0,34.2,0,77.5,17.7,59.8
2024-06-16T09:39:51Z,38.57882425,-107.7255568,21.2,0,8.6,0,131.6,96.5,35.7,32,0,7.7,0,120.9,75.9,44.9
2024-07-16T20:08:54Z,38.57882425,-107.7255568,5.6,0,5.7,0,141.7,127.9,13.6,12,0,37.5,0,132,87,45
2024-08-16T06:37:58Z,38.57882425,-107.7255568,1.5,0,14.8,0,129.1,113,16.4,11.5,0,33.7,0,117.5,82,35.4
2024-09-15T17:07:02Z,38.57882425,-107.7255568,2.4,0,16.5,0,74,60.7,12.8,7.5,0,20.6,0,74.3,53.9,20.5
2024-10-16T03:36:06Z,38.57882425,-107.7255568,13.4,0,33.7,0,45.2,23.7,21.3,14.9,0,32.8,0,44,30.6,13.2
