date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,38.57882425,-107.7255568,79.2,9,21.1,12.5,1.4,0,1.4
1980-02-15T15:43:35Z,38.57882425,-107.7255568,97.6,60.5,37.4,0,2.5,0,2.5
1980-03-17T02:12:39Z,38.57882425,-107.7255568,97.2,29,13.2,6,5,0,4.9
1980-04-16T12:41:43Z,38.57882425,-107.7255568,85.8,7.4,25.7,0,43.4,5,38.4
1980-05-16T23:10:47Z,38.57882425,-107.7255568,84.4,6.6,50.1,0,71.2,7.5,63.4
1980-06-16T09:39:51Z,38.57882425,-107.7255568,40,0,0.4,0,117.5,69.9,47.4
1980-07-16T20:08:54Z,38.57882425,-107.7255568,14.3,0,24.9,0,130.9,93.2,37.8
1980-08-16T06:37:58Z,38.57882425,-107.7255568,7.9,0,26.3,0,109.3,86.8,22.6
1980-09-15T17:07:02Z,38.57882425,-107.7255568,12.6,0,16.6,0,73.2,56.1,17.4
1980-10-16T03:36:06Z,38.57882425,-107.7255568,24.9,0,32.1,0,33.9,22.1,11.8
1980-11-15T14:05:10Z,38.57882425,-107.7255568,41.8,0,7.8,0,12.8,6.9,5.8
1980-12-16T00:34:14Z,38.57882425,-107.7255568,64.4,0,13.3,0,10.8,3.3,7.6
1981-01-16T05:14:31Z,38.57882425,-107.7255568,66.8,0,3.8,5.2,6.9,2.4,4.4
1981-02-15T15:43:35Z,38.57882425,-107.7255568,70,0,3,0.2,7.8,1.6,6.2
1981-03-18T02:12:39Z,38.57882425,-107.7255568,91,4.7,19.7,0,9.3,0.2,9
1981-04-17T12:41:43Z,38.57882425,-107.7255568,83.1,6.2,14.4,0,59.4,10.2,48.8
1981-05-17T23:10:47Z,38.57882425,-107.7255568,52.7,0,40.3,0,79.4,24.9,54.9
1981-06-17T09:39:51Z,38.57882425,-107.7255568,30.1,0,22.7,0,119,69.4,49.7
1981-07-17T20:08:54Z,38.57882425,-107.7255568,21.2,0,72.4,0,129.6,62.6,66.9
1981-08-17T06:37:58Z,38.57882425,-107.7255568,20.4,0,49.4,0,110.8,62.5,48.3
1981-09-16T17:07:02Z,38.57882425,-107.7255568,24.9,0,28.7,0,74.9,40.9,34
1981-10-17T03:36:06Z,38.57882425,-107.7255568,51.1,0,65,0.2,35,8.2,26.7
1981-11-16T14:05:10Z,38.57882425,-107.7255568,58.5,0,6.6,13.6,16.3,5.3,10.7
1981-12-17T00:34:14Z,38.57882425,-107.7255568,67.8,0,2.1,22.7,4.8,1.1,3.7
1982-01-16T05:14:31Z,38.57882425,-107.7255568,74.2,0,0,41.5,0,0,0
1982-02-15T15:43:35Z,38.57882425,-107.7255568,92.8,57.9,5,0,4.1,0,3.8
1982-03-18T02:12:39Z,38.57882425,-107.7255568,96.1,22.6,21,0,14.7,0,14.5
1982-04-17T12:41:43Z,38.57882425,-107.7255568,83.4,0,9,0,42.9,5.6,37.1
1982-05-17T23:10:47Z,38.57882425,-107.7255568,69.2,0,40.5,0,75,18.7,56.3
1982-06-17T09:39:51Z,38.57882425,-107.7255568,34.4,0,9.1,0,106.4,63.2,43.1
1982-07-17T20:08:54Z,38.57882425,-107.7255568,12.7,0,28.5,0,126.3,89.9,36.3
1982-08-17T06:37:58Z,38.57882425,-107.7255568,10.8,0,54.4,0,113.9,58.5,55.4
1982-09-16T17:07:02Z,38.57882425,-107.7255568,27.1,0,76.7,0,69.4,21.5,47.9
1982-10-17T03:36:06Z,38.57882425,-107.7255568,39.1,0,19.9,0.7,30.2,16.1,13.9
1982-11-16T14:05:10Z,38.57882425,-107.7255568,70.7,0,16.5,2.4,3.5,1,2.6
