date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,37.5838981,-112.1827111,55.1,20,1.3,0.8,0.6,0,0.6,50.4,0,12,4.1,1.6,0.2,1
2020-02-15T15:43:35Z,37.5838981,-112.1827111,53.3,0.3,2.9,0,10.5,0.5,10.1,54.9,0,0,15,0,0,0
2020-03-17T02:12:39Z,37.5838981,-112.1827111,51.2,29.7,37.4,0,27.8,1.8,26,49.5,13.9,1.1,0,22.8,2.8,20
2020-04-16T12:41:43Z,37.5838981,-112.1827111,34.2,0,7.9,0,52.9,19.4,33.3,41.8,1.9,21.6,0,46.1,11.6,34.6
2020-05-16T23:10:47Z,37.5838981,-112.1827111,13.7,0,2.4,0,71.2,54.5,17.1,17.1,0,3.9,0,76.7,51,26.2
2020-06-16T09:39:51Z,37.5838981,-112.1827111,3,0,3.4,0,105.5,96.5,9.1,7.5,0,36.2,0,110.6,77.1,33.6
2020-07-16T20:08:54Z,37.5838981,-112.1827111,7.4,0,45.2,0,121.4,82.4,39.3,4,0,8.9,0,126.2,108.2,18.1
2020-08-16T06:37:58Z,37.5838981,-112.1827111,7.8,0,43,0,109.1,65.9,43.3,2.4,0,40.5,0,104.2,73.9,29.2
2020-09-15T17:07:02Z,37.5838981,-112.1827111,33.9,8.7,100.3,0,68.5,23.4,44.5,7.7,0,13.2,0,74.3,53.5,21.3
2020-10-16T03:36:06Z,37.5838981,-112.1827111,43.7,0,20.3,0,47.9,7.7,40.2,2.6,0,0.3,0,43.4,41,2.1
2020-11-15T14:05:10Z,37.5838981,-112.1827111,41.6,0,15,0.3,15.1,2.9,12.1,6.1,0,8.9,0,15.9,13.2,2.5
2020-12-16T00:34:14Z,37.5838981,-112.1827111,53,11.1,12.8,0,1.7,0,1.7,8.4,0,0,12.8,3.6,2.8,0.6
2021-01-16T05:14:31Z,37.5838981,-112.1827111,51.8,0,1.8,0.9,9.2,0.5,8.3,17.8,0,0,0,2.6,1.1,1.5
2021-02-15T15:43:35Z,37.5838981,-112.1827111,54.6,48.7,37.9,5.3,6.4,0,6.3,24.6,0,0.1,0,3.1,0.9,2.1
2021-03-18T02:12:39Z,37.5838981,-112.1827111,47.9,6,4.7,2.6,19.9,2.4,17.5,25.3,0,1.5,0.9,20.6,11,9.4
2021-04-17T12:41:43Z,37.5838981,-112.1827111,37.7,0,14.1,0,37.3,10.3,27,19.1,0,5.4,0,39.3,23.6,16
2021-05-17T23:10:47Z,37.5838981,-112.1827111,22.1,0,4.9,0,91.2,56.1,34.7,11.7,0,34.6,0,83.6,51.8,31.9
2021-06-17T09:39:51Z,37.5838981,-112.1827111,3.4,0,2.2,0,112.7,103.5,8.8,7.5,0,5.3,0,103.6,85.3,18.6
2021-07-17T20:08:54Z,37.5838981,-112.1827111,0.7,0,31.2,0,132.8,103.2,29.5,10.1,0,55.4,0,120.5,74.3,46.1
