date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,37.5838981,-112.1827111,43.3,0,10.5,66.8,0,0,0
1980-02-15T15:43:35Z,37.5838981,-112.1827111,55,80.4,20.8,89.7,0,0,0
1980-03-17T02:12:39Z,37.5838981,-112.1827111,55.1,42.1,7.1,97,0,0,0
1980-04-16T12:41:43Z,37.5838981,-112.1827111,48.4,97.2,18,0.5,33,5.2,27.7
1980-05-16T23:10:47Z,37.5838981,-112.1827111,44.5,16.8,42.1,0,55.5,9.1,46.6
1980-06-16T09:39:51Z,37.5838981,-112.1827111,15.2,0,1.7,0,99,71.3,27.6
1980-07-16T20:08:54Z,37.5838981,-112.1827111,4.4,0,27.2,0,118.3,89.1,29.5
1980-08-16T06:37:58Z,37.5838981,-112.1827111,8.1,0,33.5,0,99.2,67.8,31.2
1980-09-15T17:07:02Z,37.5838981,-112.1827111,31.7,1.6,65.6,0,66.9,23.8,42.8
1980-10-16T03:36:06Z,37.5838981,-112.1827111,29.7,0,21.8,0,33,14.7,18.2
1980-11-15T14:05:10Z,37.5838981,-112.1827111,33.5,0,2.2,0,14.6,4.7,10
1980-12-16T00:34:14Z,37.5838981,-112.1827111,34.5,0,1.3,0,10.8,3.8,7
1981-01-16T05:14:31Z,37.5838981,-112.1827111,29.2,0,0,4.9,8.1,3.4,4.6
1981-02-15T15:43:35Z,37.5838981,-112.1827111,30.6,0,1.6,1.3,7.7,2.9,4.7
1981-03-18T02:12:39Z,37.5838981,-112.1827111,49.1,39.3,19.8,0,4.4,0,4.3
1981-04-17T12:41:43Z,37.5838981,-112.1827111,46.7,0,20.9,0,51.4,8.4,43.1
1981-05-17T23:10:47Z,37.5838981,-112.1827111,30.3,0,44.1,0,67.6,22.2,45.7
1981-06-17T09:39:51Z,37.5838981,-112.1827111,14.5,0,9.7,0,114.5,76.3,37.9
1981-07-17T20:08:54Z,37.5838981,-112.1827111,5.8,0,31.8,0,122.1,89.5,33
1981-08-17T06:37:58Z,37.5838981,-112.1827111,22.3,0,77.3,0,102.6,44.3,58.2
1981-09-16T17:07:02Z,37.5838981,-112.1827111,28.9,0,41.9,0,68.9,23.6,45
1981-10-17T03:36:06Z,37.5838981,-112.1827111,48.6,8.9,61.8,2.4,27.4,1.4,25.9
1981-11-16T14:05:10Z,37.5838981,-112.1827111,50,1.2,10.4,15.5,15.1,1,14.1
1981-12-17T00:34:14Z,37.5838981,-112.1827111,51.2,6.8,0.8,1.7,6.3,0,6
1982-01-16T05:14:31Z,37.5838981,-112.1827111,52.8,15.6,0,21.9,0,0,0
1982-02-15T15:43:35Z,37.5838981,-112.1827111,54.2,38,0,0,6.8,0.3,6.4
1982-03-18T02:12:39Z,37.5838981,-112.1827111,53.6,29.6,14.9,11.2,4.6,0.2,4.6
1982-04-17T12:41:43Z,37.5838981,-112.1827111,45,12.7,5.7,0,35.3,7.2,27.9
