date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.96,-111.6,98.9,0,0,218.8,0,0,0,110.2,0,6.2,154.7,0,0,0
2020-02-15T15:43:35Z,44.96,-111.6,110.2,0,13.8,293.6,0,0,0,118.6,0,6.7,193.9,0,0,0
2020-03-17T02:12:39Z,44.96,-111.6,138.3,80.5,18,190.5,0,0,0,158.2,141.5,23.3,60.4,0,0,0
2020-04-16T12:41:43Z,44.96,-111.6,170.4,58.7,18,231.3,0,0,0,170.1,117.9,41.6,0,5.2,0,5.1
2020-05-16T23:10:47Z,44.96,-111.6,167.3,264.8,51.4,0,38,1,37.1,159.9,2.8,50.4,0,69.7,2.7,66.9
2020-06-16T09:39:51Z,44.96,-111.6,159.7,27.1,81.8,0,80.2,4.8,76,163.9,29.8,105.1,0,78.8,2.3,76.5
2020-07-16T20:08:54Z,44.96,-111.6,129.3,0,77.2,0,105.9,16.3,89.8,129,0,45.9,0,93.6,14.3,79.2
2020-08-16T06:37:58Z,44.96,-111.6,100.5,0,15.1,0,85.7,29.6,56.2,99.3,0,34.5,0,78.2,22.2,55.6
2020-09-15T17:07:02Z,44.96,-111.6,85,0,57,0,47.6,10,37.3,83.4,0,64.2,8.2,55.5,24.8,30.3
2020-10-16T03:36:06Z,44.96,-111.6,105.3,0,47.8,0.7,28.3,6.8,21.8,137.4,0,6.7,15.8,8.8,1.4,7.4
2020-11-15T14:05:10Z,44.96,-111.6,163,7.3,39,63.5,0,0,0,162.5,10.8,26.7,28.6,0,0,0
2020-12-16T00:34:14Z,44.96,-111.6,170.4,0,0,157.1,0,0,0,170.4,0,0,53.4,0,0,0
2021-01-16T05:14:31Z,44.96,-111.6,170.4,0,0,239.6,0,0,0,170.4,0,0,111.4,0,0,0
2021-02-15T15:43:35Z,44.96,-111.6,170.4,22.6,9.4,286.6,0,0,0,170.4,0,0,183.1,0,0,0
2021-03-18T02:12:39Z,44.96,-111.6,170.4,87.8,20.2,264.6,0,0,0,170.4,145.7,53.8,144.3,0,0,0
2021-04-17T12:41:43Z,44.96,-111.6,170.4,396.9,120.3,1.6,4.7,0,4.7,170.4,195.3,46,0.7,1.4,0,1.4
2021-05-17T23:10:47Z,44.96,-111.6,163.4,18.4,61.2,0,59,1.7,57.4,166.6,11.4,47.2,0,42.6,0.6,41.9
2021-06-17T09:39:51Z,44.96,-111.6,151.3,26.8,50.5,0,70,5.3,64.7,159.8,19.3,70.3,0,71.6,3.1,68.3
2021-07-17T20:08:54Z,44.96,-111.6,129,0,67.8,0,100.9,13.2,87.7,131.7,0,48.7,0,96.6,13.6,83.1
2021-08-17T06:37:58Z,44.96,-111.6,96.1,0,32.8,0,91.8,27.1,64.6,108.8,0,55,0,80.8,15.3,65.7
2021-09-16T17:07:02Z,44.96,-111.6,116.9,0,76.9,0,47.6,7.7,40,103.8,0,22.2,0,34.1,9.1,25
2021-10-17T03:36:06Z,44.96,-111.6,114.1,0,6.7,47.3,22.6,6.3,16.5,109.5,0,12.6,26.4,17,5.4,11.5
2021-11-16T14:05:10Z,44.96,-111.6,111.7,0,0,69.9,0,0,0,166.2,27.4,28.6,38.9,0,0,0
2021-12-17T00:34:14Z,44.96,-111.6,111.7,0,0,176,0,0,0,170.4,0,0,89.3,0,0,0
2022-01-16T05:14:31Z,44.96,-111.6,117.1,0,6.7,207,0,0,0,170.4,0,0,126,0,0,0
2022-02-15T15:43:35Z,44.96,-111.6,131,0,10,301.4,0,0,0,170.4,5.3,5.3,177.5,0,0,0
2022-03-18T02:12:39Z,44.96,-111.6,157.8,143.4,15.1,157.2,0,0,0,170.4,37.9,10.7,176.6,0,0,0
2022-04-17T12:41:43Z,44.96,-111.6,170.3,225.8,51.8,0,9.1,0,9.1,170.4,105.2,19.7,123.1,0,0,0
2022-05-17T23:10:47Z,44.96,-111.6,153.2,0,27.1,0,71.6,6.2,65.2,167.8,138.5,59.4,0,47.5,0.5,46.7
2022-06-17T09:39:51Z,44.96,-111.6,129.5,0,59.6,0,83,10.8,72.1,147.1,0,22.8,0,81.1,9.7,71.3
2022-07-17T20:08:54Z,44.96,-111.6,91.2,0,15.2,0,104.8,41.6,63,98.9,0,27.1,0,97.9,30.7,67.4
2022-08-17T06:37:58Z,44.96,-111.6,71.5,0,58.8,0,85.1,21.4,63.8,72.5,0,48.4,0,83.5,27.8,55.8
2022-09-16T17:07:02Z,44.96,-111.6,93.2,0,91,0,54,12.6,41.4,69,0,34.5,0,48.3,19.5,29
2022-10-17T03:36:06Z,44.96,-111.6,124.1,0,48.4,0.9,20.3,3.7,16.6,121.8,0,74.8,3.4,19.5,4.2,15.2
2022-11-16T14:05:10Z,44.96,-111.6,164.5,0,5.3,38.8,0.5,0,0.5,146.6,0,2.9,60,0,0,0
2022-12-17T00:34:14Z,44.96,-111.6,169.4,0,2.4,91.2,0,0,0,170.4,16.8,6.5,84.9,0,0,0
2023-01-16T05:14:31Z,44.96,-111.6,169.4,0,0,134.5,0,0,0,170.4,8.9,6.8,133.8,0,0,0
2023-02-15T15:43:35Z,44.96,-111.6,170.4,144.3,33.6,54,0,0,0,170.4,2.4,1.9,159.5,0,0,0
2023-03-18T02:12:39Z,44.96,-111.6,170.4,109.3,38,14.4,0,0,0,170.4,114.8,29.4,122.1,0,0,0
2023-04-17T12:41:43Z,44.96,-111.6,170,114.4,69,0.6,7.8,0,7.7,170.2,183.6,34.8,0,6.7,0,6.7
2023-05-17T23:10:47Z,44.96,-111.6,164.6,9.2,56.7,0,57.6,0.9,56.5,166.2,39.3,53.6,0,39.1,1,37.9
2023-06-17T09:39:51Z,44.96,-111.6,161.8,22.5,61.4,0,64.1,2.7,61.7,142.1,0,20.7,0,62.8,7.8,54.9
2023-07-17T20:08:54Z,44.96,-111.6,137.1,0,61.8,0,95.9,10.6,85.8,106.1,0,26.5,0,91.5,25.7,65.6
2023-08-17T06:37:58Z,44.96,-111.6,91.8,0,15.2,0,92.6,34.1,58.6,76.2,0,36.6,0,84.6,30.5,54.7
2023-09-16T17:07:02Z,44.96,-111.6,89.8,0,83.8,0,40.4,18.3,22.3,66.2,0,26.5,0,47.1,17.6,29.7
2023-10-17T03:36:06Z,44.96,-111.6,166.7,62.1,98.1,21.5,13.8,0.4,13.3,72.2,0,15.7,0,22.9,10,13
2023-11-16T14:05:10Z,44.96,-111.6,170.3,59.4,15.2,30.2,1.1,0,1.1,93.5,0,14,42.8,0,0,0
2023-12-17T00:34:14Z,44.96,-111.6,170.4,14.4,4.8,68.6,0,0,0,117.2,0,1.2,48.7,0,0,0
2024-01-16T05:14:31Z,44.96,-111.6,170.4,0,0,152.9,0,0,0,136.6,0,7.7,108.2,0,0,0
2024-02-15T15:43:35Z,44.96,-111.6,170.4,0,0,193.3,0,0,0,144.8,0,0,142.3,0,0,0
2024-03-17T02:12:39Z,44.96,-111.6,170.4,221.9,40.5,27.2,0,0,0,169.3,159.9,22,12.4,3.6,0,3.6
2024-04-16T12:41:43Z,44.96,-111.6,168.6,59.9,46.1,0,22.1,0.3,21.7,169.4,81.5,71.1,0.3,25.6,0,25.5
2024-05-16T23:10:47Z,44.96,-111.6,140.4,0,19.3,0,78.8,10.5,67.8,164.3,33.9,75.8,0,48.8,1.7,47.1
2024-06-16T09:39:51Z,44.96,-111.6,102.8,0,28.7,0,93.6,28.5,65.1,150.8,17.6,45,0,84.2,8.9,75.3
2024-07-16T20:08:54Z,44.96,-111.6,76.6,0,61.8,0,100.6,32.4,68.5,112.1,0,53.6,0,100,22.2,78.8
2024-08-16T06:37:58Z,44.96,-111.6,61.1,0,21.5,0,84.6,41.1,43.4,86.4,0,37.4,0,83.9,27.4,56.4
2024-09-15T17:07:02Z,44.96,-111.6,90.8,0,76,0,48.1,10.4,37.9,78.2,0,39.5,0,54,21.9,32.2
2024-10-16T03:36:06Z,44.96,-111.6,116.8,0,52.5,0.5,22.4,5,17.3,106.4,0,34.5,4.6,17,3.3,13.7
2024-11-15T14:05:10Z,44.96,-111.6,147.1,0,22.8,102.1,1.9,0,1.9,136.6,0,25,16.2,0,0,0
2024-12-16T00:34:14Z,44.96,-111.6,161.8,10.2,13,130.3,0,0,0,160,0,0,84.9,0,0,0
2025-01-16T05:14:31Z,44.96,-111.6,170.4,23,18.8,201.9,0,0,0,161.7,0,2.4,108.9,0,0,0
2025-02-15T15:43:35Z,44.96,-111.6,170.4,2.4,2.4,253.4,0,0,0,168.6,23.1,14.6,129,0,0,0
2025-03-18T02:12:39Z,44.96,-111.6,170.4,107.4,40.2,247.1,0,0,0,170.4,52.1,18.7,139.7,0,0,0
2025-04-17T12:41:43Z,44.96,-111.6,170.4,290,33.9,3.8,3.5,0,3.5,170.4,204.7,43,0.5,2.8,0,2.8
2025-05-17T23:10:47Z,44.96,-111.6,166.4,13.6,57.3,0,54.6,1.1,53.7,169.5,71.6,81.3,0,32.9,0.1,32.7
2025-06-17T09:39:51Z,44.96,-111.6,148.6,1,37.1,0,83.3,7,76.7,157.4,21.9,59.9,0,80.4,6.1,74.4
2025-07-17T20:08:54Z,44.96,-111.6,96.7,0,11.4,0,106.8,40.9,65.8,107.8,0,34.2,0,106.8,28.8,78
2025-08-17T06:37:58Z,44.96,-111.6,54.6,0,10.5,0,104.5,63.4,41.1,73,0,31.4,0,93.2,37.3,55.4
2025-09-16T17:07:02Z,44.96,-111.6,87.3,0,104.9,0,45,13.9,31.2,67.1,0,22.5,0,46.9,22.3,24.2
2025-10-17T03:36:06Z,44.96,-111.6,143.2,37.4,46.7,0,17.2,3,14.3,74.6,0,22.5,0,17.8,8,10.2
2025-11-16T14:05:10Z,44.96,-111.6,170.3,20.7,9.4,27.4,1.4,0,1.4,81.3,0,8.5,67.4,1.3,0.7,0.6
2025-12-17T00:34:14Z,44.96,-111.6,170.4,32.8,25.7,78.1,0,0,0,94.5,0,10.1,109.7,0,0,0
2026-01-16T05:14:31Z,44.96,-111.6,170.4,12.9,10,200.4,0,0,0,101.9,0,10.7,153.3,0,0,0
2026-02-15T15:43:35Z,44.96,-111.6,170.4,3.6,3.6,266.2,0,0,0,110.6,0,0,241.4,0,0,0
2026-03-18T02:12:39Z,44.96,-111.6,170.4,42.2,6.6,256.9,0,0,0,128,32.3,9.6,180.1,0,0,0
2026-04-17T12:41:43Z,44.96,-111.6,170.4,336.7,73.8,0,4,0,4,170.4,227.8,63.5,38.3,0,0,0
2026-05-17T23:10:47Z,44.96,-111.6,161.6,0.9,53.6,0,71.7,2.6,69.1,169.6,85,83.9,0,42,0,41.8
2026-06-17T09:39:51Z,44.96,-111.6,134.1,0,36.7,0,83.6,10.6,73.1,155.6,13.8,64.6,0,88.9,4.3,84.4
2026-07-17T20:08:54Z,44.96,-111.6,96.8,0,27.5,0,105.5,36,69.3,135.2,0,64.5,0,95.7,12,83.9
2026-08-17T06:37:58Z,44.96,-111.6,64.4,0,25.7,0,96.7,47.2,48.9,100.9,0,34.2,0,79.7,21.1,58.3
