date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,44.96,-111.6,127.7,0,0,144.5,0,0,0
1980-02-15T15:43:35Z,44.96,-111.6,130,0,3.3,206.1,0,0,0
1980-03-17T02:12:39Z,44.96,-111.6,142.2,0,7.3,277.1,0,0,0
1980-04-16T12:41:43Z,44.96,-111.6,161.4,268.4,22.4,0,15,0.2,14.7
1980-05-16T23:10:47Z,44.96,-111.6,169.1,98.5,128,0,41.8,0.3,41.5
1980-06-16T09:39:51Z,44.96,-111.6,156.4,16,53.8,0,72.2,4,68.1
1980-07-16T20:08:54Z,44.96,-111.6,129.3,0,43,0,93.9,16.2,77.7
1980-08-16T06:37:58Z,44.96,-111.6,99.2,0,48,0,70.9,18.4,52.3
1980-09-15T17:07:02Z,44.96,-111.6,130.3,0,81.9,0,45.5,5.6,40.1
1980-10-16T03:36:06Z,44.96,-111.6,147.4,0,15.6,0,16.8,2.3,14.7
1980-11-15T14:05:10Z,44.96,-111.6,166.8,9.1,22,22.9,3.8,0.1,3.7
1980-12-16T00:34:14Z,44.96,-111.6,170.4,69.1,27,14.7,0,0,0
1981-01-16T05:14:31Z,44.96,-111.6,170.4,1.2,1.2,47.7,0,0,0
1981-02-15T15:43:35Z,44.96,-111.6,170.4,32.8,23.7,82.7,0,0,0
1981-03-18T02:12:39Z,44.96,-111.6,170.4,87.9,30.5,39.5,0,0,0
1981-04-17T12:41:43Z,44.96,-111.6,169.7,76.4,47.3,0,22.6,0.1,22.3
1981-05-17T23:10:47Z,44.96,-111.6,169.4,84,110.2,0,39.9,0.1,39.9
1981-06-17T09:39:51Z,44.96,-111.6,162.1,15,52.6,0,66.7,2.8,63.7
1981-07-17T20:08:54Z,44.96,-111.6,120.2,0,29.3,0,91.6,19.4,71.9
1981-08-17T06:37:58Z,44.96,-111.6,80.2,0,9.5,0,83.7,38.7,45
1981-09-16T17:07:02Z,44.96,-111.6,59.8,0,29.4,0,47.9,29.3,18.8
1981-10-17T03:36:06Z,44.96,-111.6,116.5,0,51.6,7.2,9.5,2.7,6.8
1981-11-16T14:05:10Z,44.96,-111.6,156.9,1.5,29,39.5,4.7,0.8,3.9
1981-12-17T00:34:14Z,44.96,-111.6,170.4,40.7,6.5,92.5,0,0,0
1982-01-16T05:14:31Z,44.96,-111.6,170.4,0,0,187.7,0,0,0
1982-02-15T15:43:35Z,44.96,-111.6,170.4,64.6,23.3,177.6,0,0,0
1982-03-18T02:12:39Z,44.96,-111.6,170.4,48.9,34.3,252.2,0,0,0
1982-04-17T12:41:43Z,44.96,-111.6,170.4,198.7,27.6,137,0,0,0
1982-05-17T23:10:47Z,44.96,-111.6,166.9,164.5,50.7,0,29.6,0.6,29.2
1982-06-17T09:39:51Z,44.96,-111.6,158.6,30.6,56,0,65.9,4.1,61.7
1982-07-17T20:08:54Z,44.96,-111.6,133.8,0,56.6,0,89.7,11.9,77.5
1982-08-17T06:37:58Z,44.96,-111.6,97.1,0,32.1,0,83.8,23.7,60
1982-09-16T17:07:02Z,44.96,-111.6,106.5,0,69.7,1.4,37.5,12.5,24.9
1982-10-17T03:36:06Z,44.96,-111.6,163.2,10.1,38.5,9.7,8.8,0,8.6
1982-11-16T14:05:10Z,44.96,-111.6,170.4,11.1,4.3,67.7,0,0,0
1982-12-17T00:34:14Z,44.96,-111.6,170.4,0,0,180.2,0,0,0
1983-01-16T05:14:31Z,44.96,-111.6,170.4,6.9,3,216.3,0,0,0
1983-02-15T15:43:35Z,44.96,-111.6,170.4,28.2,21.3,277.1,0,0,0
1983-03-18T02:12:39Z,44.96,-111.6,170.4,113.3,47.2,253,0,0,0
1983-04-17T12:41:43Z,44.96,-111.6,170.4,212.3,7.1,73.6,0,0,0
1983-05-17T23:10:47Z,44.96,-111.6,165.2,109.5,27.7,0,29.3,1.9,27.4
1983-06-17T09:39:51Z,44.96,-111.6,155.7,0,82.6,0,66.6,2.6,64.2
1983-07-17T20:08:54Z,44.96,-111.6,159.6,25.2,83.6,0,89.7,4.2,85.3
1983-08-17T06:37:58Z,44.96,-111.6,126.5,0,60.3,0,86.4,12.8,73.4
1983-09-16T17:07:02Z,44.96,-111.6,123.6,0,78.1,0,41.6,7.5,34.6
1983-10-17T03:36:06Z,44.96,-111.6,169.5,45.4,48.4,0,16.4,0,16.4
1983-11-16T14:05:10Z,44.96,-111.6,170.4,36.2,37.3,81.2,0.5,0,0.5
1983-12-17T00:34:14Z,44.96,-111.6,170.4,0,0,170.8,0,0,0
1984-01-16T05:14:31Z,44.96,-111.6,170.4,0,0,209,0,0,0
1984-02-15T15:43:35Z,44.96,-111.6,170.4,0,0,252.8,0,0,0
1984-03-17T02:12:39Z,44.96,-111.6,170.4,18.5,15.7,310.7,0,0,0
1984-04-16T12:41:43Z,44.96,-111.6,170.4,159.9,34.9,238.4,0,0,0
1984-05-16T23:10:47Z,44.96,-111.6,168.7,287.6,60.4,0,26.4,0.2,26
1984-06-16T09:39:51Z,44.96,-111.6,166.1,54.3,83.2,0,53,1.6,51.1
1984-07-16T20:08:54Z,44.96,-111.6,137.3,0,79.8,0,93.9,9.9,83.4
1984-08-16T06:37:58Z,44.96,-111.6,136.3,0,66.6,0,80.8,8.7,71.9
1984-09-15T17:07:02Z,44.96,-111.6,143.4,0,44.4,0,32.8,5.6,27
1984-10-16T03:36:06Z,44.96,-111.6,167.4,1.6,16.3,35.5,11.8,0.4,11.3
1984-11-15T14:05:10Z,44.96,-111.6,170.4,18.4,11.7,89.1,0,0,0
1984-12-16T00:34:14Z,44.96,-111.6,170.4,0,0,144.7,0,0,0
1985-01-16T05:14:31Z,44.96,-111.6,170.4,0,0,178.1,0,0,0
1985-02-15T15:43:35Z,44.96,-111.6,170.4,0,0,240.2,0,0,0
1985-03-18T02:12:39Z,44.96,-111.6,170.4,7.6,4.1,308.3,0,0,0
1985-04-17T12:41:43Z,44.96,-111.6,169.7,321.7,6.4,0,10.4,0,10.4
1985-05-17T23:10:47Z,44.96,-111.6,162.3,0,46.3,0,52.1,1.5,50.7
1985-06-17T09:39:51Z,44.96,-111.6,147.4,0.3,24.7,0,76.6,8.5,68.1
1985-07-17T20:08:54Z,44.96,-111.6,102.8,0,48.1,0,98.8,25.7,73.2
1985-08-17T06:37:58Z,44.96,-111.6,94.2,0,29.1,0,70.2,24.9,45.1
1985-09-16T17:07:02Z,44.96,-111.6,132.3,0,87.7,0,27.8,2.5,25.2
