Model,X_RCP45(¡F),Y_RCP45(in),X_RCP85(¡F),Y_RCP85(in)
bcc-csm1-1,4.449,0.981,5.92,2.125
bcc-csm1-1-m,3.549,-0.629,5.306,1.63
BNU-ESM,4.857,2.215,6.707,3.526
CanESM2,5.667,4.121,7.461,6.545
CCSM4,4.166,0.867,5.646,1.497
CNRM-CM5,3.882,1.839,5.255,3.937
CSIRO-Mk3-6-0,5.361,-0.086,6.104,0.382
GFDL-ESM2M,2.176,1.128,3.917,-0.045
GFDL-ESM2G,3.8,1.678,4.471,2.284
HadGEM2-CC365,4.966,1.331,7.296,0.031
HadGEM2-ES365,5.349,1.663,7.302,0.514
inmcm4,2.139,0.971,3.745,1
IPSL-CM5A-LR,4.562,-0.47,6.378,-0.367
IPSL-CM5A-MR,5.349,0.119,7.353,1.112
IPSL-CM5B-LR,3.713,1.235,5.196,1.506
MIROC5,5.858,2.942,6.974,4.506
MIROC-ESM,6.902,4.23,8.374,3.184
MIROC-ESM-CHEM,6.782,4.725,8.801,5.686
MRI-CGCM3,1.994,1.788,3.284,3.244
NorESM1-M,4.818,3.521,6.172,3.138
20CMIP5ModelMean,4.517,1.709,6.083,2.272
