date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,45.023145,-110.2968457,118.2,0,0,261.9,0,0,0,139.7,0,0,192.1,0,0,0
2020-02-15T15:43:35Z,45.023145,-110.2968457,118.2,0,0,287.7,0,0,0,139.7,0,0,237.2,0,0,0
2020-03-17T02:12:39Z,45.023145,-110.2968457,134.8,47.2,23.6,253.8,0,0,0,139.7,137.4,17.2,155.5,0,0,0
2020-04-16T12:41:43Z,45.023145,-110.2968457,139.2,306.1,58.1,17.2,14.7,0,14.7,139.7,109.4,24.9,114.7,0,0,0
2020-05-16T23:10:47Z,45.023145,-110.2968457,137.1,107.4,67.8,0,26.7,0.8,26.1,135.5,137.3,55.2,0,48.5,1.1,47.6
2020-06-16T09:39:51Z,45.023145,-110.2968457,134.9,92.7,115.6,0,44.1,1.2,42.9,135.9,62.6,124.4,0,67.3,1.2,66
2020-07-16T20:08:54Z,45.023145,-110.2968457,123.4,0,69.8,0,82.5,4.8,77.8,119.5,0,64.9,0,83.8,6.5,77
2020-08-16T06:37:58Z,45.023145,-110.2968457,100.3,0,41.9,0,72.5,12.7,59.9,99.5,0,37,0,68.2,11.7,57.1
2020-09-15T17:07:02Z,45.023145,-110.2968457,112.2,0.6,54.2,2.7,31.7,6,25.9,86.8,0,46.3,39.9,46.5,14.3,32
2020-10-16T03:36:06Z,45.023145,-110.2968457,137,17.9,13.3,2.7,13.1,0.1,12.9,133.3,12.9,8.9,41.5,5.3,0,5.3
2020-11-15T14:05:10Z,45.023145,-110.2968457,139.7,45.4,28.7,52.7,0.6,0,0.6,139.7,40.6,19.4,57.5,0,0,0
2020-12-16T00:34:14Z,45.023145,-110.2968457,139.7,0,0,120.7,0,0,0,139.7,0,0,90.8,0,0,0
2021-01-16T05:14:31Z,45.023145,-110.2968457,139.7,21.7,10.2,173.4,0,0,0,139.7,0,0,168.8,0,0,0
2021-02-15T15:43:35Z,45.023145,-110.2968457,139.7,31.4,19.4,239.7,0,0,0,139.7,0,0,260.5,0,0,0
2021-03-18T02:12:39Z,45.023145,-110.2968457,139.7,18.7,17.8,323.6,0,0,0,139.7,58.8,8.2,306.4,0,0,0
2021-04-17T12:41:43Z,45.023145,-110.2968457,139.7,390.7,68.3,17,0,0,0,139.7,140.2,28.3,228,0,0,0
2021-05-17T23:10:47Z,45.023145,-110.2968457,136.1,82,82.6,3.6,35.2,0.6,34.4,139.1,286.2,58.2,0.4,15.6,0.1,15.6
2021-06-17T09:39:51Z,45.023145,-110.2968457,131.9,42.5,49.8,0,45.2,2,42.6,134.7,79.9,111.8,0,58.1,1.4,56.7
2021-07-17T20:08:54Z,45.023145,-110.2968457,98.5,0,28.1,0,86.6,19.3,67.3,124.3,0,76.8,0,85.5,5.3,80
2021-08-17T06:37:58Z,45.023145,-110.2968457,72.3,0,32.8,0,75.7,25.3,50.3,127,0,62.6,0,67.6,3.2,64.2
2021-09-16T17:07:02Z,45.023145,-110.2968457,81.2,0,51.1,0,35.6,7.8,27.8,129.4,4.6,25.6,0,25.2,1.2,23.9
2021-10-17T03:36:06Z,45.023145,-110.2968457,107.2,0,43.2,1.6,17.1,2.5,14.9,132.8,0,6.4,66.7,13.6,0.6,12.9
