date,lat,lon,soil_water_daily,runoff_daily,rain_daily,accumswe_daily,pet_daily,deficit_daily,aet_daily
1980-01-01T12:00:00Z,45.023145,-110.2968457,126.2,0,0,119.1,0,0,0
1980-01-02T12:00:00Z,45.023145,-110.2968457,126.2,0,0,119.1,0,0,0
1980-01-03T12:00:00Z,45.023145,-110.2968457,126.2,0,0,122.6,0,0,0
1980-01-04T12:00:00Z,45.023145,-110.2968457,126.2,0,0,127,0,0,0
1980-01-05T12:00:00Z,45.023145,-110.2968457,126.2,0,0,141.9,0,0,0
1980-01-06T12:00:00Z,45.023145,-110.2968457,126.2,0,0,143.5,0,0,0
1980-01-07T12:00:00Z,45.023145,-110.2968457,126.2,0,0,143.5,0,0,0
1980-01-08T12:00:00Z,45.023145,-110.2968457,126.2,0,0,147.7,0,0,0
1980-01-09T12:00:00Z,45.023145,-110.2968457,126.2,0,0,156.9,0,0,0
1980-01-10T12:00:00Z,45.023145,-110.2968457,126.2,0,0,177.5,0,0,0
1980-01-11T12:00:00Z,45.023145,-110.2968457,126.2,0,0,180.1,0,0,0
1980-01-12T12:00:00Z,45.023145,-110.2968457,126.2,0,0,199.6,0,0,0
1980-01-13T12:00:00Z,45.023145,-110.2968457,126.2,0,0,204,0,0,0
1980-01-14T12:00:00Z,45.023145,-110.2968457,126.2,0,0,209.9,0,0,0
1980-01-15T12:00:00Z,45.023145,-110.2968457,126.2,0,0,215,0,0,0
1980-01-16T12:00:00Z,45.023145,-110.2968457,126.2,0,0,215.7,0,0,0
1980-01-17T12:00:00Z,45.023145,-110.2968457,126.2,0,0,220.3,0,0,0
1980-01-18T12:00:00Z,45.023145,-110.2968457,126.2,0,0,224.7,0,0,0
1980-01-19T12:00:00Z,45.023145,-110.2968457,126.2,0,0,224.7,0,0,0
1980-01-20T12:00:00Z,45.023145,-110.2968457,126.2,0,0,225.5,0,0,0
1980-01-21T12:00:00Z,45.023145,-110.2968457,126.2,0,0,225.5,0,0,0
1980-01-22T12:00:00Z,45.023145,-110.2968457,126.2,0,0,225.5,0,0,0
1980-01-23T12:00:00Z,45.023145,-110.2968457,126.2,0,0,225.5,0,0,0
1980-01-24T12:00:00Z,45.023145,-110.2968457,126.2,0,0,229.9,0,0,0
1980-01-25T12:00:00Z,45.023145,-110.2968457,126.2,0,0,231.5,0,0,0
1980-01-26T12:00:00Z,45.023145,-110.2968457,126.2,0,0,231.5,0,0,0
1980-01-27T12:00:00Z,45.023145,-110.2968457,126.2,0,0,232.3,0,0,0
1980-01-28T12:00:00Z,45.023145,-110.2968457,126.2,0,0,232.3,0,0,0
1980-01-29T12:00:00Z,45.023145,-110.2968457,126.2,0,0,232.3,0,0,0
1980-01-30T12:00:00Z,45.023145,-110.2968457,126.2,0,0,232.3,0,0,0
1980-01-31T12:00:00Z,45.023145,-110.2968457,126.2,0,0,232.6,0,0,0
1980-02-01T12:00:00Z,45.023145,-110.2968457,126.2,0,0,233.4,0,0,0
1980-02-02T12:00:00Z,45.023145,-110.2968457,126.2,0,0,233.8,0,0,0
1980-02-03T12:00:00Z,45.023145,-110.2968457,126.2,0,0,234.2,0,0,0
