date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,45.023145,-110.2968457,126.2,0,0,232.6,0,0,0
1980-02-15T15:43:35Z,45.023145,-110.2968457,126.8,0,1.2,308.6,0,0,0
1980-03-17T02:12:39Z,45.023145,-110.2968457,133,0,0,426.1,0,0,0
1980-04-16T12:41:43Z,45.023145,-110.2968457,136.8,438.8,11.1,15.2,0,0,0
1980-05-16T23:10:47Z,45.023145,-110.2968457,138.6,107.4,92.4,0.8,29.8,0.1,29.4
1980-06-16T09:39:51Z,45.023145,-110.2968457,134.8,41.6,75.9,0,55,1.4,53.3
1980-07-16T20:08:54Z,45.023145,-110.2968457,124.8,0,64.8,0,83.1,5,77.6
1980-08-16T06:37:58Z,45.023145,-110.2968457,110.6,0,74.1,0,59.3,6.5,53
1980-09-15T17:07:02Z,45.023145,-110.2968457,137.5,51.5,83.2,0,34.9,0.3,34.4
1980-10-16T03:36:06Z,45.023145,-110.2968457,134.1,17.2,13.5,0,13.2,0.8,12.4
1980-11-15T14:05:10Z,45.023145,-110.2968457,139.4,27.9,30.3,53.5,2,0,1.9
1980-12-16T00:34:14Z,45.023145,-110.2968457,139.7,20.8,4.4,118.8,0,0,0
1981-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,146.9,0,0,0
1981-02-15T15:43:35Z,45.023145,-110.2968457,139.7,17.3,15.5,215.2,0,0,0
1981-03-18T02:12:39Z,45.023145,-110.2968457,139.7,20.8,12.1,234.7,0,0,0
1981-04-17T12:41:43Z,45.023145,-110.2968457,139.5,306.4,41.6,0,3.2,0,3.2
1981-05-17T23:10:47Z,45.023145,-110.2968457,139.3,143.6,125.5,0,25.4,0,25.4
1981-06-17T09:39:51Z,45.023145,-110.2968457,137.1,103.5,130.2,0,51.3,0.5,50.8
1981-07-17T20:08:54Z,45.023145,-110.2968457,107.6,0,40.7,0,82.3,12.6,69.8
1981-08-17T06:37:58Z,45.023145,-110.2968457,80.9,0,25.5,0,74.5,22.8,52.1
1981-09-16T17:07:02Z,45.023145,-110.2968457,65.5,0,21.9,0,43.1,19.6,23.4
1981-10-17T03:36:06Z,45.023145,-110.2968457,116.9,3,34,1.8,4.4,0.9,3.5
1981-11-16T14:05:10Z,45.023145,-110.2968457,138.8,23,16.1,52.3,4,0,4
1981-12-17T00:34:14Z,45.023145,-110.2968457,139.7,23.4,7.1,137.7,0,0,0
1982-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,272.5,0,0,0
1982-02-15T15:43:35Z,45.023145,-110.2968457,139.7,48.2,27.7,295,0,0,0
1982-03-18T02:12:39Z,45.023145,-110.2968457,139.7,0,0,420.3,0,0,0
1982-04-17T12:41:43Z,45.023145,-110.2968457,139.7,114.9,36.9,416.6,0,0,0
1982-05-17T23:10:47Z,45.023145,-110.2968457,139.7,482.4,63.9,3.8,6.5,0,6.5
1982-06-17T09:39:51Z,45.023145,-110.2968457,137.3,59.1,86.3,0,51.2,0.6,50.4
1982-07-17T20:08:54Z,45.023145,-110.2968457,126.5,3.6,58,0,74.3,4.8,69.9
1982-08-17T06:37:58Z,45.023145,-110.2968457,98.7,0,44.8,0,73.9,13.6,59.7
1982-09-16T17:07:02Z,45.023145,-110.2968457,108.1,0,41.7,7.3,29,6,23.1
1982-10-17T03:36:06Z,45.023145,-110.2968457,139.2,51.3,35.7,10.2,4.8,0,4.8
1982-11-16T14:05:10Z,45.023145,-110.2968457,139.7,0,0,79.1,0,0,0
1982-12-17T00:34:14Z,45.023145,-110.2968457,139.7,0,0,170.8,0,0,0
1983-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,244.6,0,0,0
1983-02-15T15:43:35Z,45.023145,-110.2968457,139.7,5.9,1.9,307.6,0,0,0
1983-03-18T02:12:39Z,45.023145,-110.2968457,139.7,40.2,9.2,343.1,0,0,0
1983-04-17T12:41:43Z,45.023145,-110.2968457,139.7,107.9,12.8,287.8,0,0,0
1983-05-17T23:10:47Z,45.023145,-110.2968457,139.3,363.3,46.8,0,7,0,6.9
1983-06-17T09:39:51Z,45.023145,-110.2968457,135,13.5,53.2,0,48.9,0.9,47.8
1983-07-17T20:08:54Z,45.023145,-110.2968457,132.7,37.5,107.4,0,74.7,2.1,72.3
1983-08-17T06:37:58Z,45.023145,-110.2968457,111.5,0,35.6,0,73.9,9,64.4
1983-09-16T17:07:02Z,45.023145,-110.2968457,114.7,27.7,82.1,2.4,26,3.2,23
1983-10-17T03:36:06Z,45.023145,-110.2968457,139.2,73,43.8,0,7.2,0,7.2
1983-11-16T14:05:10Z,45.023145,-110.2968457,139.4,7.5,10.3,103,0.4,0,0.4
1983-12-17T00:34:14Z,45.023145,-110.2968457,139.7,0,0,196.7,0,0,0
1984-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,240,0,0,0
1984-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,281.1,0,0,0
1984-03-17T02:12:39Z,45.023145,-110.2968457,139.7,2.2,0,356.6,0,0,0
1984-04-16T12:41:43Z,45.023145,-110.2968457,139.7,89.5,10.7,357,0,0,0
1984-05-16T23:10:47Z,45.023145,-110.2968457,139.4,477.8,83.9,0,8.4,0.1,8.3
1984-06-16T09:39:51Z,45.023145,-110.2968457,136.6,44.8,62.1,0,42.7,1.1,41.7
1984-07-16T20:08:54Z,45.023145,-110.2968457,122.9,0,88.5,0,81,6.3,75
1984-08-16T06:37:58Z,45.023145,-110.2968457,128.1,1.6,55,0,68.9,2.9,65.9
1984-09-15T17:07:02Z,45.023145,-110.2968457,133.9,18.7,34.1,24.7,20.8,1.3,19.6
1984-10-16T03:36:06Z,45.023145,-110.2968457,135.2,23.8,1.1,58.9,8.1,0,7.9
1984-11-15T14:05:10Z,45.023145,-110.2968457,133.9,0,0,141.9,0,0,0
1984-12-16T00:34:14Z,45.023145,-110.2968457,133.9,0,0,218.8,0,0,0
1985-01-16T05:14:31Z,45.023145,-110.2968457,133.9,0,0,251.5,0,0,0
1985-02-15T15:43:35Z,45.023145,-110.2968457,133.9,0,0,316.1,0,0,0
1985-03-18T02:12:39Z,45.023145,-110.2968457,134,0,0,397.6,0,0,0
1985-04-17T12:41:43Z,45.023145,-110.2968457,138.4,365,8.8,70.7,0,0,0
1985-05-17T23:10:47Z,45.023145,-110.2968457,138,102.3,46.4,0,33.6,0.3,33
1985-06-17T09:39:51Z,45.023145,-110.2968457,130.9,23.8,66.8,0,57.7,2.7,54.9
1985-07-17T20:08:54Z,45.023145,-110.2968457,110.6,0,66.3,0,84.9,9.3,75.6
1985-08-17T06:37:58Z,45.023145,-110.2968457,128.2,0,55,0,55.6,2.9,52.7
1985-09-16T17:07:02Z,45.023145,-110.2968457,138.5,71,69.6,5.9,18.3,0,18.3
1985-10-17T03:36:06Z,45.023145,-110.2968457,139.2,54,2.2,0.5,5.2,0,5.2
1985-11-16T14:05:10Z,45.023145,-110.2968457,139.5,1.1,1,102.4,0.3,0,0.3
1985-12-17T00:34:14Z,45.023145,-110.2968457,139.7,0,0,149.7,0,0,0
1986-01-16T05:14:31Z,45.023145,-110.2968457,139.7,3.1,1.4,227.1,0,0,0
1986-02-15T15:43:35Z,45.023145,-110.2968457,139.7,10,0,389.3,0,0,0
1986-03-18T02:12:39Z,45.023145,-110.2968457,139.7,151.5,40.8,306.1,0,0,0
1986-04-17T12:41:43Z,45.023145,-110.2968457,139.7,144,18.7,251,0,0,0
1986-05-17T23:10:47Z,45.023145,-110.2968457,137.6,306.5,21.7,0,18.9,0.9,18.2
1986-06-17T09:39:51Z,45.023145,-110.2968457,127.6,10.5,65.9,0,70.2,3.6,66.4
1986-07-17T20:08:54Z,45.023145,-110.2968457,128.5,8.3,99.3,0,70.2,2,68.2
1986-08-17T06:37:58Z,45.023145,-110.2968457,123.7,0,50,0,68.6,4.4,64.4
1986-09-16T17:07:02Z,45.023145,-110.2968457,132.1,34,51,7.8,17.1,1.1,16.1
1986-10-17T03:36:06Z,45.023145,-110.2968457,136.7,20.8,6.6,11.9,11.2,0,11
1986-11-16T14:05:10Z,45.023145,-110.2968457,136.9,0,0,114.7,0,0,0
1986-12-17T00:34:14Z,45.023145,-110.2968457,136.9,0,0,128.5,0,0,0
1987-01-16T05:14:31Z,45.023145,-110.2968457,136.9,0,0,185.5,0,0,0
1987-02-15T15:43:35Z,45.023145,-110.2968457,136.9,0,0,231.6,0,0,0
1987-03-18T02:12:39Z,45.023145,-110.2968457,139.4,43.4,5.6,243.7,0,0,0
1987-04-17T12:41:43Z,45.023145,-110.2968457,138.1,265.2,8.6,0,14.6,0.4,14.2
1987-05-17T23:10:47Z,45.023145,-110.2968457,132.2,72.3,105.9,0,36.1,1.9,34.5
1987-06-17T09:39:51Z,45.023145,-110.2968457,130.3,12.9,55.7,0,68.2,3.2,65.1
1987-07-17T20:08:54Z,45.023145,-110.2968457,129.1,28.6,111,0,72.9,3.1,69.7
1987-08-17T06:37:58Z,45.023145,-110.2968457,128,26.6,81,0,57.2,3,54.5
1987-09-16T17:07:02Z,45.023145,-110.2968457,121.1,0,12,0,35.5,3.9,31.5
1987-10-17T03:36:06Z,45.023145,-110.2968457,108.7,0,3.8,0,15.8,3.3,12.9
1987-11-16T14:05:10Z,45.023145,-110.2968457,115.9,0,6.6,26.2,2,0.2,1.7
1987-12-17T00:34:14Z,45.023145,-110.2968457,116.1,0,0,103.5,0,0,0
1988-01-16T05:14:31Z,45.023145,-110.2968457,116.1,0,0,184,0,0,0
1988-02-15T15:43:35Z,45.023145,-110.2968457,116.1,0,0,258.3,0,0,0
1988-03-17T02:12:39Z,45.023145,-110.2968457,119.2,0,5.6,325.1,0,0,0
1988-04-16T12:41:43Z,45.023145,-110.2968457,136.8,295.6,53.1,113.9,0,0,0
1988-05-16T23:10:47Z,45.023145,-110.2968457,137.3,220.4,74.5,0,28.3,0.9,27.4
1988-06-16T09:39:51Z,45.023145,-110.2968457,120.9,0,40.5,0,79.8,7.8,72.2
1988-07-16T20:08:54Z,45.023145,-110.2968457,83.6,0,14.4,0,89.4,31.1,58.9
1988-08-16T06:37:58Z,45.023145,-110.2968457,51.5,0,9.4,0,68.2,38.1,30.2
1988-09-15T17:07:02Z,45.023145,-110.2968457,43.6,0,12.6,0,28.7,16.8,12.2
1988-10-16T03:36:06Z,45.023145,-110.2968457,56.3,0,17.2,0,20.1,10.8,8.9
1988-11-15T14:05:10Z,45.023145,-110.2968457,67,0,0.4,130.7,0.5,0.3,0.2
1988-12-16T00:34:14Z,45.023145,-110.2968457,67.1,0,0,179.7,0,0,0
1989-01-16T05:14:31Z,45.023145,-110.2968457,67.1,0,0,279.7,0,0,0
1989-02-15T15:43:35Z,45.023145,-110.2968457,67.1,0,0,340.6,0,0,0
1989-03-18T02:12:39Z,45.023145,-110.2968457,111.6,0,11.6,418.7,0,0,0
1989-04-17T12:41:43Z,45.023145,-110.2968457,139.2,281.5,22.9,204.7,0,0,0
1989-05-17T23:10:47Z,45.023145,-110.2968457,139.4,306.5,91.7,0,14.4,0,14.4
1989-06-17T09:39:51Z,45.023145,-110.2968457,136.7,18.6,59.1,0,53.8,0.9,52.7
1989-07-17T20:08:54Z,45.023145,-110.2968457,113.8,0,55.6,0,91.2,9.9,81.2
1989-08-17T06:37:58Z,45.023145,-110.2968457,104.4,0,60.3,0,61.6,8.4,53.1
1989-09-16T17:07:02Z,45.023145,-110.2968457,111.4,0,29.3,0,35,5,30.7
1989-10-17T03:36:06Z,45.023145,-110.2968457,134.9,16.7,22.9,26.9,6.8,0,6.5
1989-11-16T14:05:10Z,45.023145,-110.2968457,139.7,22.7,6.1,100.6,0,0,0
1989-12-17T00:34:14Z,45.023145,-110.2968457,139.7,0,0,192.6,0,0,0
1990-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,283.9,0,0,0
1990-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,342.1,0,0,0
1990-03-18T02:12:39Z,45.023145,-110.2968457,139.7,1.2,0.4,393.8,0,0,0
1990-04-17T12:41:43Z,45.023145,-110.2968457,139.7,305.3,41.1,181.8,0,0,0
