date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,38.24314039,-109.8769622,5.7,0,0,0,9.2,4.6,4.6,6.7,4.1,14.1,0,12.1,4.6,7.9
2020-02-15T15:43:35Z,38.24314039,-109.8769622,4.3,0,3.6,0,23.4,15.8,7.6,5.1,0,2.2,0,11.4,5.5,6.2
2020-03-17T02:12:39Z,38.24314039,-109.8769622,0.5,0,11.9,0,68.9,56.1,12.7,1.1,0,2.2,0,49.7,43.7,5.9
2020-04-16T12:41:43Z,38.24314039,-109.8769622,2.2,0,24.1,0,79.2,55.9,23.1,0.7,0,10.7,0,77,66.5,10.6
2020-05-16T23:10:47Z,38.24314039,-109.8769622,0.3,0,19.3,0,134,113.6,20.2,0,0,3.1,0,116.2,113.1,3.1
2020-06-16T09:39:51Z,38.24314039,-109.8769622,0,0,0,0,152.1,151.9,0,0,0,17.8,0,150.2,132.3,17.8
2020-07-16T20:08:54Z,38.24314039,-109.8769622,0,0,3,0,172.4,169.4,3,0,0,4,0,164.6,160.7,4
2020-08-16T06:37:58Z,38.24314039,-109.8769622,0,0,4.4,0,149.9,145.7,4.4,0,0,14.1,0,138.2,124.2,14.1
2020-09-15T17:07:02Z,38.24314039,-109.8769622,0.8,0,16.9,0,101.5,85.9,15.7,0,0,5.5,0,98.9,93.3,5.5
2020-10-16T03:36:06Z,38.24314039,-109.8769622,3.6,3.9,32.3,0,57.1,34.9,22.3,0,0,0,0,57.1,57.1,0
2020-11-15T14:05:10Z,38.24314039,-109.8769622,3.2,0,4.4,0,25,14.9,10,1.3,0,5.4,0,25.1,21.1,4.2
2020-12-16T00:34:14Z,38.24314039,-109.8769622,6.5,14.3,21.5,1.6,8,3.5,4.3,0.9,0,0.3,6.1,6.3,5.8,0.3
2021-01-16T05:14:31Z,38.24314039,-109.8769622,7.9,10.9,17,0,17.5,3.1,14.2,4.2,0,0.6,0,9,4.1,4.8
2021-02-15T15:43:35Z,38.24314039,-109.8769622,6.4,19.2,29.9,0,22.8,7.2,15.8,5.1,0,3.6,0,16.9,9.8,7
2021-03-18T02:12:39Z,38.24314039,-109.8769622,2.6,0,22.9,0,59.6,35.6,23.8,1,0,5.2,0,45.8,38.6,7
2021-04-17T12:41:43Z,38.24314039,-109.8769622,2.5,0,36.7,0,87.6,53.7,34,0.5,0,11.8,0,71.2,58.8,11.9
2021-05-17T23:10:47Z,38.24314039,-109.8769622,2.2,0,34.7,0,117.3,78.3,39,1.3,0,27.8,0,116.1,88.2,27.3
2021-06-17T09:39:51Z,38.24314039,-109.8769622,0,0,0,0,146.8,146.7,0,0,0,0.4,0,142.9,142.1,0.7
2021-07-17T20:08:54Z,38.24314039,-109.8769622,0.2,0,18.4,0,169.5,151.5,18.2,0.1,0,21.1,0,161.5,140.8,21
2021-08-17T06:37:58Z,38.24314039,-109.8769622,0,0,0.5,0,149.3,148.7,0.5,0,0,16.3,0,142,125.6,16.3
2021-09-16T17:07:02Z,38.24314039,-109.8769622,0.7,0,17.9,0,104,86.9,16.8,2.4,4,43.7,0,93.9,55.7,37.9
2021-10-17T03:36:06Z,38.24314039,-109.8769622,4,8.4,28.8,0,54.1,35.5,18.6,0.7,0,8.4,0,56.1,47,8.7
2021-11-16T14:05:10Z,38.24314039,-109.8769622,8.1,8.5,33.8,2.9,21.2,3.8,17.8,6.5,4.2,21.9,0,21.4,7.6,14.1
2021-12-17T00:34:14Z,38.24314039,-109.8769622,9.2,4.6,2.8,5.1,7.7,0.6,6.6,9.9,13.9,14,0,4.8,0.8,3.8
