date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,38.24314039,-109.8769622,10.3,32.1,20.1,0,6.1,0.6,5.5
1980-02-15T15:43:35Z,38.24314039,-109.8769622,8.7,11.7,23.1,0,20.1,3.3,16.9
1980-03-17T02:12:39Z,38.24314039,-109.8769622,8.2,21.8,37.4,2.4,22.7,6.4,16.1
1980-04-16T12:41:43Z,38.24314039,-109.8769622,3.7,3.1,20.9,0,69.1,38.9,29.9
1980-05-16T23:10:47Z,38.24314039,-109.8769622,1.9,0,30.9,0,98.4,64.7,33.5
1980-06-16T09:39:51Z,38.24314039,-109.8769622,0,0,0,0,141.9,141.9,0
1980-07-16T20:08:54Z,38.24314039,-109.8769622,0,0,7.2,0,158.9,151.7,7.2
1980-08-16T06:37:58Z,38.24314039,-109.8769622,1,0,20.2,0,133.4,114,19.3
1980-09-15T17:07:02Z,38.24314039,-109.8769622,1.9,0,22.4,0,90.1,67.1,23.1
1980-10-16T03:36:06Z,38.24314039,-109.8769622,4.5,6.9,30.6,0,47.7,28.8,18.7
1980-11-15T14:05:10Z,38.24314039,-109.8769622,3.6,0,6.6,0,20.4,12.7,7.6
1980-12-16T00:34:14Z,38.24314039,-109.8769622,6.3,0,3,0,14.4,5.6,8.3
1981-01-16T05:14:31Z,38.24314039,-109.8769622,3.1,0,6,0.4,11.4,8.6,3
1981-02-15T15:43:35Z,38.24314039,-109.8769622,5.3,0,1.8,0,17,9.4,7.9
1981-03-18T02:12:39Z,38.24314039,-109.8769622,7.1,5,33.4,0,32.3,9.1,23.2
1981-04-17T12:41:43Z,38.24314039,-109.8769622,2.5,0,20.4,0,82.9,53.6,29.5
1981-05-17T23:10:47Z,38.24314039,-109.8769622,0,0,10.9,0,103.7,92.8,10.9
1981-06-17T09:39:51Z,38.24314039,-109.8769622,0,0,9.1,0,146.7,137.6,9.1
1981-07-17T20:08:54Z,38.24314039,-109.8769622,0.9,0,36.4,0,156.5,120.2,36.3
1981-08-17T06:37:58Z,38.24314039,-109.8769622,0.5,0,29.4,0,133.9,104.1,29.3
1981-09-16T17:07:02Z,38.24314039,-109.8769622,2.1,1.8,25.9,0,92.8,68.6,24
1981-10-17T03:36:06Z,38.24314039,-109.8769622,6.4,9.8,46.5,0,45.8,13.4,32.7
1981-11-16T14:05:10Z,38.24314039,-109.8769622,1.6,0,3.5,6.5,22.1,18.7,3.3
1981-12-17T00:34:14Z,38.24314039,-109.8769622,6.2,0,0,0,10.4,3.5,6.1
1982-01-16T05:14:31Z,38.24314039,-109.8769622,8,0,3.6,2.6,3.2,0.3,2.8
1982-02-15T15:43:35Z,38.24314039,-109.8769622,8.4,7.1,0.9,0,13.1,5.1,7.6
1982-03-18T02:12:39Z,38.24314039,-109.8769622,2.1,0,14.1,0,37.3,21.2,16.2
1982-04-17T12:41:43Z,38.24314039,-109.8769622,0.3,0,1.8,0,66.8,63.3,3.5
1982-05-17T23:10:47Z,38.24314039,-109.8769622,0,0,6.1,0,104.9,98.8,6.1
1982-06-17T09:39:51Z,38.24314039,-109.8769622,0,0,5.3,0,132.6,127.3,5.3
1982-07-17T20:08:54Z,38.24314039,-109.8769622,0.3,0,23.9,0,152.5,130,22.6
1982-08-17T06:37:58Z,38.24314039,-109.8769622,2.1,0,45.4,0,135.1,89.8,45.3
1982-09-16T17:07:02Z,38.24314039,-109.8769622,3.4,9.4,45.3,0,88.8,55.5,33.6
1982-10-17T03:36:06Z,38.24314039,-109.8769622,1.7,0,11.7,0,41.9,33,8.9
1982-11-16T14:05:10Z,38.24314039,-109.8769622,6.4,0,14.2,2.7,15.9,5.7,10.5
1982-12-17T00:34:14Z,38.24314039,-109.8769622,10.2,8,6.7,2.8,5.2,0.3,4.9
1983-01-16T05:14:31Z,38.24314039,-109.8769622,9.8,8,5.1,0,6.5,0.5,5.9
1983-02-15T15:43:35Z,38.24314039,-109.8769622,8.5,1.6,7.8,0,16.4,3.4,12.9
1983-03-18T02:12:39Z,38.24314039,-109.8769622,8.3,18.2,38.7,0,28.8,6.7,21.7
1983-04-17T12:41:43Z,38.24314039,-109.8769622,5.3,1.1,13.9,0,51.6,29.9,21.6
1983-05-17T23:10:47Z,38.24314039,-109.8769622,1.2,0,16.3,0,100,83.2,16.5
1983-06-17T09:39:51Z,38.24314039,-109.8769622,0.9,0,23.4,0,128.5,105.1,23.2
1983-07-17T20:08:54Z,38.24314039,-109.8769622,0.8,0,34.4,0,151.5,117.7,34
1983-08-17T06:37:58Z,38.24314039,-109.8769622,0,0,21.5,0,138.3,116.2,21.7
1983-09-16T17:07:02Z,38.24314039,-109.8769622,0.3,0,17.7,0,93.9,81.8,11.9
1983-10-17T03:36:06Z,38.24314039,-109.8769622,2.6,9.7,21.1,0,52.5,35.5,16.7
1983-11-16T14:05:10Z,38.24314039,-109.8769622,7.7,14.3,29.1,7.5,15.5,9.4,6
1983-12-17T00:34:14Z,38.24314039,-109.8769622,10,12.6,4.7,13.9,4.1,0.4,3.7
1984-01-16T05:14:31Z,38.24314039,-109.8769622,9.8,0,0,18.4,0,0,0
1984-02-15T15:43:35Z,38.24314039,-109.8769622,9.6,19.4,2,0,7.9,1.5,6.3
1984-03-17T02:12:39Z,38.24314039,-109.8769622,5.1,0,19.4,0,36.3,15,21.6
1984-04-16T12:41:43Z,38.24314039,-109.8769622,6.3,3.8,39.9,0,56.5,20.7,35.9
1984-05-16T23:10:47Z,38.24314039,-109.8769622,0.5,0,0.6,0,121.4,116,5.2
1984-06-16T09:39:51Z,38.24314039,-109.8769622,2,4.8,33,0,131.4,103.1,28.1
1984-07-16T20:08:54Z,38.24314039,-109.8769622,0.4,0,37.2,0,154.6,119,35.5
1984-08-16T06:37:58Z,38.24314039,-109.8769622,1.4,0,35,0,135.2,99.1,36.2
1984-09-15T17:07:02Z,38.24314039,-109.8769622,0.3,0,11.5,0,91,79.3,11.9
1984-10-16T03:36:06Z,38.24314039,-109.8769622,6.9,15,44.7,0,38.3,9.6,28.5
1984-11-15T14:05:10Z,38.24314039,-109.8769622,2,0,1.5,0.9,17.8,13.4,4.1
1984-12-16T00:34:14Z,38.24314039,-109.8769622,6.2,9.1,5.5,0,3.6,1.5,2
1985-01-16T05:14:31Z,38.24314039,-109.8769622,10.3,5.8,3.2,6,1.7,0,1.6
1985-02-15T15:43:35Z,38.24314039,-109.8769622,8.4,7.2,0.9,0,12,4.3,7.5
1985-03-18T02:12:39Z,38.24314039,-109.8769622,3.7,18,36.3,0,36.4,18.2,18.3
1985-04-17T12:41:43Z,38.24314039,-109.8769622,4.3,10.7,38.9,0,76.5,40.8,35.7
1985-05-17T23:10:47Z,38.24314039,-109.8769622,0.1,0,13.6,0,110.8,95.1,15.7
1985-06-17T09:39:51Z,38.24314039,-109.8769622,0,0,5.4,0,142.9,137.4,5.4
1985-07-17T20:08:54Z,38.24314039,-109.8769622,0.7,0,38.6,0,156.6,118.1,38.4
1985-08-17T06:37:58Z,38.24314039,-109.8769622,0,0,0,0,138.6,138.3,0.1
1985-09-16T17:07:02Z,38.24314039,-109.8769622,3.9,1.1,42.9,0,80.1,39.8,40.2
1985-10-17T03:36:06Z,38.24314039,-109.8769622,4.6,21,42.5,0,49.3,27.1,22.3
1985-11-16T14:05:10Z,38.24314039,-109.8769622,4.7,4.7,17.1,0.9,15.8,10.9,4.7
1985-12-17T00:34:14Z,38.24314039,-109.8769622,8,2,1.5,0,8.4,2.1,6.3
1986-01-16T05:14:31Z,38.24314039,-109.8769622,4.1,0,0.5,0,12.6,7.8,4.8
1986-02-15T15:43:35Z,38.24314039,-109.8769622,3.1,0,1.4,0,21.7,15.3,6.7
1986-03-18T02:12:39Z,38.24314039,-109.8769622,1.9,0,8.8,0,47,37,10.1
1986-04-17T12:41:43Z,38.24314039,-109.8769622,3.1,4.9,33.2,0,70.2,43.2,27
1986-05-17T23:10:47Z,38.24314039,-109.8769622,0.5,0,14.6,0,105.1,88.8,15.9
1986-06-17T09:39:51Z,38.24314039,-109.8769622,0,0,5.8,0,144.1,138.2,5.8
1986-07-17T20:08:54Z,38.24314039,-109.8769622,1,0,30,0,149.9,120.1,29.8
1986-08-17T06:37:58Z,38.24314039,-109.8769622,0.2,0,24.1,0,138.5,115.5,23
1986-09-16T17:07:02Z,38.24314039,-109.8769622,2.8,4.5,35.9,0,81.4,57.6,23.6
1986-10-17T03:36:06Z,38.24314039,-109.8769622,6.5,18.2,49.3,0,44.1,14.7,29.2
1986-11-16T14:05:10Z,38.24314039,-109.8769622,8.3,10.9,24,0,18.9,3.6,15.3
1986-12-17T00:34:14Z,38.24314039,-109.8769622,8.6,10.5,8.5,0,8.2,1.9,6.6
1987-01-16T05:14:31Z,38.24314039,-109.8769622,7.1,0,1.7,8.4,2.2,0.6,1.5
1987-02-15T15:43:35Z,38.24314039,-109.8769622,9.5,12.2,11.1,9.1,12.5,1.4,11.1
1987-03-18T02:12:39Z,38.24314039,-109.8769622,8,15.2,20.3,0,28.5,7,21.5
1987-04-17T12:41:43Z,38.24314039,-109.8769622,1.7,0,7,0,78.2,65.1,12.9
1987-05-17T23:10:47Z,38.24314039,-109.8769622,0,0,14.2,0,107.7,93.5,14.2
1987-06-17T09:39:51Z,38.24314039,-109.8769622,0,0,1.1,0,143.1,142,1.1
1987-07-17T20:08:54Z,38.24314039,-109.8769622,0.9,0,39.8,0,147.7,111,36.6
1987-08-17T06:37:58Z,38.24314039,-109.8769622,1,0,32.1,0,129.9,95,34.9
1987-09-16T17:07:02Z,38.24314039,-109.8769622,0,0,6.4,0,88.2,81,7
1987-10-17T03:36:06Z,38.24314039,-109.8769622,4.6,3.1,36.8,0,55.2,32.6,22.7
1987-11-16T14:05:10Z,38.24314039,-109.8769622,9.8,27,38.6,0,16.9,1.5,15.1
1987-12-17T00:34:14Z,38.24314039,-109.8769622,9.9,0.5,2.7,14.7,4.1,0.1,3.9
1988-01-16T05:14:31Z,38.24314039,-109.8769622,10.2,1.2,2.4,25.3,0,0,0
1988-02-15T15:43:35Z,38.24314039,-109.8769622,9.1,28.4,0,0,13.2,5.1,8
1988-03-17T02:12:39Z,38.24314039,-109.8769622,4.6,0,13,1,29.1,17,12.2
1988-04-16T12:41:43Z,38.24314039,-109.8769622,2.9,0,24.6,0,71.9,41.7,30.1
1988-05-16T23:10:47Z,38.24314039,-109.8769622,1.3,0,21.2,0,105.9,83.1,22.5
1988-06-16T09:39:51Z,38.24314039,-109.8769622,0,0,10.7,0,146.7,136,10.7
1988-07-16T20:08:54Z,38.24314039,-109.8769622,0,0,5.6,0,158.7,153.1,5.6
1988-08-16T06:37:58Z,38.24314039,-109.8769622,0.9,0,27,0,135.4,110.4,25.1
1988-09-15T17:07:02Z,38.24314039,-109.8769622,2,0,18.6,0,83.8,63.8,20.2
1988-10-16T03:36:06Z,38.24314039,-109.8769622,0,0,3.3,0,58.1,54.3,3.7
1988-11-15T14:05:10Z,38.24314039,-109.8769622,3.9,0,11.3,0,19.1,12.5,6.5
1988-12-16T00:34:14Z,38.24314039,-109.8769622,4,0,1.1,6.1,6.3,3.9,2.3
1989-01-16T05:14:31Z,38.24314039,-109.8769622,4.2,0,0,19.9,0,0,0
1989-02-15T15:43:35Z,38.24314039,-109.8769622,9.9,27.3,2.3,0,9.3,2.5,6.7
1989-03-18T02:12:39Z,38.24314039,-109.8769622,3.6,3.6,8.2,0,49.3,36.2,13.2
1989-04-17T12:41:43Z,38.24314039,-109.8769622,0,0,1,0,82.2,81.2,1
1989-05-17T23:10:47Z,38.24314039,-109.8769622,0,0,5,0,112.3,107.3,5
1989-06-17T09:39:51Z,38.24314039,-109.8769622,0,0,1.5,0,135.4,133.9,1.5
1989-07-17T20:08:54Z,38.24314039,-109.8769622,0.1,0,21.8,0,160.6,139.1,21.3
1989-08-17T06:37:58Z,38.24314039,-109.8769622,1.1,0,26.9,0,130.2,103.1,27
1989-09-16T17:07:02Z,38.24314039,-109.8769622,0,0,3.8,0,91.3,87.4,3.8
1989-10-17T03:36:06Z,38.24314039,-109.8769622,0.6,0,8.1,0,50.2,42.5,7.4
1989-11-16T14:05:10Z,38.24314039,-109.8769622,0.2,0,0,0,22.3,21.9,0
1989-12-17T00:34:14Z,38.24314039,-109.8769622,0,0,0,0,8.5,8.5,0
1990-01-16T05:14:31Z,38.24314039,-109.8769622,7.1,5.5,4.5,0.5,2.1,1,1.1
1990-02-15T15:43:35Z,38.24314039,-109.8769622,9.3,5.8,4.5,0,13.4,3.4,9.8
1990-03-18T02:12:39Z,38.24314039,-109.8769622,3.5,0,11.8,0,45.5,27.6,18.1
1990-04-17T12:41:43Z,38.24314039,-109.8769622,0.7,0,13.3,0,77.6,64.9,12.4
1990-05-17T23:10:47Z,38.24314039,-109.8769622,0.6,0,7.1,0,107.6,98.5,9.2
1990-06-17T09:39:51Z,38.24314039,-109.8769622,0.2,0,7.5,0,148.2,140.7,7.6
1990-07-17T20:08:54Z,38.24314039,-109.8769622,1.1,0,28.9,0,154.9,126.1,28.6
1990-08-17T06:37:58Z,38.24314039,-109.8769622,0.2,0,22.8,0,135.1,112.2,22.8
1990-09-16T17:07:02Z,38.24314039,-109.8769622,1.3,0,31.8,0,95.5,65,30.3
1990-10-17T03:36:06Z,38.24314039,-109.8769622,3.8,6,26.3,0,48.8,29.6,19.1
1990-11-16T14:05:10Z,38.24314039,-109.8769622,2.8,0,7.6,6.2,16.2,10.9,5
1990-12-17T00:34:14Z,38.24314039,-109.8769622,9.4,6.2,1.2,2.8,0.8,0,0.8
1991-01-16T05:14:31Z,38.24314039,-109.8769622,10.8,0,0,21.2,0,0,0
1991-02-15T15:43:35Z,38.24314039,-109.8769622,7.3,20.6,1.1,0.6,16.7,7.7,8.8
