date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,38.38355284,-111.2830036,11.6,0,0,0,7.6,6,1.8,16.9,0,9.5,0,5.6,3.8,1.9
2020-02-15T15:43:35Z,38.38355284,-111.2830036,12,0,2.1,0,18.5,12.9,5.2,19.2,0,0.2,0,5.2,2.5,2.7
2020-03-17T02:12:39Z,38.38355284,-111.2830036,8.1,0,9.6,0,57.2,43.1,13.8,16,0,1.5,0,36.2,26.2,10.1
2020-04-16T12:41:43Z,38.38355284,-111.2830036,7.5,0,20.1,0,65,50,14.7,14.7,0,18.1,0,63.1,44.1,18.8
2020-05-16T23:10:47Z,38.38355284,-111.2830036,6.5,0,15.1,0,114.4,90.8,23.7,5.8,0,4.6,0,94.4,81.1,13.2
2020-06-16T09:39:51Z,38.38355284,-111.2830036,1.2,0,0,0,126.4,123.5,2.3,2,0,23.3,0,126.1,103.3,23.2
2020-07-16T20:08:54Z,38.38355284,-111.2830036,0.1,0,8.8,0,147.6,138.1,8.8,1.1,0,12.3,0,140,125.5,14.4
2020-08-16T06:37:58Z,38.38355284,-111.2830036,0,0,4.5,0,126.8,122.4,4.5,0.5,0,25.7,0,116,93.7,22
2020-09-15T17:07:02Z,38.38355284,-111.2830036,3.7,0,22.1,0,84.5,73.1,11.5,2,0,4.6,0,84.3,77,7.3
2020-10-16T03:36:06Z,38.38355284,-111.2830036,11.8,0,29.9,0,48.9,32.2,16.3,0.6,0,1.2,0,49.4,47.9,1.2
2020-11-15T14:05:10Z,38.38355284,-111.2830036,21.4,0,3.6,0,20.5,11.8,8.8,3.6,0,6.1,0,19.6,17.2,2
2020-12-16T00:34:14Z,38.38355284,-111.2830036,25.4,0,13,9.8,5,2.4,2.4,4.6,0,0,3.2,4.8,4.4,0
2021-01-16T05:14:31Z,38.38355284,-111.2830036,47.7,0,14.1,0.3,13.9,2.2,12,6.4,0,0,0,5.7,4.5,1.1
