date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,38.38355284,-111.2830036,32.2,7,14.4,1.7,0.8,0.2,0.6
1980-02-15T15:43:35Z,38.38355284,-111.2830036,61.1,20.8,14.6,0,6.9,0,6.6
1980-03-17T02:12:39Z,38.38355284,-111.2830036,59.7,16.3,16.5,0.9,9.9,0.5,9.3
1980-04-16T12:41:43Z,38.38355284,-111.2830036,44.8,0.2,11.9,0,57,14.5,42.4
1980-05-16T23:10:47Z,38.38355284,-111.2830036,25.8,0,29,0,77.5,31.8,46
1980-06-16T09:39:51Z,38.38355284,-111.2830036,7.3,0,1.3,0,116.6,101.7,14.4
1980-07-16T20:08:54Z,38.38355284,-111.2830036,1.7,0,15.5,0,135.7,118.7,17
1980-08-16T06:37:58Z,38.38355284,-111.2830036,3,0,26.9,0,112,93.3,18.1
1980-09-15T17:07:02Z,38.38355284,-111.2830036,33.8,0,67.1,0,76.8,28.6,48.2
1980-10-16T03:36:06Z,38.38355284,-111.2830036,24.1,0,19,0,43.1,21.3,21.6
1980-11-15T14:05:10Z,38.38355284,-111.2830036,21.8,0,1,0,17.3,10.5,7.1
1980-12-16T00:34:14Z,38.38355284,-111.2830036,20.2,0,0,0,13.8,9.3,4.5
1981-01-16T05:14:31Z,38.38355284,-111.2830036,16.3,0,0,1,10.7,7.9,2.8
1981-02-15T15:43:35Z,38.38355284,-111.2830036,14.8,0,0.8,0,13.3,9.2,4
1981-03-18T02:12:39Z,38.38355284,-111.2830036,39.3,0,29.4,0,16.2,3.7,12.5
1981-04-17T12:41:43Z,38.38355284,-111.2830036,33,0,7.8,0,66.9,29.8,36.9
1981-05-17T23:10:47Z,38.38355284,-111.2830036,11.5,0,17.7,0,85,56,29
1981-06-17T09:39:51Z,38.38355284,-111.2830036,3.1,0,9.5,0,124.5,108.8,15.4
1981-07-17T20:08:54Z,38.38355284,-111.2830036,1.5,0,25.3,0,135.8,110.2,25.7
1981-08-17T06:37:58Z,38.38355284,-111.2830036,0.7,0,29.7,0,116.4,86.6,29.2
1981-09-16T17:07:02Z,38.38355284,-111.2830036,19.2,0,46.1,0,80.6,47,33.3
1981-10-17T03:36:06Z,38.38355284,-111.2830036,23.8,0,31.8,0,35.6,15,20.5
1981-11-16T14:05:10Z,38.38355284,-111.2830036,26.2,0,7.4,8.2,18.1,8.2,9.7
1981-12-17T00:34:14Z,38.38355284,-111.2830036,30,0,2,1,7.3,3.4,3.9
1982-01-16T05:14:31Z,38.38355284,-111.2830036,35.6,0,0.8,17.8,1.6,0.3,1.3
1982-02-15T15:43:35Z,38.38355284,-111.2830036,50.6,3.9,0.7,0,10.1,0.7,9.5
1982-03-18T02:12:39Z,38.38355284,-111.2830036,46.6,0,7.6,0,23.6,4.6,19.3
1982-04-17T12:41:43Z,38.38355284,-111.2830036,30.6,0,0.7,0,52.5,27,25.6
