date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,37.63545088,-112.8452681,241.3,4.3,0,151,0,0,0,213.9,0,0,163.6,0,0,0
2020-02-15T15:43:35Z,37.63545088,-112.8452681,241.3,56.9,11,105.1,0,0,0,213.9,0,0,218,0,0,0
2020-03-17T02:12:39Z,37.63545088,-112.8452681,241.3,249.2,30.4,5.4,0,0,0,237.9,45.9,6,164.7,0,0,0
2020-04-16T12:41:43Z,37.63545088,-112.8452681,236.1,57.4,22.2,3.1,20.2,0.4,19.6,241.3,266.5,11,11.5,0,0,0
2020-05-16T23:10:47Z,37.63545088,-112.8452681,223.3,0,1.2,0,44,3.5,40.5,229.9,9.9,9.7,0,39.5,1.6,38
2020-06-16T09:39:51Z,37.63545088,-112.8452681,180.8,0,7.8,0,76.9,18.1,58.7,205.7,0,70.4,0,81.3,9.2,72.3
2020-07-16T20:08:54Z,37.63545088,-112.8452681,155.6,0,60.4,0,90.6,24.2,66.4,182.9,0,22.5,0,96.9,18.2,78.5
2020-08-16T06:37:58Z,37.63545088,-112.8452681,143.9,0,56,0,83.4,21.9,61.6,144.1,0,63,0,78.5,21.1,57.3
2020-09-15T17:07:02Z,37.63545088,-112.8452681,183.5,0,114.1,0,47.5,9.9,37,157.3,0,20.7,0,53.9,14.7,39
2020-10-16T03:36:06Z,37.63545088,-112.8452681,226.6,0,14.4,0,30.8,1.7,29.3,136.6,0,1.9,0,27.3,11,16.6
2020-11-15T14:05:10Z,37.63545088,-112.8452681,236.7,28.3,21.1,2,5.2,0.1,5.2,137.2,0,10.6,0,5.2,2.1,3.2
2020-12-16T00:34:14Z,37.63545088,-112.8452681,240.9,39.3,20.3,26.2,0,0,0,155.3,0,0,52.1,1.8,0.6,1.1
2021-01-16T05:14:31Z,37.63545088,-112.8452681,241.2,36.1,6.4,3.9,1.7,0,1.7,155.2,0,0,65.6,0,0,0
2021-02-15T15:43:35Z,37.63545088,-112.8452681,241.1,21.5,6.3,131.7,0,0,0,155.2,0,0,107.6,0,0,0
2021-03-18T02:12:39Z,37.63545088,-112.8452681,241.3,68.4,7.4,126,0,0,0,158.6,0,0,117.7,0,0,0
2021-04-17T12:41:43Z,37.63545088,-112.8452681,241.3,141.3,16.7,48,0,0,0,208.4,39.5,9.7,42.5,0,0,0
2021-05-17T23:10:47Z,37.63545088,-112.8452681,223.8,65.3,3.5,0,55.3,4.9,50.1,236.8,70.3,48.9,0,42.6,0.4,42.1
2021-06-17T09:39:51Z,37.63545088,-112.8452681,169.1,0,7.5,0,84.7,23.9,60.7,207.4,0,9.4,0,76.2,9.3,66.4
2021-07-17T20:08:54Z,37.63545088,-112.8452681,122.1,0,50.3,0,102.9,33.9,68.9,201.2,13.1,134.7,0,89.7,9.3,80.3
2021-08-17T06:37:58Z,37.63545088,-112.8452681,158.9,0,120.3,0,86.2,17.9,68.3,206.7,0,54.1,0,80.8,6.6,74.7
2021-09-16T17:07:02Z,37.63545088,-112.8452681,226.7,0,84,0,44,1.4,42.5,225.3,59.2,118.3,0,48.8,1.4,47.2
2021-10-17T03:36:06Z,37.63545088,-112.8452681,238.7,60.6,77.8,0.2,20.2,0,19.6,228.2,0,21.7,4.4,21.4,1.2,20.5
