date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,37.63545088,-112.8452681,224.3,0,4.5,328.6,0,0,0
1980-02-15T15:43:35Z,37.63545088,-112.8452681,227.1,0,0,517.1,0,0,0
1980-03-17T02:12:39Z,37.63545088,-112.8452681,232.1,0,0,694.6,0,0,0
1980-04-16T12:41:43Z,37.63545088,-112.8452681,237.5,221,24.7,515,0,0,0
1980-05-16T23:10:47Z,37.63545088,-112.8452681,241.3,361.8,28.8,236.3,0,0,0
1980-06-16T09:39:51Z,37.63545088,-112.8452681,225.5,234,7.9,0,55.3,4.5,50.5
1980-07-16T20:08:54Z,37.63545088,-112.8452681,180.1,0,30.7,0,87.6,16.7,70.6
1980-08-16T06:37:58Z,37.63545088,-112.8452681,156.5,0,44.8,0,71.8,18.9,53
1980-09-15T17:07:02Z,37.63545088,-112.8452681,200,0,85,0,43.1,6.5,36.2
1980-10-16T03:36:06Z,37.63545088,-112.8452681,224.6,13.9,44.8,1.2,15.8,2.7,13
1980-11-15T14:05:10Z,37.63545088,-112.8452681,238.4,8.6,2.5,22.9,6.4,0,6.3
1980-12-16T00:34:14Z,37.63545088,-112.8452681,241.1,42.9,3,0,2.3,0,2.3
1981-01-16T05:14:31Z,37.63545088,-112.8452681,239.8,0,0,39.9,0.4,0,0.4
1981-02-15T15:43:35Z,37.63545088,-112.8452681,241.3,30.1,0,62.4,0,0,0
1981-03-18T02:12:39Z,37.63545088,-112.8452681,241.3,0,0,275.7,0,0,0
1981-04-17T12:41:43Z,37.63545088,-112.8452681,241.3,353.9,40.8,11.2,0,0,0
1981-05-17T23:10:47Z,37.63545088,-112.8452681,237.9,93.3,51.4,0,23.7,0.3,23.4
1981-06-17T09:39:51Z,37.63545088,-112.8452681,209.1,0,16.4,0,80.3,9,71.1
1981-07-17T20:08:54Z,37.63545088,-112.8452681,192.9,0,78.5,0,90.3,12,77.9
1981-08-17T06:37:58Z,37.63545088,-112.8452681,208.1,0,93.7,0,75.8,7.8,68.3
1981-09-16T17:07:02Z,37.63545088,-112.8452681,229.8,12.7,71.4,0,49.1,2.1,47.1
1981-10-17T03:36:06Z,37.63545088,-112.8452681,240.4,64.3,40.7,18.7,6,0,6
1981-11-16T14:05:10Z,37.63545088,-112.8452681,240.9,48.6,12.8,30.1,1.4,0,1.4
1981-12-17T00:34:14Z,37.63545088,-112.8452681,240.2,28.7,1.3,29.7,3.4,0,3.4
1982-01-16T05:14:31Z,37.63545088,-112.8452681,240.5,0,0,201.9,0,0,0
1982-02-15T15:43:35Z,37.63545088,-112.8452681,240.7,29.4,0,220.8,0,0,0
1982-03-18T02:12:39Z,37.63545088,-112.8452681,241.3,13,8,517.4,0,0,0
1982-04-17T12:41:43Z,37.63545088,-112.8452681,241.3,119.6,5.6,449.2,0,0,0
1982-05-17T23:10:47Z,37.63545088,-112.8452681,241.3,485.5,23.9,0,1.7,0,1.7
1982-06-17T09:39:51Z,37.63545088,-112.8452681,221.5,0,22.1,0,66.6,4.6,61.7
1982-07-17T20:08:54Z,37.63545088,-112.8452681,177.3,0,30.3,0,82.8,15.5,67.2
1982-08-17T06:37:58Z,37.63545088,-112.8452681,199.4,0,133.2,0,76.1,7.3,69
1982-09-16T17:07:02Z,37.63545088,-112.8452681,234.3,41.4,81.4,41,38,1,37.4
1982-10-17T03:36:06Z,37.63545088,-112.8452681,238.8,40.6,1.2,49.5,6.7,0,6.7
1982-11-16T14:05:10Z,37.63545088,-112.8452681,240.8,12.1,0,238.9,0,0,0
1982-12-17T00:34:14Z,37.63545088,-112.8452681,241.3,0,0,390.8,0,0,0
1983-01-16T05:14:31Z,37.63545088,-112.8452681,241.3,1.6,0,486.8,0,0,0
1983-02-15T15:43:35Z,37.63545088,-112.8452681,241.3,7.5,0,558.6,0,0,0
1983-03-18T02:12:39Z,37.63545088,-112.8452681,241.3,14.5,9.8,863.1,0,0,0
1983-04-17T12:41:43Z,37.63545088,-112.8452681,241.3,11.3,1.2,1010.6,0,0,0
1983-05-17T23:10:47Z,37.63545088,-112.8452681,241.3,487.8,6.5,566.9,0,0,0
1983-06-17T09:39:51Z,37.63545088,-112.8452681,236.4,587.3,21.5,0,28.2,1.3,26.9
1983-07-17T20:08:54Z,37.63545088,-112.8452681,207.9,0,85.1,0,83.8,6.5,77.2
1983-08-17T06:37:58Z,37.63545088,-112.8452681,235.2,58.3,127.3,0,73.7,0.9,72.8
1983-09-16T17:07:02Z,37.63545088,-112.8452681,211.6,0,57.1,17.3,46.1,3.9,42.2
1983-10-17T03:36:06Z,37.63545088,-112.8452681,237.4,48.2,13.4,0.4,14.1,0,13.6
1983-11-16T14:05:10Z,37.63545088,-112.8452681,240.5,22.7,18.8,108.7,3.7,0,3.7
1983-12-17T00:34:14Z,37.63545088,-112.8452681,240.6,0,0,250.7,0,0,0
1984-01-16T05:14:31Z,37.63545088,-112.8452681,241.2,4.2,0,303,0,0,0
1984-02-15T15:43:35Z,37.63545088,-112.8452681,241.3,0,0,379.9,0,0,0
1984-03-17T02:12:39Z,37.63545088,-112.8452681,241.3,0.5,0.3,470.7,0,0,0
1984-04-16T12:41:43Z,37.63545088,-112.8452681,241.3,89.6,0,473.1,0,0,0
1984-05-16T23:10:47Z,37.63545088,-112.8452681,237.1,475.5,6.9,0,27.8,1,26.7
1984-06-16T09:39:51Z,37.63545088,-112.8452681,219.3,0,39.1,0,58.2,4.1,53.9
1984-07-16T20:08:54Z,37.63545088,-112.8452681,216.9,49.3,160.4,0,83.9,5,79.1
1984-08-16T06:37:58Z,37.63545088,-112.8452681,233,27.6,87.7,0,73.5,1.5,71.8
1984-09-15T17:07:02Z,37.63545088,-112.8452681,227.1,0,43.6,0,48.2,2.3,45.9
1984-10-16T03:36:06Z,37.63545088,-112.8452681,239.6,5.5,13.5,71.7,5.4,0,5.3
1984-11-15T14:05:10Z,37.63545088,-112.8452681,241.3,60.3,0,102.6,0,0,0
