date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,39.05042535,-108.6920609,50.6,11.4,17.8,0.1,2.2,0,2.2
1980-02-15T15:43:35Z,39.05042535,-108.6920609,57.6,32.8,32.3,0,9.8,0,9.5
1980-03-17T02:12:39Z,39.05042535,-108.6920609,57.2,25,29.9,0.6,15.1,0.5,14.7
1980-04-16T12:41:43Z,39.05042535,-108.6920609,40.8,1.3,14.2,0,63.9,18,46.1
1980-05-16T23:10:47Z,39.05042535,-108.6920609,36.1,0,59.4,0,87.6,24.2,63.2
1980-06-16T09:39:51Z,39.05042535,-108.6920609,9.9,0,0.5,0,132.2,110,22.3
1980-07-16T20:08:54Z,39.05042535,-108.6920609,1,0,14,0,147.1,130.8,16.4
1980-08-16T06:37:58Z,39.05042535,-108.6920609,4.4,0,37.1,0,119.7,95.8,23.8
1980-09-15T17:07:02Z,39.05042535,-108.6920609,7.2,0,7.2,0,82.6,65.7,17.1
1980-10-16T03:36:06Z,39.05042535,-108.6920609,12.9,0,30.9,0,43.4,28.3,14.6
1980-11-15T14:05:10Z,39.05042535,-108.6920609,21.8,0,10.6,0,17.8,10.2,7.5
1980-12-16T00:34:14Z,39.05042535,-108.6920609,33.3,0,4.9,0,13.7,5.5,7.9
1981-01-16T05:14:31Z,39.05042535,-108.6920609,32.9,0,6.4,0.5,11.1,4.7,6.4
1981-02-15T15:43:35Z,39.05042535,-108.6920609,31.6,0,2.5,0.1,14.6,6,8.4
1981-03-18T02:12:39Z,39.05042535,-108.6920609,31.8,0,24.8,0,29.5,9.6,20
1981-04-17T12:41:43Z,39.05042535,-108.6920609,25,0,11.8,0,74.5,39.5,35.4
1981-05-17T23:10:47Z,39.05042535,-108.6920609,14.4,0,40.9,0,96.4,53,43.4
1981-06-17T09:39:51Z,39.05042535,-108.6920609,4.2,0,11.6,0,134,113.4,20.5
1981-07-17T20:08:54Z,39.05042535,-108.6920609,0.5,0,26.6,0,143.9,116.3,27.3
1981-08-17T06:37:58Z,39.05042535,-108.6920609,2.3,0,39.2,0,123.5,92.5,31.1
1981-09-16T17:07:02Z,39.05042535,-108.6920609,10.5,0,21,0,87.4,64.3,23
1981-10-17T03:36:06Z,39.05042535,-108.6920609,27,0,54.6,0,41.1,12.6,28.2
1981-11-16T14:05:10Z,39.05042535,-108.6920609,28.5,0,5.4,5.3,19.1,8.6,10.7
1981-12-17T00:34:14Z,39.05042535,-108.6920609,33.5,0,13.1,5.9,6.2,2.7,3.4
1982-01-16T05:14:31Z,39.05042535,-108.6920609,52.2,11.4,6.3,1.7,0.4,0,0.4
1982-02-15T15:43:35Z,39.05042535,-108.6920609,56.8,11.3,4.3,0,11.5,0.8,10.8
1982-03-18T02:12:39Z,39.05042535,-108.6920609,49.9,0,22.7,0,30.2,3.4,26.4
1982-04-17T12:41:43Z,39.05042535,-108.6920609,30.9,0,3.6,0,60.5,28.2,32.5
1982-05-17T23:10:47Z,39.05042535,-108.6920609,12.2,0,18.9,0,95.1,64.8,30.8
1982-06-17T09:39:51Z,39.05042535,-108.6920609,2.7,0,5.9,0,120.5,109.3,11.1
1982-07-17T20:08:54Z,39.05042535,-108.6920609,0.3,0,11.2,0,142.8,130.8,11.5
1982-08-17T06:37:58Z,39.05042535,-108.6920609,1.5,0,41.1,0,123.3,85.2,38.1
1982-09-16T17:07:02Z,39.05042535,-108.6920609,14.9,0,68.9,0,79.5,35.2,44.6
1982-10-17T03:36:06Z,39.05042535,-108.6920609,24.6,0,26.7,0,35.8,17.3,18.6
1982-11-16T14:05:10Z,39.05042535,-108.6920609,44.6,0,17.9,0.7,10.1,2.2,7.9
1982-12-17T00:34:14Z,39.05042535,-108.6920609,56.4,0.7,4,7.3,4.4,0,4.3
1983-01-16T05:14:31Z,39.05042535,-108.6920609,57.8,13.1,3.7,0,6.5,0,6.5
1983-02-15T15:43:35Z,39.05042535,-108.6920609,56.8,5.6,11.9,0,13.4,0.1,13
1983-03-18T02:12:39Z,39.05042535,-108.6920609,55.8,17.5,37.3,0,27,1.5,25.4
