date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,38.46284966,-107.1673374,29.3,0,0,49,0,0,0,31.2,0,0,15.1,0,0,0
2020-02-15T15:43:35Z,38.46284966,-107.1673374,29.3,0,0,49.6,0,0,0,31.2,0,0,29.8,0,0,0
2020-03-17T02:12:39Z,38.46284966,-107.1673374,28.8,55.3,6.6,0,18.7,2.3,16.2,30.1,31.9,0.9,0,8.3,0.7,7.6
2020-04-16T12:41:43Z,38.46284966,-107.1673374,11.5,0,12.8,0,61.4,32.7,28.7,14.2,0,1.7,0,45.3,24.8,20.5
2020-05-16T23:10:47Z,38.46284966,-107.1673374,2.3,0,6.9,0,75.9,64.2,12,2.5,0,13.3,0,77,60.6,16.6
2020-06-16T09:39:51Z,38.46284966,-107.1673374,0.2,0,3.3,0,96.6,92.5,3.5,1.6,0,36.4,0,106.9,69.6,37.5
2020-07-16T20:08:54Z,38.46284966,-107.1673374,5.4,0,51.4,0,114.9,66.1,48.7,0.4,0,9.1,0,118.7,107.8,10.8
2020-08-16T06:37:58Z,38.46284966,-107.1673374,5.4,0,45.2,0,101,58.8,42.6,0,0,15.6,0,99.6,84.2,15.6
2020-09-15T17:07:02Z,38.46284966,-107.1673374,16.1,17.6,79.3,0,63.1,25.9,36.9,0,0,6.8,0,71.4,64.7,6.8
2020-10-16T03:36:06Z,38.46284966,-107.1673374,23.5,3.1,21.1,0,38.7,8.3,30.8,0,0,1.9,0,36.8,35,1.6
2020-11-15T14:05:10Z,38.46284966,-107.1673374,26,3.4,8.6,3.1,10.2,0.6,9.3,3.3,0,1.2,0,7.1,6.5,0.6
2020-12-16T00:34:14Z,38.46284966,-107.1673374,27.2,0,0.6,8.2,0,0,0,5.8,0,0,19.4,1.3,1,0.2
2021-01-16T05:14:31Z,38.46284966,-107.1673374,30.2,0,0,13.9,0,0,0,5.8,0,0,20.7,0,0,0
2021-02-15T15:43:35Z,38.46284966,-107.1673374,30.6,18.5,3.8,15,0,0,0,5.8,0,0,34.7,0,0,0
2021-03-18T02:12:39Z,38.46284966,-107.1673374,30,17.6,4.5,1.5,11.3,0.5,10.7,19.7,16,2.6,0,7.9,0.7,7
2021-04-17T12:41:43Z,38.46284966,-107.1673374,18.7,4.1,11.1,0,51.2,20.1,31,21.5,0,4.9,0,29,8.4,20.5
2021-05-17T23:10:47Z,38.46284966,-107.1673374,4.4,0,11.9,0,90,70.4,19.3,14.2,0,47.1,0,78.6,30.6,48
2021-06-17T09:39:51Z,38.46284966,-107.1673374,0.2,0,2.1,0,101.5,98.4,2.7,5.5,0,17.8,0,99.6,68.6,30.9
2021-07-17T20:08:54Z,38.46284966,-107.1673374,1.7,0,37.2,0,120.7,86.7,34.1,5.5,0,48.8,0,120.7,75.1,45.8
2021-08-17T06:37:58Z,38.46284966,-107.1673374,6.7,0,46.4,0,103.7,58.3,45.6,1.6,0,18.9,0,104.7,84.1,21
2021-09-16T17:07:02Z,38.46284966,-107.1673374,20.8,1.1,60.3,0,58.9,11.6,47.1,8.2,0,40,0,64,35.2,28.8
