date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,38.46284966,-107.1673374,18.7,0,0,50.9,0,0,0
1980-02-15T15:43:35Z,38.46284966,-107.1673374,18.7,0,0,84.5,0,0,0
1980-03-17T02:12:39Z,38.46284966,-107.1673374,18.7,0,0,96,0,0,0
1980-04-16T12:41:43Z,38.46284966,-107.1673374,25.8,86.8,11.8,0,16.8,1.3,15.5
1980-05-16T23:10:47Z,38.46284966,-107.1673374,24.4,8.9,35.1,0,57.2,11.4,45.5
1980-06-16T09:39:51Z,38.46284966,-107.1673374,3.8,0,1.2,0,98.7,86,12.4
1980-07-16T20:08:54Z,38.46284966,-107.1673374,0.1,0,15.6,0,112.8,96.8,15.6
1980-08-16T06:37:58Z,38.46284966,-107.1673374,1.4,0,19,0,94.6,77.9,16.9
1980-09-15T17:07:02Z,38.46284966,-107.1673374,1.7,0,8.4,0,63.9,54,9.8
1980-10-16T03:36:06Z,38.46284966,-107.1673374,8.7,0,13.8,0,26.8,20.1,6.8
1980-11-15T14:05:10Z,38.46284966,-107.1673374,14.4,0,0.4,5.8,9.9,4.8,4.9
1980-12-16T00:34:14Z,38.46284966,-107.1673374,23.6,0,0.2,0,1.6,0,1.6
1981-01-16T05:14:31Z,38.46284966,-107.1673374,29.1,0,0,6.1,0.4,0,0.4
1981-02-15T15:43:35Z,38.46284966,-107.1673374,29.8,1.3,0,8.4,0,0,0
1981-03-18T02:12:39Z,38.46284966,-107.1673374,30.6,18.5,2.8,4.3,2.8,0.1,2.7
1981-04-17T12:41:43Z,38.46284966,-107.1673374,21.7,4.1,4.3,0,46.7,18.1,29
1981-05-17T23:10:47Z,38.46284966,-107.1673374,9.9,0,36.5,0,63.3,26.4,36.8
1981-06-17T09:39:51Z,38.46284966,-107.1673374,2.8,0,13.7,0,103.6,82,21.6
1981-07-17T20:08:54Z,38.46284966,-107.1673374,5.5,0,65.6,0,115.2,55.4,60.1
1981-08-17T06:37:58Z,38.46284966,-107.1673374,6.4,0,50.9,0,97,53.7,43.5
1981-09-16T17:07:02Z,38.46284966,-107.1673374,9.8,0,22.2,0,65.8,34.6,31.5
1981-10-17T03:36:06Z,38.46284966,-107.1673374,10.2,0,20.8,1.3,24.6,9.7,14.8
1981-11-16T14:05:10Z,38.46284966,-107.1673374,11.8,0,1.6,5.6,11.1,6.1,5.2
1981-12-17T00:34:14Z,38.46284966,-107.1673374,14.9,0,0,21.9,1.7,0.6,1
1982-01-16T05:14:31Z,38.46284966,-107.1673374,15.8,0,0,46.8,0,0,0
1982-02-15T15:43:35Z,38.46284966,-107.1673374,15.8,0,0,68.1,0,0,0
1982-03-18T02:12:39Z,38.46284966,-107.1673374,29,59.8,4.5,8.4,0,0,0
1982-04-17T12:41:43Z,38.46284966,-107.1673374,21,7.3,0,0,34.4,12.7,21.6
1982-05-17T23:10:47Z,38.46284966,-107.1673374,17.6,0,33.1,0,59.7,21,39.1
1982-06-17T09:39:51Z,38.46284966,-107.1673374,3.8,0,13.6,0,89.4,67.1,22.8
1982-07-17T20:08:54Z,38.46284966,-107.1673374,1.4,0,28.9,0,108.9,85.8,23
1982-08-17T06:37:58Z,38.46284966,-107.1673374,5.1,0,53.9,0,101.6,48.3,53.5
1982-09-16T17:07:02Z,38.46284966,-107.1673374,11.7,0,44,0,59.9,23.5,36.4
1982-10-17T03:36:06Z,38.46284966,-107.1673374,10.8,0,2.6,0.5,23.8,13.4,10.6
1982-11-16T14:05:10Z,38.46284966,-107.1673374,11.7,0,0.5,15.7,1.6,0.7,0.9
1982-12-17T00:34:14Z,38.46284966,-107.1673374,11.8,0,0,22.2,0,0,0
1983-01-16T05:14:31Z,38.46284966,-107.1673374,11.8,0,0,29,0,0,0
1983-02-15T15:43:35Z,38.46284966,-107.1673374,11.8,0,0,47.2,0,0,0
1983-03-18T02:12:39Z,38.46284966,-107.1673374,30.3,44,8.8,0.5,2.2,0,2.2
1983-04-17T12:41:43Z,38.46284966,-107.1673374,28.9,0.5,3.9,1.2,14.6,1.5,13.2
1983-05-17T23:10:47Z,38.46284966,-107.1673374,24.7,5.3,35.1,0,45.4,7.5,38
1983-06-17T09:39:51Z,38.46284966,-107.1673374,12.8,0,38,0,88.1,36.3,51.7
1983-07-17T20:08:54Z,38.46284966,-107.1673374,4.9,0,43.1,0,113.1,68.1,44.7
1983-08-17T06:37:58Z,38.46284966,-107.1673374,3.7,0,48.8,0,104.8,52.2,52.6
1983-09-16T17:07:02Z,38.46284966,-107.1673374,0.9,0,10,0,67.2,55.7,11.1
1983-10-17T03:36:06Z,38.46284966,-107.1673374,2.3,0,6.5,0,34.3,30,3.8
1983-11-16T14:05:10Z,38.46284966,-107.1673374,13.5,0,9.8,27.9,5.8,4.7,1.2
1983-12-17T00:34:14Z,38.46284966,-107.1673374,20,0,0,102.6,0,0,0
1984-01-16T05:14:31Z,38.46284966,-107.1673374,20,0,0,108.8,0,0,0
1984-02-15T15:43:35Z,38.46284966,-107.1673374,20,0,0,135,0,0,0
1984-03-17T02:12:39Z,38.46284966,-107.1673374,20.1,0,0.3,160,0,0,0
1984-04-16T12:41:43Z,38.46284966,-107.1673374,28.4,151.4,1.5,0,6,0.3,5.7
1984-05-16T23:10:47Z,38.46284966,-107.1673374,16.5,6,17.6,0,72.8,39,34.1
1984-06-16T09:39:51Z,38.46284966,-107.1673374,14.9,2.9,56.7,0,89.9,35,54.9
1984-07-16T20:08:54Z,38.46284966,-107.1673374,5.1,0,57.1,0,113.7,55.7,57.8
1984-08-16T06:37:58Z,38.46284966,-107.1673374,8,0,66.5,0,98.3,36.8,61.5
1984-09-15T17:07:02Z,38.46284966,-107.1673374,6.9,0,24.4,0,62.9,35.2,27.7
1984-10-16T03:36:06Z,38.46284966,-107.1673374,16.5,3.8,23,0,19.5,6,13.4
1984-11-15T14:05:10Z,38.46284966,-107.1673374,29.2,0,1.7,4,4.6,0.2,4.2
1984-12-16T00:34:14Z,38.46284966,-107.1673374,30.2,0,0,14.1,0,0,0
1985-01-16T05:14:31Z,38.46284966,-107.1673374,30.2,0,0,29.5,0,0,0
1985-02-15T15:43:35Z,38.46284966,-107.1673374,30.2,0,0,40.6,0,0,0
1985-03-18T02:12:39Z,38.46284966,-107.1673374,30.6,51.3,4.7,15.6,3.4,0.1,3.3
1985-04-17T12:41:43Z,38.46284966,-107.1673374,27.4,22.5,21.3,0,28.1,4,24.1
1985-05-17T23:10:47Z,38.46284966,-107.1673374,19.6,0,32.3,0,67.2,17.7,49.4
1985-06-17T09:39:51Z,38.46284966,-107.1673374,3.8,0,11.2,0,99.9,78.8,21
1985-07-17T20:08:54Z,38.46284966,-107.1673374,2.9,0,48.3,0,111.5,65.4,46.1
1985-08-17T06:37:58Z,38.46284966,-107.1673374,1.2,0,12.9,0,98.2,81.9,16.4
1985-09-16T17:07:02Z,38.46284966,-107.1673374,10.7,0,56,0,52.8,24.6,28.3
1985-10-17T03:36:06Z,38.46284966,-107.1673374,24.4,0,12.3,0.1,29,5.8,23.6
1985-11-16T14:05:10Z,38.46284966,-107.1673374,20.8,0,5.4,9.9,3.9,1.2,2.8
1985-12-17T00:34:14Z,38.46284966,-107.1673374,30.3,0,0,25.7,0,0,0
1986-01-16T05:14:31Z,38.46284966,-107.1673374,30.3,0,0,30.8,0,0,0
1986-02-15T15:43:35Z,38.46284966,-107.1673374,30.5,33.5,0.5,22.7,0,0,0
1986-03-18T02:12:39Z,38.46284966,-107.1673374,26.5,21.9,0.5,0,19,3,16
1986-04-17T12:41:43Z,38.46284966,-107.1673374,17.8,0,10.6,0,29.4,10.7,18.9
1986-05-17T23:10:47Z,38.46284966,-107.1673374,15.9,0,22.3,0,61,23.2,37.5
1986-06-17T09:39:51Z,38.46284966,-107.1673374,7,0,38.5,0,99.2,57.5,41.8
1986-07-17T20:08:54Z,38.46284966,-107.1673374,7.4,0,53.5,0,105.7,52.3,53.6
1986-08-17T06:37:58Z,38.46284966,-107.1673374,6.3,0,57.4,0,97.7,47.2,50.2
1986-09-16T17:07:02Z,38.46284966,-107.1673374,15.5,0,38.3,0,52.3,21.2,31.1
1986-10-17T03:36:06Z,38.46284966,-107.1673374,22.6,0,16.4,1.5,24.3,5.4,18.7
1986-11-16T14:05:10Z,38.46284966,-107.1673374,31,43.5,20.6,3.6,2.7,0,2.7
1986-12-17T00:34:14Z,38.46284966,-107.1673374,31.2,0,0,10.4,0,0,0
1987-01-16T05:14:31Z,38.46284966,-107.1673374,31.2,0,0,29.6,0,0,0
1987-02-15T15:43:35Z,38.46284966,-107.1673374,31.2,0,0,61.7,0,0,0
1987-03-18T02:12:39Z,38.46284966,-107.1673374,31.2,36.4,1.3,42,0,0,0
1987-04-17T12:41:43Z,38.46284966,-107.1673374,25,45.5,8,0,36.3,9.8,26.6
1987-05-17T23:10:47Z,38.46284966,-107.1673374,10.7,0,29.6,0,63.2,26.4,37.1
1987-06-17T09:39:51Z,38.46284966,-107.1673374,3.9,0,24.2,0,97.9,69.3,28.5
1987-07-17T20:08:54Z,38.46284966,-107.1673374,0.7,0,15.8,0,108.5,91.7,16.4
1987-08-17T06:37:58Z,38.46284966,-107.1673374,13.1,0.3,65.7,0,94.1,46.9,47.2
1987-09-16T17:07:02Z,38.46284966,-107.1673374,8,0,4.7,0,60,39.7,20
1987-10-17T03:36:06Z,38.46284966,-107.1673374,5,0,14,0,31.3,23.3,7.9
1987-11-16T14:05:10Z,38.46284966,-107.1673374,19.7,0,8.1,8.3,5.3,1.3,3.8
1987-12-17T00:34:14Z,38.46284966,-107.1673374,21.3,0,0,17.4,0,0,0
1988-01-16T05:14:31Z,38.46284966,-107.1673374,21.3,0,0,60.6,0,0,0
1988-02-15T15:43:35Z,38.46284966,-107.1673374,21.4,0,0,71.7,0,0,0
1988-03-17T02:12:39Z,38.46284966,-107.1673374,27.6,42.3,0,24.4,0,0,0
1988-04-16T12:41:43Z,38.46284966,-107.1673374,22.6,23.3,4.9,0,32.4,8.7,23.7
1988-05-16T23:10:47Z,38.46284966,-107.1673374,11.3,0,23.3,0,62.4,31.4,31
1988-06-16T09:39:51Z,38.46284966,-107.1673374,3.1,0,17.9,0,105.1,78.3,26.5
1988-07-16T20:08:54Z,38.46284966,-107.1673374,1.4,0,24.9,0,112.9,87.9,25.5
1988-08-16T06:37:58Z,38.46284966,-107.1673374,4.6,0,45.6,0,100.2,62.2,38.1
1988-09-15T17:07:02Z,38.46284966,-107.1673374,11.2,0,25.5,0,57.6,33.3,24.7
1988-10-16T03:36:06Z,38.46284966,-107.1673374,6.7,0,7.7,0,36,23.5,12.4
1988-11-15T14:05:10Z,38.46284966,-107.1673374,13.5,0,7.5,12.9,5.3,3.7,1.6
1988-12-16T00:34:14Z,38.46284966,-107.1673374,18.1,0,0,42.5,0,0,0
1989-01-16T05:14:31Z,38.46284966,-107.1673374,18.1,0,0,57.9,0,0,0
1989-02-15T15:43:35Z,38.46284966,-107.1673374,18.1,0,0,89.7,0,0,0
1989-03-18T02:12:39Z,38.46284966,-107.1673374,26,78.3,0.4,0,10.5,1,9.7
1989-04-17T12:41:43Z,38.46284966,-107.1673374,16.3,0,1.3,0,44.3,23,20.9
1989-05-17T23:10:47Z,38.46284966,-107.1673374,4,0,10.4,0,71.8,55.8,15.9
1989-06-17T09:39:51Z,38.46284966,-107.1673374,0.9,0,10.8,0,95.2,83.5,12.1
1989-07-17T20:08:54Z,38.46284966,-107.1673374,1.4,0,41.2,0,117.4,83.6,33.4
1989-08-17T06:37:58Z,38.46284966,-107.1673374,4.5,0,25.6,0,95.2,63.2,32.4
1989-09-16T17:07:02Z,38.46284966,-107.1673374,4,0,20.2,0,64.3,48,16.7
1989-10-17T03:36:06Z,38.46284966,-107.1673374,6.1,0,10,0,29.7,19.3,10
1989-11-16T14:05:10Z,38.46284966,-107.1673374,5.9,0,0,0,10.1,7.8,2
1989-12-17T00:34:14Z,38.46284966,-107.1673374,5,0,0,4.4,0.6,0.6,0
1990-01-16T05:14:31Z,38.46284966,-107.1673374,5,0,0,16.4,0,0,0
1990-02-15T15:43:35Z,38.46284966,-107.1673374,5.9,0,0,9.2,0,0,0
1990-03-18T02:12:39Z,38.46284966,-107.1673374,24.1,0,1,0,19,4.5,14.6
1990-04-17T12:41:43Z,38.46284966,-107.1673374,18.9,0,28.8,8.8,36,10.3,25.7
1990-05-17T23:10:47Z,38.46284966,-107.1673374,16.8,7.3,20.9,0,64.7,27.2,37.6
1990-06-17T09:39:51Z,38.46284966,-107.1673374,2.6,0,7.6,0,104.9,89.8,15.1
1990-07-17T20:08:54Z,38.46284966,-107.1673374,5.5,0,54.5,0,112.2,63.4,48.5
1990-08-17T06:37:58Z,38.46284966,-107.1673374,5.9,0,32.9,0,96.2,60.5,35.6
1990-09-16T17:07:02Z,38.46284966,-107.1673374,7.1,0,48.8,0,69.9,41.8,27.6
1990-10-17T03:36:06Z,38.46284966,-107.1673374,26.2,6.3,20.8,0,27.4,3.9,23.3
