date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.9051022,-110.285,39.8,0,1.2,31.3,0,0,0,35.9,0,0,90.1,0,0,0
2020-02-15T15:43:35Z,44.9051022,-110.285,56.6,0,5.9,50.5,0,0,0,35.9,0,0,104,0,0,0
2020-03-17T02:12:39Z,44.9051022,-110.285,85.1,11.5,2.9,13.7,0,0,0,63.8,47.7,21.9,16.6,0,0,0
2020-04-16T12:41:43Z,44.9051022,-110.285,98.7,13.4,6.6,0,26.6,1.4,24.9,99.3,16.6,9.2,0,27,1.1,25.8
2020-05-16T23:10:47Z,44.9051022,-110.285,91.3,3.6,61.3,0,65.1,4.6,60.6,80.7,0,33.8,0,50.3,6.7,43.6
2020-06-16T09:39:51Z,44.9051022,-110.285,65.7,0,27,0,90.7,24.4,66.3,63.5,0,33.8,0,81.1,20,60.8
2020-07-16T20:08:54Z,44.9051022,-110.285,49.2,0,63.8,0,88.8,22.5,66.6,39.5,0,21.5,0,83.5,40.7,42.8
2020-08-16T06:37:58Z,44.9051022,-110.285,33.5,0,24.2,0,84.1,41.9,42.2,41.3,0,49.8,0,78.3,29.5,48.7
2020-09-15T17:07:02Z,44.9051022,-110.285,28.5,0,26.4,0,47.2,22,25.2,26.2,0,3.9,0,48.7,33.4,15.7
2020-10-16T03:36:06Z,44.9051022,-110.285,30.8,0,23.1,0.1,18.5,9,9.4,22.4,0,15.1,0.3,16.9,13.1,3.9
2020-11-15T14:05:10Z,44.9051022,-110.285,48.4,0,4.5,2.1,2,0.6,1.4,48.7,0,9,32.9,0.8,0.3,0.5
2020-12-16T00:34:14Z,44.9051022,-110.285,65.8,0,0,40.4,0,0,0,68.1,0,4.8,50.3,0,0,0
2021-01-16T05:14:31Z,44.9051022,-110.285,66,0,0.3,71.4,0,0,0,72.3,0,0.4,61.5,0,0,0
2021-02-15T15:43:35Z,44.9051022,-110.285,66,0,0,73.5,0,0,0,72.5,0,0.6,78.2,0,0,0
2021-03-18T02:12:39Z,44.9051022,-110.285,83.6,39.2,1.3,0,11,0.2,10.7,85.1,36.2,9.9,27.2,0,0,0
2021-04-17T12:41:43Z,44.9051022,-110.285,98.2,8.3,22.8,0,34.2,1.1,32.4,103.5,44.6,13.7,0,7.1,0,7
2021-05-17T23:10:47Z,44.9051022,-110.285,83.2,0.1,55,0,53.1,6.9,46.4,92,0,26.9,0,55.1,5.1,49.4
2021-06-17T09:39:51Z,44.9051022,-110.285,89.1,4.1,35.4,0,78.2,10.3,67.9,82.1,0,54.9,0,76.7,8.6,68.1
2021-07-17T20:08:54Z,44.9051022,-110.285,87.7,13.1,92.7,0,85.3,8.6,77.1,59,0,45.7,0,87.8,25.4,62.9
