date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.9051022,-110.2873649,50.4,0,0,76.8,0,0,0,35.9,0,0,90.1,0,0,0
2020-02-15T15:43:35Z,44.9051022,-110.2873649,57.6,0,2.3,102.7,0,0,0,35.9,0,0,104,0,0,0
2020-03-17T02:12:39Z,44.9051022,-110.2873649,81.4,71.5,9.5,3.7,1.3,0,1.3,63.8,47.7,21.9,16.6,0,0,0
2020-04-16T12:41:43Z,44.9051022,-110.2873649,103.7,22.3,5.7,34.9,1.7,0,1.7,99.3,16.6,9.2,0,27,1.1,25.8
2020-05-16T23:10:47Z,44.9051022,-110.2873649,100.4,50.7,38.7,0,43.9,1.5,42.3,80.7,0,33.8,0,50.3,6.7,43.6
2020-06-16T09:39:51Z,44.9051022,-110.2873649,92.6,30.5,74.6,0,73,7.4,65.6,63.5,0,33.8,0,81.1,20,60.8
2020-07-16T20:08:54Z,44.9051022,-110.2873649,57.7,0,44.8,0,100.3,32.1,68.1,39.5,0,21.5,0,83.5,40.7,42.8
2020-08-16T06:37:58Z,44.9051022,-110.2873649,39.2,0,20.6,0,81.3,40.1,41.1,41.3,0,49.8,0,78.3,29.5,48.7
2020-09-15T17:07:02Z,44.9051022,-110.2873649,36.8,0,58.5,0,45.6,14.5,31.2,26.2,0,3.9,0,48.7,33.4,15.7
2020-10-16T03:36:06Z,44.9051022,-110.2873649,60,0,31.3,0.1,25.3,7.3,18.3,22.4,0,15.1,0.3,16.9,13.1,3.9
2020-11-15T14:05:10Z,44.9051022,-110.2873649,88.5,0,17.2,20,0,0,0,48.7,0,9,32.9,0.8,0.3,0.5
2020-12-16T00:34:14Z,44.9051022,-110.2873649,94.5,0,0,60,0,0,0,68.1,0,4.8,50.3,0,0,0
2021-01-16T05:14:31Z,44.9051022,-110.2873649,94.5,0,0,91.1,0,0,0,72.3,0,0.4,61.5,0,0,0
2021-02-15T15:43:35Z,44.9051022,-110.2873649,98.6,2.9,2.5,101,0,0,0,72.5,0,0.6,78.2,0,0,0
2021-03-18T02:12:39Z,44.9051022,-110.2873649,103.8,118.2,14.4,15.8,0,0,0,85.1,36.2,9.9,27.2,0,0,0
2021-04-17T12:41:43Z,44.9051022,-110.2873649,102.4,58.3,38.9,0,17.7,0.2,17.2,103.5,44.6,13.7,0,7.1,0,7
2021-05-17T23:10:47Z,44.9051022,-110.2873649,91.6,15,34.1,0,58,5.4,52.5,92,0,26.9,0,55.1,5.1,49.4
2021-06-17T09:39:51Z,44.9051022,-110.2873649,86.5,0,50.6,0,66.9,6.1,60.5,82.1,0,54.9,0,76.7,8.6,68.1
2021-07-17T20:08:54Z,44.9051022,-110.2873649,77.5,0,75.8,0,92.7,12.7,79.8,59,0,45.7,0,87.8,25.4,62.9
2021-08-17T06:37:58Z,44.9051022,-110.2873649,53.1,0,28.2,0,84.5,26.6,58.3,37.9,0,16.5,0,78.3,39.1,39.1
2021-09-16T17:07:02Z,44.9051022,-110.2873649,58.3,0,44.9,0,42.2,10.1,32.4,38.2,0,53.3,0,46.8,24.7,22
2021-10-17T03:36:06Z,44.9051022,-110.2873649,49.9,0,2,29.5,21.5,10,11.4,74.6,0,29.9,10.7,12,2.3,9.6
2021-11-16T14:05:10Z,44.9051022,-110.2873649,47.7,0,0,40.9,0,0,0,94.5,0,0,59.3,0,0,0
2021-12-17T00:34:14Z,44.9051022,-110.2873649,47.7,0,0,89.1,0,0,0,94.5,0,0,88.7,0,0,0
2022-01-16T05:14:31Z,44.9051022,-110.2873649,49.7,0,1.3,105.9,0,0,0,94.6,0,3.4,119.3,0,0,0
2022-02-15T15:43:35Z,44.9051022,-110.2873649,52.8,0,0,140.3,0,0,0,97.9,0,0,127.4,0,0,0
2022-03-18T02:12:39Z,44.9051022,-110.2873649,86.8,108.8,9.9,0,1.7,0,1.7,102.5,33.9,5.5,115.3,0,0,0
