date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,44.9051022,-110.2873649,66.3,0,0,70.2,0,0,0
1980-02-15T15:43:35Z,44.9051022,-110.2873649,67.9,0,1.9,85.1,0,0,0
1980-03-17T02:12:39Z,44.9051022,-110.2873649,79.9,0,0.5,128.8,0,0,0
1980-04-16T12:41:43Z,44.9051022,-110.2873649,93.4,111.6,6.5,0,20.1,1.2,18.9
1980-05-16T23:10:47Z,44.9051022,-110.2873649,91.1,10.3,62.5,0,46.4,3.3,43.3
1980-06-16T09:39:51Z,44.9051022,-110.2873649,93.9,7.9,48,0,71.3,5,66.6
1980-07-16T20:08:54Z,44.9051022,-110.2873649,72.4,0,48.4,0,87.5,18.8,69.1
1980-08-16T06:37:58Z,44.9051022,-110.2873649,51.7,0,50.1,0,64.7,18.3,46.4
1980-09-15T17:07:02Z,44.9051022,-110.2873649,75.8,0,57.2,0,41.2,4.6,36.3
1980-10-16T03:36:06Z,44.9051022,-110.2873649,74.4,0,2.2,0,18.5,4.5,13.6
1980-11-15T14:05:10Z,44.9051022,-110.2873649,87.1,0,19.6,12.1,3.6,0.8,2.8
1980-12-16T00:34:14Z,44.9051022,-110.2873649,102.7,27.2,5.1,0,0.7,0,0.7
1981-01-16T05:14:31Z,44.9051022,-110.2873649,103.3,0,0,10.6,0.1,0,0.1
1981-02-15T15:43:35Z,44.9051022,-110.2873649,103.7,34.5,8.8,4.1,0,0,0
1981-03-18T02:12:39Z,44.9051022,-110.2873649,103.7,14.5,7.8,3.6,2,0,2
1981-04-17T12:41:43Z,44.9051022,-110.2873649,100.5,16,16.3,0,23.4,0.9,22.5
1981-05-17T23:10:47Z,44.9051022,-110.2873649,101.6,41.8,78.5,0,38.6,0.4,38.3
1981-06-17T09:39:51Z,44.9051022,-110.2873649,99.1,35.7,75.9,0,61.5,2,59.4
1981-07-17T20:08:54Z,44.9051022,-110.2873649,63.4,0,31.7,0,87.1,25,62.2
1981-08-17T06:37:58Z,44.9051022,-110.2873649,39.9,0,17.1,0,77.6,38,39.6
1981-09-16T17:07:02Z,44.9051022,-110.2873649,27.6,0,18.6,0,46.6,30.2,16.7
1981-10-17T03:36:06Z,44.9051022,-110.2873649,53.2,0,24.6,0,10.2,4.1,6
