date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,40.50596642,-108.9377028,15.7,0,0,0,3,1.6,0.9,44.5,0,0,4.7,0,0,0
2020-02-15T15:43:35Z,40.50596642,-108.9377028,19.8,0,2.8,0,13.3,7.4,6.1,54.7,1.5,5.4,0.2,2.4,0,2.2
2020-03-17T02:12:39Z,40.50596642,-108.9377028,16.1,0,12.4,0,56.3,34,22.2,53.1,0,9.2,0.2,21,2.5,18.1
2020-04-16T12:41:43Z,40.50596642,-108.9377028,16.7,0,27.9,0,63.1,34.3,28.6,33.4,0,10.2,0,69.5,26.6,43
2020-05-16T23:10:47Z,40.50596642,-108.9377028,17.5,0,47.4,0,112.4,58.4,54.1,21.8,0,38.5,0,85.7,44.8,40.6
2020-06-16T09:39:51Z,40.50596642,-108.9377028,5.2,0,1.6,0,133.1,119.8,13,26.7,0,62.3,0,121.6,53.3,68.3
2020-07-16T20:08:54Z,40.50596642,-108.9377028,0.5,0,10.7,0,151.4,139.6,11.7,9,0,32.2,0,133,92.1,40.8
2020-08-16T06:37:58Z,40.50596642,-108.9377028,0,0,7,0,130.7,123.6,7.1,2.8,0,27.5,0,118.6,94.9,23.8
2020-09-15T17:07:02Z,40.50596642,-108.9377028,4.1,0,40.5,0,86.9,69.4,17.5,3.6,0,8.1,0,76.1,63.8,12.8
2020-10-16T03:36:06Z,40.50596642,-108.9377028,25.8,0,51.1,0,45.5,20.9,24.9,19.6,0,39.8,0,37.5,18.4,19.3
2020-11-15T14:05:10Z,40.50596642,-108.9377028,45.7,0,6.3,0.1,16.7,3.4,13.7,51.9,28,71,16.9,9,1.2,7.9
2020-12-16T00:34:14Z,40.50596642,-108.9377028,47.1,0,6.4,17.3,3.8,0.7,3.1,59.9,0,0,20.2,0,0,0
2021-01-16T05:14:31Z,40.50596642,-108.9377028,58.8,34.7,25.5,0.3,7.1,0,7.1,59.9,0,0,22.9,0,0,0
2021-02-15T15:43:35Z,40.50596642,-108.9377028,58.3,12.5,14,0.5,8.1,0,8.1,59.8,41.7,11.2,0,1.9,0,1.9
2021-03-18T02:12:39Z,40.50596642,-108.9377028,47.9,7.1,18.9,0,46.8,8.1,38.8,52.8,4.8,12.2,0,33.3,4.3,29.1
2021-04-17T12:41:43Z,40.50596642,-108.9377028,26.2,0,39.5,0,74.3,29.4,44.9,26.8,0,22.2,0,62.6,27.6,35.2
2021-05-17T23:10:47Z,40.50596642,-108.9377028,21.3,0,35.6,0,100.1,48.4,51.6,21.4,0,29,0,100.1,54.9,45.5
2021-06-17T09:39:51Z,40.50596642,-108.9377028,5.2,0,0,0,127.8,117.1,10.7,14.8,0,37.7,0,127.2,84.3,42.9
2021-07-17T20:08:54Z,40.50596642,-108.9377028,0.6,0,8.8,0,151.2,140.8,9.7,3,0,41.5,0,142.6,103.4,39.1
2021-08-17T06:37:58Z,40.50596642,-108.9377028,0.1,0,3.3,0,130.1,126.6,3.3,7.2,0,31.8,0,122.3,86.3,36.1
2021-09-16T17:07:02Z,40.50596642,-108.9377028,2.4,0,24.4,0,85.1,72.9,12.5,11,0,63.4,0,85.5,61.7,24.2
2021-10-17T03:36:06Z,40.50596642,-108.9377028,30.4,0,49.5,0,41.4,20.9,20.5,34.1,0,12.9,0,35.2,13,21.9
2021-11-16T14:05:10Z,40.50596642,-108.9377028,56.9,18.6,26.3,5.3,5.4,0,5.1,53.4,18.5,42.4,0,12.1,1.4,10.5
2021-12-17T00:34:14Z,40.50596642,-108.9377028,59.8,13.3,2.4,1.1,0.6,0,0.6,59.8,1.2,2.3,4,1.8,0,1.7
2022-01-16T05:14:31Z,40.50596642,-108.9377028,59.6,6.9,0.7,0.4,0.9,0,0.9,59.6,3.7,0,1.9,0.8,0,0.8
2022-02-15T15:43:35Z,40.50596642,-108.9377028,59.7,18.2,9.6,5.5,0.8,0,0.8,59.7,27.9,7.5,6.1,0.7,0,0.7
2022-03-18T02:12:39Z,40.50596642,-108.9377028,54.7,5.6,10.3,0,24.7,2.3,22.8,58.1,25.3,36.1,0,28.4,0.6,28
2022-04-17T12:41:43Z,40.50596642,-108.9377028,34.3,0,10.8,0,63.3,24.8,38.3,53.8,5,45.1,0,52.9,4.1,49.1
2022-05-17T23:10:47Z,40.50596642,-108.9377028,16.4,0,34.1,0,91.5,46.9,44.5,27.9,0,23.4,0,93.1,39.1,54.4
2022-06-17T09:39:51Z,40.50596642,-108.9377028,5.1,0,7.6,0,122.1,105.5,16.4,11.3,0,13.7,0,136.4,107.3,29.1
2022-07-17T20:08:54Z,40.50596642,-108.9377028,0.5,0,11.2,0,155.6,142.6,12.1,2,0,16.8,0,149.6,130.2,19.4
2022-08-17T06:37:58Z,40.50596642,-108.9377028,1.4,0,15,0,123.1,108.6,14.4,0.2,0,2.5,0,135.4,132.4,2.7
2022-09-16T17:07:02Z,40.50596642,-108.9377028,1.2,0,19.6,0,84.3,71.6,11.9,1.3,0,16.9,0,85,69.7,15.5
2022-10-17T03:36:06Z,40.50596642,-108.9377028,5.3,0,0.3,0,48.5,44,4.8,15.6,0,43.5,0,39.2,19.5,19.8
2022-11-16T14:05:10Z,40.50596642,-108.9377028,20.1,0,16.5,5.2,7.8,3.8,4.2,23.6,0,7.9,2.7,14.8,7.1,8.1
2022-12-17T00:34:14Z,40.50596642,-108.9377028,29.5,0,0,25.8,0,0,0,34.7,0,3.2,0,3.7,0.8,2.7
2023-01-16T05:14:31Z,40.50596642,-108.9377028,41.1,0,0,0,2.9,0,2.7,36,0,0,2.1,0.3,0.1,0.3
2023-02-15T15:43:35Z,40.50596642,-108.9377028,55.3,3.4,10.4,5.3,3.8,0.2,3.3,56.4,13.5,29.7,1.6,1.5,0,1.5
2023-03-18T02:12:39Z,40.50596642,-108.9377028,58.1,23.4,24.8,0,17.3,0.5,16.7,51.4,6.9,8.3,0,34.3,6.2,28.2
2023-04-17T12:41:43Z,40.50596642,-108.9377028,49.3,0,9.1,0,40.9,7.8,32.9,29.2,0,21.4,0,63.5,27.8,35.9
2023-05-17T23:10:47Z,40.50596642,-108.9377028,18.5,0,26.4,0,104.3,57.7,46.4,21,0,36.6,0,85.1,43.1,42.5
2023-06-17T09:39:51Z,40.50596642,-108.9377028,5.9,0,1.4,0,137.3,122.8,14.4,7.5,0,14.7,0,130.8,103,28
2023-07-17T20:08:54Z,40.50596642,-108.9377028,0.9,0,13.6,0,150.6,135.7,14.8,1.1,0,14.8,0,138.4,121.6,17
