date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,40.50596642,-108.9377028,52,0,7.2,35.8,0,0,0
1980-02-15T15:43:35Z,40.50596642,-108.9377028,59.8,41,16.8,19.8,0,0,0
1980-03-17T02:12:39Z,40.50596642,-108.9377028,58.3,34.2,16.9,1,10.1,0.3,9.8
1980-04-16T12:41:43Z,40.50596642,-108.9377028,45.4,0.5,13,0,51.3,11.8,39.6
1980-05-16T23:10:47Z,40.50596642,-108.9377028,34.4,0,48.7,0,83.3,24,59.6
1980-06-16T09:39:51Z,40.50596642,-108.9377028,10.2,0,1.2,0,121.1,100,21.3
1980-07-16T20:08:54Z,40.50596642,-108.9377028,3.6,0,13.6,0,140.2,124.2,15.9
1980-08-16T06:37:58Z,40.50596642,-108.9377028,2.7,0,23.7,0,112,93.7,18.7
1980-09-15T17:07:02Z,40.50596642,-108.9377028,9.3,0,24.6,0,74.6,51.8,23.1
1980-10-16T03:36:06Z,40.50596642,-108.9377028,19.6,0,32,0,35.3,21.9,13.3
1980-11-15T14:05:10Z,40.50596642,-108.9377028,28.2,0,7.6,0,12.3,5.7,6.6
1980-12-16T00:34:14Z,40.50596642,-108.9377028,33.2,0,2,0,9.2,3.6,5.6
1981-01-16T05:14:31Z,40.50596642,-108.9377028,31.7,0,2.1,2.6,3.3,1.3,2
1981-02-15T15:43:35Z,40.50596642,-108.9377028,34,0,4.5,0,10.4,4.2,6.2
1981-03-18T02:12:39Z,40.50596642,-108.9377028,46,0,24,0,18.3,3.1,15.4
1981-04-17T12:41:43Z,40.50596642,-108.9377028,44.2,0.5,17.7,0,63.4,17.3,45.9
1981-05-17T23:10:47Z,40.50596642,-108.9377028,28.7,0,52.2,0,85.5,26.9,58.5
1981-06-17T09:39:51Z,40.50596642,-108.9377028,8.2,0,11,0,126.4,99.3,26.9
1981-07-17T20:08:54Z,40.50596642,-108.9377028,1,0,13.8,0,141.3,125,16.3
1981-08-17T06:37:58Z,40.50596642,-108.9377028,0.1,0,13.7,0,119,104.7,13.7
1981-09-16T17:07:02Z,40.50596642,-108.9377028,4.1,0,27,0,80.1,56,24
1981-10-17T03:36:06Z,40.50596642,-108.9377028,44.7,8.7,93.8,0,34.2,5.1,29.3
1981-11-16T14:05:10Z,40.50596642,-108.9377028,52.7,0,4.8,4.4,15,1.3,14.1
1981-12-17T00:34:14Z,40.50596642,-108.9377028,54.9,0,4.6,6.1,4.8,0,4.4
1982-01-16T05:14:31Z,40.50596642,-108.9377028,59,4.1,0,20,0,0,0
1982-02-15T15:43:35Z,40.50596642,-108.9377028,58.3,25.8,3.4,0,9,0.5,8.5
1982-03-18T02:12:39Z,40.50596642,-108.9377028,58.1,7.5,25.2,0,19.6,0.2,19.3
1982-04-17T12:41:43Z,40.50596642,-108.9377028,50.7,0,9.8,0,40.8,6.9,33.7
1982-05-17T23:10:47Z,40.50596642,-108.9377028,26.6,0,28.1,0,84.4,36.6,47.7
1982-06-17T09:39:51Z,40.50596642,-108.9377028,7.6,0,5.4,0,113.3,94.6,18.9
1982-07-17T20:08:54Z,40.50596642,-108.9377028,1.6,0,18.2,0,137.2,117.2,20.4
1982-08-17T06:37:58Z,40.50596642,-108.9377028,1.3,0,23,0,123.7,101.9,21.7
1982-09-16T17:07:02Z,40.50596642,-108.9377028,14.8,0,83.3,0,73.4,34.4,39.3
1982-10-17T03:36:06Z,40.50596642,-108.9377028,42.7,0,28.1,0.9,30.3,6.4,24.2
1982-11-16T14:05:10Z,40.50596642,-108.9377028,57.5,9.5,15.2,6.3,4.1,0.4,3.7
1982-12-17T00:34:14Z,40.50596642,-108.9377028,59.9,7,2.1,15.5,0,0,0
1983-01-16T05:14:31Z,40.50596642,-108.9377028,59.9,1.4,0,24,0,0,0
1983-02-15T15:43:35Z,40.50596642,-108.9377028,59.8,38.1,6.2,0.6,1.7,0,1.7
1983-03-18T02:12:39Z,40.50596642,-108.9377028,58.5,15.9,27.1,0,19.9,0.3,19.6
1983-04-17T12:41:43Z,40.50596642,-108.9377028,53.8,3.9,23.3,0,35.2,3.3,31.8
1983-05-17T23:10:47Z,40.50596642,-108.9377028,50.9,5.7,51.3,0,73.9,10.8,63.2
1983-06-17T09:39:51Z,40.50596642,-108.9377028,23.7,0,36.1,0,112.5,53.7,58.4
1983-07-17T20:08:54Z,40.50596642,-108.9377028,4.2,0,20.9,0,135.7,106.8,29.2
1983-08-17T06:37:58Z,40.50596642,-108.9377028,2.3,0,25.4,0,125.1,100.1,25.2
1983-09-16T17:07:02Z,40.50596642,-108.9377028,1.2,0,28.7,0,79.1,55,23.9
1983-10-17T03:36:06Z,40.50596642,-108.9377028,19.1,0,31.4,0,41.1,20,20.9
1983-11-16T14:05:10Z,40.50596642,-108.9377028,28.5,0,15.3,25.4,9.9,4.7,5.2
1983-12-17T00:34:14Z,40.50596642,-108.9377028,34.1,0,0,59.7,0,0,0
1984-01-16T05:14:31Z,40.50596642,-108.9377028,34.1,0,0,68.9,0,0,0
1984-02-15T15:43:35Z,40.50596642,-108.9377028,34.1,0,0,79.5,0,0,0
1984-03-17T02:12:39Z,40.50596642,-108.9377028,49.8,68.9,16.9,0,5.1,0,5.1
1984-04-16T12:41:43Z,40.50596642,-108.9377028,54.6,1.5,26,0.2,34.8,2.2,32.4
1984-05-16T23:10:47Z,40.50596642,-108.9377028,32.1,0,9.6,0,97,44.9,52.2
