date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,41.85634277,-110.7624714,136,0,0,72.8,0,0,0,196,0,0,30.7,0,0,0
2020-02-15T15:43:35Z,41.85634277,-110.7624714,141.2,0,4.3,96.1,0,0,0,196,0,0,46.3,0,0,0
2020-03-17T02:12:39Z,41.85634277,-110.7624714,169.7,0,6.2,37.1,0,0,0,214.8,0,13.5,8.7,0,0,0
2020-04-16T12:41:43Z,41.85634277,-110.7624714,264.3,0,28.1,0,36.1,2.3,33.5,247.2,0,21,0,47,5.6,41.4
2020-05-16T23:10:47Z,41.85634277,-110.7624714,284.1,27.7,70.4,0,56.1,1.4,54.7,239.2,0,45.1,0,57.7,7.3,50.4
2020-06-16T09:39:51Z,41.85634277,-110.7624714,242.7,0,20.7,0,84.5,13.2,71.1,231.6,0,53.2,0,89.4,13.4,76.1
2020-07-16T20:08:54Z,41.85634277,-110.7624714,175,0,6.1,0,121.6,45.8,75.8,201.9,0,40.9,0,101.3,23.7,77.6
2020-08-16T06:37:58Z,41.85634277,-110.7624714,126.5,0,25.8,0,105.5,47.2,57.8,162.7,0,50.2,0,92,27.5,64.5
2020-09-15T17:07:02Z,41.85634277,-110.7624714,108.4,0,36.8,0.1,60.5,32.4,28.2,151.6,0,19.2,0,53.7,22.2,32
2020-10-16T03:36:06Z,41.85634277,-110.7624714,123.8,0,14.7,1.5,19.8,8.3,11.4,166.6,0,33.8,0.3,21.1,7,14.3
2020-11-15T14:05:10Z,41.85634277,-110.7624714,141.3,0,18.6,8.4,3,0.6,2.5,194.5,0,24.9,16.8,1.4,0.2,1.2
2020-12-16T00:34:14Z,41.85634277,-110.7624714,161.8,0,3.3,26.3,0,0,0,201.7,0,0,22.7,0,0,0
2021-01-16T05:14:31Z,41.85634277,-110.7624714,171.5,0,4,41.1,0,0,0,201.7,0,0,25.5,0,0,0
2021-02-15T15:43:35Z,41.85634277,-110.7624714,171.8,0,1.3,72.5,0,0,0,201.8,0,0.3,50.8,0,0,0
2021-03-18T02:12:39Z,41.85634277,-110.7624714,220.8,0,5,0,13.4,1.5,11.9,254.9,0,25.2,0,11.9,0.2,11.8
