date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,41.85634277,-110.7624714,138.4,0,0,90.2,0,0,0
1980-02-15T15:43:35Z,41.85634277,-110.7624714,140.9,0,4.2,114.7,0,0,0
1980-03-17T02:12:39Z,41.85634277,-110.7624714,147.6,0,0.3,135.3,0,0,0
1980-04-16T12:41:43Z,41.85634277,-110.7624714,214.8,0,18.7,0,23,0.6,22.4
1980-05-16T23:10:47Z,41.85634277,-110.7624714,287.3,18.2,73.6,0,52.2,0.6,51.6
1980-06-16T09:39:51Z,41.85634277,-110.7624714,261.3,8.4,28.6,0,83.6,8.5,75
1980-07-16T20:08:54Z,41.85634277,-110.7624714,208.8,0,22.7,0,107.3,26.4,80.7
1980-08-16T06:37:58Z,41.85634277,-110.7624714,156.8,0,19.7,0,84.6,32.1,52.3
1980-09-15T17:07:02Z,41.85634277,-110.7624714,139.8,0,23.1,0,56.9,22.9,34.2
1980-10-16T03:36:06Z,41.85634277,-110.7624714,140.4,0,17.6,0,22.3,9.8,12.8
1980-11-15T14:05:10Z,41.85634277,-110.7624714,152.8,0,10.6,2.2,8.1,3.5,4.6
1980-12-16T00:34:14Z,41.85634277,-110.7624714,174.8,0,7.9,0,1.9,0.5,1.2
1981-01-16T05:14:31Z,41.85634277,-110.7624714,183,0,0,12.4,0.7,0.2,0.4
1981-02-15T15:43:35Z,41.85634277,-110.7624714,191.4,0,3,1.4,3.5,0.5,3.1
1981-03-18T02:12:39Z,41.85634277,-110.7624714,208.5,0,15,5.5,5.9,1.3,4.7
1981-04-17T12:41:43Z,41.85634277,-110.7624714,227.5,0,14,0,37.8,6.7,30.8
1981-05-17T23:10:47Z,41.85634277,-110.7624714,233.7,0,51.3,0,47.5,5.3,42.5
1981-06-17T09:39:51Z,41.85634277,-110.7624714,217.3,0,19.5,0,85.7,21.7,64.4
1981-07-17T20:08:54Z,41.85634277,-110.7624714,159,0,17.3,0,106.4,41.5,64.9
1981-08-17T06:37:58Z,41.85634277,-110.7624714,119.1,0,8.5,0,92.6,49.7,43
1981-09-16T17:07:02Z,41.85634277,-110.7624714,98.5,0,13.1,0,59,33.8,25.3
1981-10-17T03:36:06Z,41.85634277,-110.7624714,129.6,0,55.5,6,12.3,4.9,7.4
1981-11-16T14:05:10Z,41.85634277,-110.7624714,157.3,0,8.6,12.3,6.3,2.7,4
1981-12-17T00:34:14Z,41.85634277,-110.7624714,176.2,0,3.7,57.6,1.6,0.3,1.1
1982-01-16T05:14:31Z,41.85634277,-110.7624714,180.3,0,0,85,0,0,0
1982-02-15T15:43:35Z,41.85634277,-110.7624714,183,0,7.6,98,0,0,0
1982-03-18T02:12:39Z,41.85634277,-110.7624714,234,0,23.6,34.2,0,0,0
1982-04-17T12:41:43Z,41.85634277,-110.7624714,289.8,59.3,13.9,0,16.9,0.3,16.6
1982-05-17T23:10:47Z,41.85634277,-110.7624714,271.5,0,24.9,0,53.6,3.3,50.4
1982-06-17T09:39:51Z,41.85634277,-110.7624714,231.7,0,12.7,0,78.9,14.7,64.2
1982-07-17T20:08:54Z,41.85634277,-110.7624714,184.2,0,58.6,0,101.9,24.9,77.4
1982-08-17T06:37:58Z,41.85634277,-110.7624714,164.1,0,23.2,0,95.2,33.5,61.6
1982-09-16T17:07:02Z,41.85634277,-110.7624714,170.2,0,103.8,0.1,43.2,14.4,28.8
1982-10-17T03:36:06Z,41.85634277,-110.7624714,234.7,0,17.4,2.3,14.5,2.2,12.4
1982-11-16T14:05:10Z,41.85634277,-110.7624714,245.9,0,2.1,31.9,1.2,0.2,1.1
1982-12-17T00:34:14Z,41.85634277,-110.7624714,246.6,0,0,57.5,0,0,0
1983-01-16T05:14:31Z,41.85634277,-110.7624714,246.6,0,0,65.4,0,0,0
1983-02-15T15:43:35Z,41.85634277,-110.7624714,247.1,0,1.2,83.1,0,0,0
1983-03-18T02:12:39Z,41.85634277,-110.7624714,278.4,48,11.6,21.3,0,0,0
1983-04-17T12:41:43Z,41.85634277,-110.7624714,292.5,57.4,35,1.7,10.8,0,10.8
1983-05-17T23:10:47Z,41.85634277,-110.7624714,287.1,53,29.2,0,34.8,1.1,33.9
1983-06-17T09:39:51Z,41.85634277,-110.7624714,254,0,26.8,0,78.9,8.7,70.4
1983-07-17T20:08:54Z,41.85634277,-110.7624714,214.7,0,48.1,0,101.6,19.9,81.2
1983-08-17T06:37:58Z,41.85634277,-110.7624714,194.3,0,85.4,0,94.6,18.6,76.2
1983-09-16T17:07:02Z,41.85634277,-110.7624714,214.8,0,59.6,0,53.4,8.1,45.6
