Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.437,1.316,5.969,3.491
bcc-csm1-1-m,3.6,-0.999,5.389,2.027
BNU-ESM,4.833,2.405,6.788,4.017
CanESM2,5.681,5.612,7.492,9.714
CCSM4,4.305,1.55,5.827,2.226
CNRM-CM5,3.816,3.008,5.288,6.88
CSIRO-Mk3-6-0,5.343,1.094,6.112,1.916
GFDL-ESM2M,2.176,1.769,3.975,-0.001
GFDL-ESM2G,3.746,2.476,4.422,2.49
HadGEM2-CC365,4.836,3.072,7.13,1.517
HadGEM2-ES365,5.141,2.766,7.11,0.579
inmcm4,2.199,1.755,3.868,1.289
IPSL-CM5A-LR,4.609,-0.569,6.448,-0.053
IPSL-CM5A-MR,5.394,-0.49,7.398,0.812
IPSL-CM5B-LR,3.714,1.171,5.193,1.474
MIROC5,5.933,5.442,7.072,6.378
MIROC-ESM,6.958,5.854,8.41,4.938
MIROC-ESM-CHEM,6.818,6.704,8.85,8.079
MRI-CGCM3,2.014,2.394,3.302,5.275
NorESM1-M,4.861,5.174,6.232,4.146
20CMIP5ModelMean,4.521,2.576,6.114,3.36
