date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.95,-111.05,139.3,0,1.6,141.3,0,0,0,181.7,1.9,0,152.2,0,0,0
2020-02-15T15:43:35Z,44.95,-111.05,142.2,0,2.6,272.9,0,0,0,182.6,0.3,0,219,0,0,0
2020-03-17T02:12:39Z,44.95,-111.05,156.9,0,6.5,303.2,0,0,0,182.6,17.3,13.9,291.6,0,0,0
2020-04-16T12:41:43Z,44.95,-111.05,182.1,312.2,20.4,0,7.3,0,7.2,182.4,375.1,84.8,0.3,8.8,0,8.8
2020-05-16T23:10:47Z,44.95,-111.05,180.1,81.7,137.4,0,61.9,0.5,61.2,181.1,118.1,137.6,0.3,31.2,0.2,31
2020-06-16T09:39:51Z,44.95,-111.05,155.7,0,30.9,0,91.2,10,80.9,177.4,47.1,120.4,0,74.5,1,73.4
2020-07-16T20:08:54Z,44.95,-111.05,144.7,0,95,0,93,7.7,85.5,169.7,42.4,89.2,0,85.8,4.2,81.6
2020-08-16T06:37:58Z,44.95,-111.05,122.4,0,32.6,0,88.5,20.5,68.1,136.5,0,42.4,0,77.2,12.9,64.4
2020-09-15T17:07:02Z,44.95,-111.05,111.3,0,41.5,0,46.6,10.3,36.5,129,0,40.7,0,44.6,9.3,35.1
2020-10-16T03:36:06Z,44.95,-111.05,123.6,0,57.8,0.7,17,3.9,12.9,165.2,7.6,42,8.6,10.3,1.1,9.3
2020-11-15T14:05:10Z,44.95,-111.05,169.9,0,1.2,85.1,1.6,0,1.6,182.6,44.9,32.3,54.2,0,0,0
2020-12-16T00:34:14Z,44.95,-111.05,178,0,0,223,0,0,0,182.6,0,0,119,0,0,0
2021-01-16T05:14:31Z,44.95,-111.05,178,0,0,316.5,0,0,0,182.6,0,0,165.2,0,0,0
2021-02-15T15:43:35Z,44.95,-111.05,178,0,0,325.5,0,0,0,182.6,7.5,7.5,214.5,0,0,0
2021-03-18T02:12:39Z,44.95,-111.05,180.3,227.5,4.8,120,0,0,0,182.6,96,44.5,213,0,0,0
2021-04-17T12:41:43Z,44.95,-111.05,181.2,229.8,81,0.2,24.9,0.2,24.6,182.4,313.6,75.9,0.5,3.7,0,3.6
2021-05-17T23:10:47Z,44.95,-111.05,174.9,66.4,109.5,0,47.9,1.2,46.7,180,23.3,46.1,0,39.6,0.5,39
2021-06-17T09:39:51Z,44.95,-111.05,171.4,18.9,54.6,0,74.9,4.2,70.5,170.4,21,73.8,0,87.2,5.3,81.4
2021-07-17T20:08:54Z,44.95,-111.05,170.4,65,149.9,0,87.3,4,83.4,142.5,0,77.5,0,95.9,12.1,83.8
2021-08-17T06:37:58Z,44.95,-111.05,135.2,0,87.7,0,92.2,11.8,80.2,127.4,0,44.3,0,83.1,15.7,67.2
2021-09-16T17:07:02Z,44.95,-111.05,137.7,0,23.7,0,56.3,10.2,46.3,109,0,56.5,0,53.9,12.8,41
2021-10-17T03:36:06Z,44.95,-111.05,168.5,10.8,66.1,22.5,18.7,2.4,16.3,151,0,30.4,0,11.4,1.6,9.9
2021-11-16T14:05:10Z,44.95,-111.05,182.6,55.4,16.7,103.5,0.3,0,0.3,178.1,13.7,31.5,57.2,0.5,0,0.5
2021-12-17T00:34:14Z,44.95,-111.05,182.6,25.4,16.5,189.6,0,0,0,182.6,0,0,121,0,0,0
2022-01-16T05:14:31Z,44.95,-111.05,182.6,0,0,286.4,0,0,0,182.6,0,0,156.9,0,0,0
