date,lat,lon,soil_water_daily,runoff_daily,rain_daily,accumswe_daily,pet_daily,deficit_daily,aet_daily
1980-01-01T12:00:00Z,41.63099575,-112.4939862,63.2,0,0,5.4,0,0,0
1980-01-02T12:00:00Z,41.63099575,-112.4939862,63.2,0,0,5.4,0,0,0
1980-01-03T12:00:00Z,41.63099575,-112.4939862,63.2,0,0,5.4,0,0,0
1980-01-04T12:00:00Z,41.63099575,-112.4939862,63.2,0,0,5.4,0,0,0
1980-01-05T12:00:00Z,41.63099575,-112.4939862,67.4,0,0,1.2,0,0,0
1980-01-06T12:00:00Z,41.63099575,-112.4939862,67.4,0,0,1.2,0,0,0
1980-01-07T12:00:00Z,41.63099575,-112.4939862,67.4,0,0,1.2,0,0,0
1980-01-08T12:00:00Z,41.63099575,-112.4939862,67.4,0,0,9.9,0,0,0
1980-01-09T12:00:00Z,41.63099575,-112.4939862,68.8,0,1.4,12.9,0,0,0
1980-01-10T12:00:00Z,41.63099575,-112.4939862,68.8,0,0,18.9,0,0,0
1980-01-11T12:00:00Z,41.63099575,-112.4939862,68.8,0,0,23.3,0,0,0
1980-01-12T12:00:00Z,41.63099575,-112.4939862,68.8,0,0,47.9,0,0,0
1980-01-13T12:00:00Z,41.63099575,-112.4939862,85.1,0,9,40.7,0,0,0
1980-01-14T12:00:00Z,41.63099575,-112.4939862,87.7,19.3,10.9,29.7,0,0,0
1980-01-15T12:00:00Z,41.63099575,-112.4939862,87.7,8.1,0.3,21.9,0,0,0
1980-01-16T12:00:00Z,41.63099575,-112.4939862,87.7,7.6,2.6,17,0,0,0
1980-01-17T12:00:00Z,41.63099575,-112.4939862,87.7,13.4,3.7,7.3,0,0,0
1980-01-18T12:00:00Z,41.63099575,-112.4939862,87.7,8.1,2.4,1.5,0,0,0
1980-01-19T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-20T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-21T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-22T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-23T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-24T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-25T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-26T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,1.5,0,0,0
1980-01-27T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,3.5,0,0,0
1980-01-28T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,4.3,0,0,0
1980-01-29T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,7.6,0,0,0
1980-01-30T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,7.6,0,0,0
1980-01-31T12:00:00Z,41.63099575,-112.4939862,87.7,0,0,7.6,0,0,0
