date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,37.383539,-109.0684513,59.8,0,6.5,1.2,4.1,1.2,2.9,55.5,0,22.9,0,10.4,4,5.8
2020-02-15T15:43:35Z,37.383539,-109.0684513,64.2,0,0,0,24.2,10.5,13.7,65.2,0,4.2,0,7.8,2.3,5.6
2020-03-17T02:12:39Z,37.383539,-109.0684513,67.6,0,47.1,0,60.3,18,42.4,59.1,0,0.9,0,43.7,20.7,22.9
2020-04-16T12:41:43Z,37.383539,-109.0684513,52,0,20.6,0,81.1,36.7,44.2,39.2,0,7.7,0,69.3,43.4,26.1
2020-05-16T23:10:47Z,37.383539,-109.0684513,25.2,0,1.7,0,105.6,80.9,24.6,19.4,0,1.7,0,104.6,85.2,19.2
2020-06-16T09:39:51Z,37.383539,-109.0684513,8.9,0,0,0,130.2,120.2,10.2,6.8,0,9.2,0,139.4,122.3,17.2
2020-07-16T20:08:54Z,37.383539,-109.0684513,6.6,0,34.2,0,151.3,117.5,33.5,1.9,0,1.2,0,155.2,151.5,3.9
2020-08-16T06:37:58Z,37.383539,-109.0684513,7.4,0,30.7,0,133.8,105.1,28.5,0.5,0,17,0,131.2,113.5,17.2
2020-09-15T17:07:02Z,37.383539,-109.0684513,39.7,0,126,0,87.2,49.9,37.1,0.2,0,5,0,94.4,89.1,5
2020-10-16T03:36:06Z,37.383539,-109.0684513,77.8,0,10.9,0,57.6,14.1,42.9,0.2,0,2,0,54.1,52.2,1.6
2020-11-15T14:05:10Z,37.383539,-109.0684513,73.8,0,24.2,1.5,22.2,5.5,16.9,5.7,0,10.6,0,23.6,21,2.7
2020-12-16T00:34:14Z,37.383539,-109.0684513,75.7,0,4.8,0,7.5,1.3,5.8,8.8,0,2.7,11.1,6,5.3,0
2021-01-16T05:14:31Z,37.383539,-109.0684513,70.9,0,0.9,0,17,6.2,11,18.6,0,0.3,0,8.8,6.4,2.4
2021-02-15T15:43:35Z,37.383539,-109.0684513,77.2,0,31.7,0,27.4,6.1,21.5,27.4,0,7.2,0,12.1,8.8,3.7
2021-03-18T02:12:39Z,37.383539,-109.0684513,66.5,0,15.6,0,50.7,18.1,32.5,25.4,0,5.2,0,40.1,28.2,12.6
2021-04-17T12:41:43Z,37.383539,-109.0684513,48.1,0,15.1,0,74.2,36.5,37.7,18.3,0,6.8,0,64,49.6,14.1
2021-05-17T23:10:47Z,37.383539,-109.0684513,24.8,0,3.3,0,118.8,91.3,27.5,14.9,0,34.9,0,107.5,73.9,34.2
2021-06-17T09:39:51Z,37.383539,-109.0684513,7.8,0,1.6,0,138.2,127,11.1,9.1,0,1.7,0,133.3,121,12
2021-07-17T20:08:54Z,37.383539,-109.0684513,2.5,0,27.5,0,158.5,132.1,26.8,2.7,0,11.6,0,152.8,137.7,15.4
2021-08-17T06:37:58Z,37.383539,-109.0684513,6.3,0,37.8,0,136.4,103.2,33.4,0.8,0,9.5,0,135.3,124.8,9.9
2021-09-16T17:07:02Z,37.383539,-109.0684513,97.3,16.2,159.7,0,81.4,8.2,73.1,8.7,0,48.2,0,88.9,56.7,31.7
2021-10-17T03:36:06Z,37.383539,-109.0684513,97.4,0,61,0,51.6,5.5,45.5,13.6,0,9.1,0.8,51,40.2,11.1
2021-11-16T14:05:10Z,37.383539,-109.0684513,100.8,0,20,0,16.5,1.6,14.8,37.9,0,34.5,0,16.5,8,8.7
2021-12-17T00:34:14Z,37.383539,-109.0684513,105.5,32.9,37.8,4.3,5.9,0,5.6,71.8,0,22.1,0.3,1.4,0.8,0.6
2022-01-16T05:14:31Z,37.383539,-109.0684513,112.3,20.4,16.6,34.5,0,0,0,92.6,0.8,7.4,15.1,0.7,0.1,0.6
2022-02-15T15:43:35Z,37.383539,-109.0684513,111,39.4,9.5,0,9.6,0.1,9.3,111.1,23.4,10.1,0.2,6.7,0,6.4
2022-03-18T02:12:39Z,37.383539,-109.0684513,102.1,5.7,18.1,0,40.5,4.1,36.3,101.7,1.5,14.3,0,38.2,3.3,35.3
2022-04-17T12:41:43Z,37.383539,-109.0684513,65.4,0,5,0,79.1,33.6,45.8,72.7,0,7.6,0,65.1,21.3,43.7
2022-05-17T23:10:47Z,37.383539,-109.0684513,28.5,0,0.5,0,110.7,82.6,28.3,41.7,0,15.6,0,101.6,57.3,44.3
2022-06-17T09:39:51Z,37.383539,-109.0684513,11.7,0,12.7,0,130.6,108.6,22,16.1,0,0.7,0,133.4,113.9,19.6
2022-07-17T20:08:54Z,37.383539,-109.0684513,4.7,0,46.4,0,157.5,109.2,48.3,4.4,0,5.7,0,157.2,145.2,11.5
2022-08-17T06:37:58Z,37.383539,-109.0684513,5.4,0,37,0,137.2,102,35.3,2.6,0,37.8,0,130.5,97.1,33.4
2022-09-16T17:07:02Z,37.383539,-109.0684513,20.7,0,52.4,0,83.5,49.8,33.5,4.4,0,5.8,0,90.2,80.5,9.5
2022-10-17T03:36:06Z,37.383539,-109.0684513,21,0,6.7,0,48.7,34.2,14.3,92.4,0,144.7,0,45.7,3.4,42.4
2022-11-16T14:05:10Z,37.383539,-109.0684513,19,0,6,2.2,18,13.8,3.5,105.9,9.3,38.6,0,25.7,1.3,24.7
2022-12-17T00:34:14Z,37.383539,-109.0684513,27.4,0,5.5,12.5,0,0,0,111.2,7.3,7.1,7.8,2.9,0,2.9
2023-01-16T05:14:31Z,37.383539,-109.0684513,53,0,49.3,0,0.8,0,0.8,112.1,15.3,8.2,5.2,2.2,0,2.2
2023-02-15T15:43:35Z,37.383539,-109.0684513,98.9,0,0.6,0,15.2,1.7,13.5,111.1,44.6,29.8,0,11.7,0.3,11.4
