date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,37.383539,-109.0684513,98.3,46.7,62.7,0,2.1,0,2.1
1980-02-15T15:43:35Z,37.383539,-109.0684513,110.4,62.1,65.5,0,14.6,0,14.3
1980-03-17T02:12:39Z,37.383539,-109.0684513,110.5,26.8,33.5,0.2,15.9,0.2,15.5
1980-04-16T12:41:43Z,37.383539,-109.0684513,93.1,0.9,12.3,0,60.4,9,51.7
1980-05-16T23:10:47Z,37.383539,-109.0684513,58.9,0,24.3,0,90.2,34.1,56.6
1980-06-16T09:39:51Z,37.383539,-109.0684513,25.4,0,0,0,128,100.1,28.3
1980-07-16T20:08:54Z,37.383539,-109.0684513,7.6,0,7,0,146.1,129.7,16.6
1980-08-16T06:37:58Z,37.383539,-109.0684513,3.2,0,15.6,0,123.8,108.9,15.1
1980-09-15T17:07:02Z,37.383539,-109.0684513,9.1,0,22.5,0,83.8,65.6,18.1
1980-10-16T03:36:06Z,37.383539,-109.0684513,15.4,0,25.4,0,41.8,31.5,10.4
1980-11-15T14:05:10Z,37.383539,-109.0684513,23.8,0,3.4,0,18.8,13.2,5.6
1980-12-16T00:34:14Z,37.383539,-109.0684513,33.2,0,8.1,0,12.4,8.1,4.1
1981-01-16T05:14:31Z,37.383539,-109.0684513,31.2,0,2.3,2.9,10.2,7.3,2.7
1981-02-15T15:43:35Z,37.383539,-109.0684513,37.8,0,10.8,0,14.3,8.2,6.1
1981-03-18T02:12:39Z,37.383539,-109.0684513,71.6,0,49.7,0,20,4.3,15.8
1981-04-17T12:41:43Z,37.383539,-109.0684513,66.5,0,13.1,0,75,26.8,48.1
1981-05-17T23:10:47Z,37.383539,-109.0684513,37.6,0,24.9,0,97.1,53.1,44.8
1981-06-17T09:39:51Z,37.383539,-109.0684513,16.8,0,4.7,0,136.9,112.3,24.5
1981-07-17T20:08:54Z,37.383539,-109.0684513,10.9,0,55.6,0,148.7,93,55.7
1981-08-17T06:37:58Z,37.383539,-109.0684513,5.1,0,9.7,0,126.9,111.6,15.2
1981-09-16T17:07:02Z,37.383539,-109.0684513,7.5,0,21.4,0,87,68.6,18.2
1981-10-17T03:36:06Z,37.383539,-109.0684513,26.5,0,41.5,0,44.9,24.7,19.9
