Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.446,1.377,5.89,2.613
bcc-csm1-1-m,3.539,0.119,5.307,2.274
BNU-ESM,4.858,2.56,6.698,3.521
CanESM2,5.624,4.477,7.437,7.878
CCSM4,4.107,1.162,5.621,1.524
CNRM-CM5,3.862,2.028,5.237,3.962
CSIRO-Mk3-6-0,5.377,-0.109,6.124,0.831
GFDL-ESM2M,2.187,1.856,3.902,0.67
GFDL-ESM2G,3.82,1.711,4.506,2.898
HadGEM2-CC365,5.023,2.071,7.307,0.876
HadGEM2-ES365,5.355,1.712,7.312,0.971
inmcm4,2.159,1.752,3.825,1.865
IPSL-CM5A-LR,4.602,-0.152,6.403,-0.287
IPSL-CM5A-MR,5.32,0.458,7.298,1.346
IPSL-CM5B-LR,3.725,1.16,5.213,1.33
MIROC5,5.838,3.345,6.982,5.369
MIROC-ESM,6.895,4.665,8.367,3.982
MIROC-ESM-CHEM,6.791,6.018,8.807,7.009
MRI-CGCM3,1.98,1.794,3.305,3.449
NorESM1-M,4.756,3.992,6.126,3.687
20CMIP5ModelMean,4.514,2.1,6.084,2.788
