date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.702,-110.018,65.4,0,2.1,107.4,0,0,0,88,0,0,114,0,0,0
2020-02-15T15:43:35Z,44.702,-110.018,69.3,0,0.2,191.1,0,0,0,88,0,0,153.4,0,0,0
2020-03-17T02:12:39Z,44.702,-110.018,75.9,0,5.8,220.6,0,0,0,88.3,12.7,6.1,195.4,0,0,0
2020-04-16T12:41:43Z,44.702,-110.018,88,235.7,15.4,0,11,0.6,10.5,88.8,239.4,40.7,3.1,8.5,0,8.5
2020-05-16T23:10:47Z,44.702,-110.018,85.4,67.1,108.3,0,52.8,1.7,50.9,88.1,92.5,95.5,1.3,20.4,0.2,20.1
2020-06-16T09:39:51Z,44.702,-110.018,65.4,0,29.8,0,85,17.6,68,85.4,51.9,121.1,0,72.1,1.7,70.6
2020-07-16T20:08:54Z,44.702,-110.018,43.9,0,57.3,0,87.2,21.4,65.9,75.4,29.6,64.6,0,77.7,8.9,69
2020-08-16T06:37:58Z,44.702,-110.018,28.8,0,32.6,0,83.5,38.5,45.1,45.5,0,32.4,0,73.3,25.4,48
2020-09-15T17:07:02Z,44.702,-110.018,27.9,0,29.5,0,45.4,20.1,25.4,40.5,0,24.6,0,41.9,15.5,27
2020-10-16T03:36:06Z,44.702,-110.018,38.1,0,32.7,0.7,13.9,5.3,8.4,68.8,0,29.5,39.7,9.1,1.9,7.3
2020-11-15T14:05:10Z,44.702,-110.018,75.5,8.4,8.9,29.4,1.4,0.1,1.2,87.2,27.4,19.6,58.6,0,0,0
2020-12-16T00:34:14Z,44.702,-110.018,89,0,0,104.5,0,0,0,89,0,0,110.2,0,0,0
2021-01-16T05:14:31Z,44.702,-110.018,89,0,0,188.7,0,0,0,89,0,0,140.3,0,0,0
2021-02-15T15:43:35Z,44.702,-110.018,89,0,0,200.1,0,0,0,89,0.2,0.2,172.8,0,0,0
2021-03-18T02:12:39Z,44.702,-110.018,89,220.1,6.3,0,1.5,0,1.5,89,52.5,6.7,169.4,0,0,0
2021-04-17T12:41:43Z,44.702,-110.018,87.1,64.6,53.7,0.2,27.3,0.7,26.5,88.8,236.7,48.1,2,3.7,0,3.7
2021-05-17T23:10:47Z,44.702,-110.018,79.4,74.4,106.3,0,44.9,3.4,41.2,86.6,22.3,35.2,0,32.1,0.9,31.2
2021-06-17T09:39:51Z,44.702,-110.018,78.4,27.9,56.6,0,68.8,7.6,60.8,79.7,25.3,75,0,79.8,8.5,71.4
2021-07-17T20:08:54Z,44.702,-110.018,74.5,26.7,98.6,0,84.3,9.5,74.8,53.1,0,57.9,0,91.3,22.6,69.1
2021-08-17T06:37:58Z,44.702,-110.018,43.2,0,61.1,0,87.9,26.4,61.5,41.1,0,34.9,0,79.4,30.1,49.3
2021-09-16T17:07:02Z,44.702,-110.018,42.9,0,22.9,0,54.7,21.8,33.2,32.4,0,50,0,51.2,19.5,31.8
2021-10-17T03:36:06Z,44.702,-110.018,72.2,0,56.3,25.6,18,4.2,13.6,61.3,0,13.2,0,8.8,2.3,6.5
2021-11-16T14:05:10Z,44.702,-110.018,88.3,47.7,14.3,44.3,0,0,0,82.1,0,14.4,38.2,1.6,0.2,1.3
2021-12-17T00:34:14Z,44.702,-110.018,89,4.4,0.5,125.1,0,0,0,88.4,0,0,74.6,0,0,0
2022-01-16T05:14:31Z,44.702,-110.018,89,0,0,183.2,0,0,0,88.4,0,0,104.9,0,0,0
2022-02-15T15:43:35Z,44.702,-110.018,89,1.5,1.2,215.8,0,0,0,88.5,0,0.5,175.7,0,0,0
2022-03-18T02:12:39Z,44.702,-110.018,89,170.8,25,122.9,0,0,0,89,101.5,23.3,159.5,0,0,0
2022-04-17T12:41:43Z,44.702,-110.018,88.6,236,94.6,0,8.1,0,8,89,234.3,47.5,2,0,0,0
2022-05-17T23:10:47Z,44.702,-110.018,79.3,1.9,43.5,0,62.5,3.8,58.5,87.7,54.6,73.7,4.6,33.4,0.4,33
2022-06-17T09:39:51Z,44.702,-110.018,66.7,0,43.4,0,82.4,16.1,66.1,73.1,22.7,36,0,70.4,12.9,57.4
2022-07-17T20:08:54Z,44.702,-110.018,33.8,0,18.7,0,101,53.1,47.8,35,0,29.2,0,91.7,38.6,53.1
2022-08-17T06:37:58Z,44.702,-110.018,18,0,67.7,0,87,40.6,46.6,17.9,0,13.2,0,84.6,57.2,27.6
2022-09-16T17:07:02Z,44.702,-110.018,38.1,0,17.6,0,45,16.9,28.1,14.6,0,19.5,0,42.6,25,17.7
2022-10-17T03:36:06Z,44.702,-110.018,41.7,0,13.5,0.1,24.1,9.9,14.1,66.4,0,39.3,16,1.9,0.1,1.8
2022-11-16T14:05:10Z,44.702,-110.018,46.1,0,1.2,25.4,1.6,0.7,0.9,88.9,52.7,18.5,76.1,0.5,0,0.5
2022-12-17T00:34:14Z,44.702,-110.018,47.3,0,0,88.7,0,0,0,89,5.6,0.9,117.7,0,0,0
2023-01-16T05:14:31Z,44.702,-110.018,47.4,0,0,124.6,0,0,0,89,0,0,150.2,0,0,0
2023-02-15T15:43:35Z,44.702,-110.018,58.3,0,8.8,173.3,0,0,0,89,0,0,210.1,0,0,0
2023-03-18T02:12:39Z,44.702,-110.018,85.8,115.4,15.6,117.2,0,0,0,89,163.5,9.3,95,0,0,0
2023-04-17T12:41:43Z,44.702,-110.018,88.8,218.5,60.9,0,14.3,0,14.3,88.1,123,22.4,0,15.2,0.1,14.8
2023-05-17T23:10:47Z,44.702,-110.018,82.4,42.2,58.6,0,51.7,3.7,47.9,88.4,87.5,95.7,0,30,0,29.9
2023-06-17T09:39:51Z,44.702,-110.018,74.1,21.3,75.1,0,75.1,9.7,65.5,79.3,0,43.6,0,71.4,5,66.2
2023-07-17T20:08:54Z,44.702,-110.018,41.1,0,50.6,0,101.6,33.2,68.6,69.2,0,61.8,0,86.9,12,74.7
2023-08-17T06:37:58Z,44.702,-110.018,34.7,0,66.1,0,85.4,35.2,50.4,43.4,0,32.6,0,75.2,26.1,49
2023-09-16T17:07:02Z,44.702,-110.018,49.7,0,38,1.5,39.4,14.4,24.9,43,0,65.4,1.2,45.4,12,33.3
2023-10-17T03:36:06Z,44.702,-110.018,85.8,37.9,30.2,7.3,14,0.2,13.6,84.4,49.4,59.1,0,9,0,8.9
2023-11-16T14:05:10Z,44.702,-110.018,89,21.4,5.5,59.1,0,0,0,89,1.9,1.9,20,0,0,0
2023-12-17T00:34:14Z,44.702,-110.018,89,59.4,7.4,72.3,0,0,0,89,0,0,117.7,0,0,0
2024-01-16T05:14:31Z,44.702,-110.018,89,0,0,105.8,0,0,0,89,0,0,166.5,0,0,0
2024-02-15T15:43:35Z,44.702,-110.018,89,8,7.1,176,0,0,0,89,0,0,236.2,0,0,0
2024-03-17T02:12:39Z,44.702,-110.018,88.8,194.2,14.7,2.2,4.5,0,4.5,89,5.2,3.1,308.8,0,0,0
2024-04-16T12:41:43Z,44.702,-110.018,86.5,30.7,35.6,0.6,27.8,0.9,26.8,89,276.2,28.9,84.4,0,0,0
2024-05-16T23:10:47Z,44.702,-110.018,79.7,0,42.4,0,64.3,3.8,60.3,87.7,110.7,34.4,0,25.2,0.4,24.7
2024-06-16T09:39:51Z,44.702,-110.018,49.4,0,21,0,97.5,38.4,59.4,83.8,31.5,73.6,0,64.4,3.3,61.6
2024-07-16T20:08:54Z,44.702,-110.018,21.9,0,20.7,0,99.1,62.4,36.9,55.9,0,45.1,0,90.9,22.9,68.1
2024-08-16T06:37:58Z,44.702,-110.018,13.7,0,35,0,85.4,46.5,38.5,34.4,0,32,0,82.5,33.3,49.3
2024-09-15T17:07:02Z,44.702,-110.018,8.9,0,8.2,0,44.6,33.6,10.5,47.1,0,49.7,1.6,37.8,10.8,26.9
2024-10-16T03:36:06Z,44.702,-110.018,19,0,14.6,0,14.8,7.2,7.6,85.6,28.2,29.6,0,7.5,0,7.5
2024-11-15T14:05:10Z,44.702,-110.018,38.9,0,8.7,68.5,0,0,0,89,7.8,7.8,108.5,0.6,0,0.6
2024-12-16T00:34:14Z,44.702,-110.018,41.3,0,0,158.6,0,0,0,89,0,0,160.7,0,0,0
2025-01-16T05:14:31Z,44.702,-110.018,41.3,0,0,206.6,0,0,0,89,0,0,240.7,0,0,0
