Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.443,1.117,5.939,2.835
bcc-csm1-1-m,3.589,-0.275,5.375,2.148
BNU-ESM,4.841,2.493,6.735,3.57
CanESM2,5.613,5.107,7.454,8.396
CCSM4,4.234,0.974,5.779,1.561
CNRM-CM5,3.845,2.284,5.262,4.705
CSIRO-Mk3-6-0,5.34,0.714,6.102,1.608
GFDL-ESM2M,2.182,2.08,3.943,0.506
GFDL-ESM2G,3.799,2.021,4.481,2.828
HadGEM2-CC365,4.954,2.854,7.223,1.268
HadGEM2-ES365,5.237,2.13,7.203,1.156
inmcm4,2.253,2.037,3.93,1.561
IPSL-CM5A-LR,4.636,-0.268,6.437,-0.46
IPSL-CM5A-MR,5.351,0.108,7.338,1.461
IPSL-CM5B-LR,3.732,1.153,5.214,1.097
MIROC5,5.888,4.014,7.084,5.458
MIROC-ESM,6.983,4.91,8.45,4.232
MIROC-ESM-CHEM,6.876,5.797,8.914,6.989
MRI-CGCM3,2.005,1.722,3.336,4.103
NorESM1-M,4.82,4.144,6.193,3.456
20CMIP5ModelMean,4.531,2.256,6.119,2.924
