date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.572,-110.506,111.4,0,0.7,117.4,0,0,0,167.4,0,0,131.4,0,0,0
2020-02-15T15:43:35Z,44.572,-110.506,112.8,0,1.2,220.4,0,0,0,167.4,0,0,173.1,0,0,0
2020-03-17T02:12:39Z,44.572,-110.506,119.2,0,3.6,238.7,0,0,0,167.4,10.5,10.5,220.8,0,0,0
2020-04-16T12:41:43Z,44.572,-110.506,164.4,211.9,11.6,0,8.8,0.1,8.8,167.3,282.7,53.8,2.6,3.9,0,3.9
2020-05-16T23:10:47Z,44.572,-110.506,164.4,52.9,96.5,0,49.3,0.7,48.5,166.4,103.1,109.6,1.6,20.1,0,20
2020-06-16T09:39:51Z,44.572,-110.506,142.9,1.6,23.3,0,80.1,9.1,70.9,163.1,39.2,103.2,0,66.8,0.7,66
2020-07-16T20:08:54Z,44.572,-110.506,122.3,0,66,0,81.6,9.6,71.9,154.3,29.7,65.2,0,74.2,4.5,69.9
2020-08-16T06:37:58Z,44.572,-110.506,96.6,0,27,0,79.4,23.8,55.3,124.6,0,43.5,0,68,11.7,55.6
2020-09-15T17:07:02Z,44.572,-110.506,87.4,0,30.5,0,41.7,12.7,29.1,120.7,0,27,0,38,7.5,30.6
2020-10-16T03:36:06Z,44.572,-110.506,93.6,0,34.3,0.2,13.6,5,8.7,144,0,22.9,18.5,8.1,1,7.2
2020-11-15T14:05:10Z,44.572,-110.506,128.8,0,2.3,56.6,1.6,0.3,1.3,165.1,17.2,23.8,54.1,0,0,0
2020-12-16T00:34:14Z,44.572,-110.506,133.4,0,0,157.5,0,0,0,167.4,0,0,104.9,0,0,0
2021-01-16T05:14:31Z,44.572,-110.506,133.4,0,0,248.8,0,0,0,167.4,0,0,140.2,0,0,0
2021-02-15T15:43:35Z,44.572,-110.506,133.4,0,0,253.5,0,0,0,167.4,0,0,177.9,0,0,0
2021-03-18T02:12:39Z,44.572,-110.506,148.7,133,3.4,105.2,0,0,0,167.4,44.8,10,186,0,0,0
2021-04-17T12:41:43Z,44.572,-110.506,165.9,173.1,49.8,0.6,19.1,0.2,18.9,167.4,244.8,48.2,6.4,1.1,0,1.1
2021-05-17T23:10:47Z,44.572,-110.506,158.8,59.3,83,0,34.2,1.5,32.6,165,22.2,30.1,0,31,0.5,30.5
2021-06-17T09:39:51Z,44.572,-110.506,157.1,18.2,43.2,0,63.4,3.9,59.5,154.5,22.6,65.9,0,76.4,5.6,70.5
2021-07-17T20:08:54Z,44.572,-110.506,152.3,19.4,87.5,0,78.1,5.4,73,125.5,0,63.7,0,85.8,12.5,72.9
2021-08-17T06:37:58Z,44.572,-110.506,126.6,0,90.7,0,82.8,10.5,72.3,114.9,0,43.2,0,74.6,14.8,59.6
2021-09-16T17:07:02Z,44.572,-110.506,131.1,0,23,0,50.9,8.2,42.7,96.6,0,39,0,47.8,13.1,34.3
2021-10-17T03:36:06Z,44.572,-110.506,157.7,20.3,69.8,19.3,15.3,1.6,13.5,125.1,0,19.3,0,7.3,1.4,5.7
2021-11-16T14:05:10Z,44.572,-110.506,167.4,27.8,14,95.5,0,0,0,146.1,0,12.3,61.6,0.5,0.1,0.4
2021-12-17T00:34:14Z,44.572,-110.506,167.4,0.5,0.5,186.4,0,0,0,149.7,0,0,116.7,0,0,0
2022-01-16T05:14:31Z,44.572,-110.506,167.4,0,0,256.7,0,0,0,149.7,0,0,138,0,0,0
2022-02-15T15:43:35Z,44.572,-110.506,167.4,0,0,303.9,0,0,0,149.7,0,0,218.7,0,0,0
2022-03-18T02:12:39Z,44.572,-110.506,167.4,160.1,30,201.2,0,0,0,163.4,63.1,22.4,218,0,0,0
2022-04-17T12:41:43Z,44.572,-110.506,167.2,302.1,75.4,0,5.6,0,5.5,167.4,193.5,57.3,131.2,0,0,0
2022-05-17T23:10:47Z,44.572,-110.506,158.6,0,36.7,0,57.3,1.9,55.6,167,197.6,77.5,5.4,22.6,0,22.6
2022-06-17T09:39:51Z,44.572,-110.506,141.1,0,38.4,0,76.8,9.4,67.2,151.1,15.3,28.9,0,65.7,6.2,59.6
2022-07-17T20:08:54Z,44.572,-110.506,98.7,0,17.6,0,95.2,33.2,61.8,106.8,0,32.2,0,85.9,21.1,64.7
2022-08-17T06:37:58Z,44.572,-110.506,69.9,0,78.8,0,82.1,31,50.8,77.1,0,11.6,0,79.3,36.1,42.9
2022-09-16T17:07:02Z,44.572,-110.506,99.1,0,16.7,0,41.8,11.3,29.8,66.4,0,25.8,0,40.3,17.1,23.1
2022-10-17T03:36:06Z,44.572,-110.506,96.1,0,13.5,0.2,22.2,7.1,15.1,115.4,0,42.3,15.3,1.6,0,1.6
2022-11-16T14:05:10Z,44.572,-110.506,98.6,0,1.6,31.1,1.5,0.5,1,162,20.3,18.1,88.5,0,0,0
2022-12-17T00:34:14Z,44.572,-110.506,99.3,0,0,115.2,0,0,0,167.4,0,0,143.4,0,0,0
2023-01-16T05:14:31Z,44.572,-110.506,99.3,0,0,165.1,0,0,0,167.4,0,0,179.9,0,0,0
2023-02-15T15:43:35Z,44.572,-110.506,103.1,0,3.9,230.5,0,0,0,167.4,0,0,245.2,0,0,0
2023-03-18T02:12:39Z,44.572,-110.506,152.6,36.7,18.6,214.1,0,0,0,167.4,130.3,6.6,163.9,0,0,0
2023-04-17T12:41:43Z,44.572,-110.506,167.4,307.2,48.3,0,5.8,0,5.8,167.1,197.8,27,0,8.4,0,8.4
2023-05-17T23:10:47Z,44.572,-110.506,159.6,34.6,47.3,0,47.8,2.2,45.4,166.9,80.2,79.9,0,22.2,0,22
2023-06-17T09:39:51Z,44.572,-110.506,152,20.1,73.6,0,70.7,5.8,65.1,153.4,0,39.6,0,69,3.9,65.5
2023-07-17T20:08:54Z,44.572,-110.506,112.8,0,49.6,0,95.6,19.7,76.1,148.9,0,67.5,0,81.8,5.2,76.2
2023-08-17T06:37:58Z,44.572,-110.506,103.3,0,78.3,0,80.4,20.7,59.6,127.3,0,50.7,0,70.1,10,59.9
