date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,44.572,-110.506,131.8,0,0,191.8,0,0,0
1980-02-15T15:43:35Z,44.572,-110.506,131.8,0,0,260.8,0,0,0
1980-03-17T02:12:39Z,44.572,-110.506,131.8,0,0,351.9,0,0,0
1980-04-16T12:41:43Z,44.572,-110.506,149.7,215.1,7.8,130.7,0,0,0
1980-05-16T23:10:47Z,44.572,-110.506,166.7,217.1,84.9,1.9,18.3,0.1,18.2
1980-06-16T09:39:51Z,44.572,-110.506,159.4,29.2,48.4,0,51.1,2.4,48.5
1980-07-16T20:08:54Z,44.572,-110.506,148.1,0,64.3,0,81.3,6.3,74.9
1980-08-16T06:37:58Z,44.572,-110.506,126.7,0,63.6,0.1,58.6,9.1,49.2
1980-09-15T17:07:02Z,44.572,-110.506,161,31.5,75.1,0,33.6,0.6,32.9
1980-10-16T03:36:06Z,44.572,-110.506,160.8,1.9,9.1,0,13.1,0.7,12.3
1980-11-15T14:05:10Z,44.572,-110.506,166.9,27,24.9,26.3,2.1,0,2
1980-12-16T00:34:14Z,44.572,-110.506,167.4,17.5,6.7,90,0,0,0
1981-01-16T05:14:31Z,44.572,-110.506,167.4,0,0,115.5,0,0,0
1981-02-15T15:43:35Z,44.572,-110.506,167.4,10,10,173.1,0,0,0
1981-03-18T02:12:39Z,44.572,-110.506,167.4,40.6,17.2,166,0,0,0
1981-04-17T12:41:43Z,44.572,-110.506,167.1,226,26.5,0,6,0,5.8
1981-05-17T23:10:47Z,44.572,-110.506,166.6,105,93.2,0,22.3,0,22.2
1981-06-17T09:39:51Z,44.572,-110.506,163.6,84.6,101.5,0,48.6,0.9,47.6
1981-07-17T20:08:54Z,44.572,-110.506,124.7,0,24.2,0,79.8,15.3,64.7
1981-08-17T06:37:58Z,44.572,-110.506,92.7,0,20.9,0,72.9,25.1,47.5
1981-09-16T17:07:02Z,44.572,-110.506,78.7,0,21,0,40.7,18.7,22
1981-10-17T03:36:06Z,44.572,-110.506,122,0,30.6,2,4.7,1.2,3.7
1981-11-16T14:05:10Z,44.572,-110.506,153.2,0,17.8,63.3,3.6,0.6,3.2
1981-12-17T00:34:14Z,44.572,-110.506,166.1,0,0.8,174.5,0,0,0
1982-01-16T05:14:31Z,44.572,-110.506,166.3,0,0,294,0,0,0
1982-02-15T15:43:35Z,44.572,-110.506,166.8,10.1,9.1,348.8,0,0,0
1982-03-18T02:12:39Z,44.572,-110.506,167.4,0,0,451.3,0,0,0
1982-04-17T12:41:43Z,44.572,-110.506,167.4,41.9,24.4,511.8,0,0,0
1982-05-17T23:10:47Z,44.572,-110.506,167.4,457,45,104.8,0,0,0
1982-06-17T09:39:51Z,44.572,-110.506,162.2,143.8,61.8,0,45.1,1.3,43.6
1982-07-17T20:08:54Z,44.572,-110.506,150.7,3.1,56.3,0,74.1,4.9,69.3
1982-08-17T06:37:58Z,44.572,-110.506,118.6,0,44,0,72.3,14.2,58.6
1982-09-16T17:07:02Z,44.572,-110.506,121.4,0,40.7,16.8,27.2,7.1,20
1982-10-17T03:36:06Z,44.572,-110.506,166.1,35.6,34.7,22.2,3.5,0,3.4
1982-11-16T14:05:10Z,44.572,-110.506,167.4,0,0,89.8,0,0,0
1982-12-17T00:34:14Z,44.572,-110.506,167.4,0,0,171.3,0,0,0
1983-01-16T05:14:31Z,44.572,-110.506,167.4,0,0,234.6,0,0,0
1983-02-15T15:43:35Z,44.572,-110.506,167.4,5.2,1,303.9,0,0,0
1983-03-18T02:12:39Z,44.572,-110.506,167.4,16.1,9.3,365.5,0,0,0
1983-04-17T12:41:43Z,44.572,-110.506,167.4,67.1,7.7,338.5,0,0,0
1983-05-17T23:10:47Z,44.572,-110.506,167,379.1,31.8,0,7.3,0,7.3
1983-06-17T09:39:51Z,44.572,-110.506,161.8,11.4,48.8,0,47.9,0.9,47
1983-07-17T20:08:54Z,44.572,-110.506,157.8,11.4,70.5,0,75.7,2.8,72.8
1983-08-17T06:37:58Z,44.572,-110.506,134.8,0,52.6,0,73.3,8.6,65
1983-09-16T17:07:02Z,44.572,-110.506,132,9.9,67.2,4,27.3,4.2,23.2
1983-10-17T03:36:06Z,44.572,-110.506,166.9,84.5,55,0,7.4,0,7.4
1983-11-16T14:05:10Z,44.572,-110.506,167.3,15.4,17.2,83.6,0,0,0
1983-12-17T00:34:14Z,44.572,-110.506,167.4,0,0,177.2,0,0,0
1984-01-16T05:14:31Z,44.572,-110.506,167.4,0,0,214.8,0,0,0
1984-02-15T15:43:35Z,44.572,-110.506,167.4,0,0,252.8,0,0,0
1984-03-17T02:12:39Z,44.572,-110.506,167.4,0,0,310,0,0,0
1984-04-16T12:41:43Z,44.572,-110.506,167.4,70.7,6.3,297,0,0,0
1984-05-16T23:10:47Z,44.572,-110.506,167,392.3,57.5,0,9.6,0.1,9.5
1984-06-16T09:39:51Z,44.572,-110.506,159.7,38.8,52.2,0,43.4,2.3,41.1
1984-07-16T20:08:54Z,44.572,-110.506,130.5,0,61.8,0,81.3,10.3,70.8
1984-08-16T06:37:58Z,44.572,-110.506,133.7,0,67.4,0,68.7,7,62
1984-09-15T17:07:02Z,44.572,-110.506,142.2,0,28.8,13.3,23.5,3.4,20.4
1984-10-16T03:36:06Z,44.572,-110.506,160.9,11,0.9,58.2,9.7,0,9.6
1984-11-15T14:05:10Z,44.572,-110.506,159.6,0,0,131.7,0,0,0
1984-12-16T00:34:14Z,44.572,-110.506,159.6,0,0,194.7,0,0,0
1985-01-16T05:14:31Z,44.572,-110.506,159.6,0,0,214.5,0,0,0
1985-02-15T15:43:35Z,44.572,-110.506,159.6,0,0,267.1,0,0,0
1985-03-18T02:12:39Z,44.572,-110.506,159.7,0,0.3,338.1,0,0,0
1985-04-17T12:41:43Z,44.572,-110.506,165.4,314.9,5.2,58.7,0,0,0
1985-05-17T23:10:47Z,44.572,-110.506,166.1,99.6,49.9,0.2,29.6,0.2,29.3
1985-06-17T09:39:51Z,44.572,-110.506,154,5.1,37.8,0,57.6,3.5,54.2
1985-07-17T20:08:54Z,44.572,-110.506,134.6,0,80.2,0,82.8,9.1,74.1
1985-08-17T06:37:58Z,44.572,-110.506,150.8,0,48.5,0,54.8,3.4,51.3
1985-09-16T17:07:02Z,44.572,-110.506,166.1,49.6,66.7,1.6,20.2,0,19.9
