date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,37.60452811,-110.0022454,50.2,10.6,5.7,0.5,5.2,0,5.1,42.4,2.8,26.4,0,9.9,1.3,8.4
2020-02-15T15:43:35Z,37.60452811,-110.0022454,41.2,0,0,0,23.3,5.1,17.6,46.2,0,1.3,0,7.2,0.3,6.8
2020-03-17T02:12:39Z,37.60452811,-110.0022454,39.3,0,47.4,0,55.8,9.2,46.5,32.7,0,0.9,0,40.5,15,25.4
2020-04-16T12:41:43Z,37.60452811,-110.0022454,23.1,0,16.9,0,74.6,37,37.5,17,0,12.7,0,64.4,40.1,23.8
2020-05-16T23:10:47Z,37.60452811,-110.0022454,5.2,0,3.7,0,100.3,87,13.2,4.5,0,3.8,0,101,88.3,12.4
2020-06-16T09:39:51Z,37.60452811,-110.0022454,0.6,0,0.4,0,127.7,125.6,1.6,0.5,0,13.9,0,135.8,120.2,15.3
2020-07-16T20:08:54Z,37.60452811,-110.0022454,2.3,0,35.3,0,146.4,113,33.4,0,0,0.9,0,152.1,151,0.9
2020-08-16T06:37:58Z,37.60452811,-110.0022454,3,0,30,0,127.9,99.4,28.8,0,0,16.6,0,125.4,108.7,16.6
2020-09-15T17:07:02Z,37.60452811,-110.0022454,28.1,37.3,132.9,0,83.9,34.2,49.8,0,0,4.3,0,91.1,86.8,4.3
2020-10-16T03:36:06Z,37.60452811,-110.0022454,31.3,0,11.6,0,56.1,16.7,40,0,0,1,0,53.8,52.7,1
2020-11-15T14:05:10Z,37.60452811,-110.0022454,29.8,0,21.6,1.1,20.7,6.3,14.3,4,0,9,0,21.9,18.8,3.4
2020-12-16T00:34:14Z,37.60452811,-110.0022454,33.2,0,6.7,0,7.8,1.9,6.1,6.4,0,2,6.8,6.1,5.4,0.7
2021-01-16T05:14:31Z,37.60452811,-110.0022454,29.8,0,0.8,0,18,7.5,10.9,13.6,0,0.3,0,7.7,5.1,2.9
2021-02-15T15:43:35Z,37.60452811,-110.0022454,36.1,0,26.3,0,22.8,4.4,18.6,18.5,0,4.3,0,12.4,7.7,4.8
2021-03-18T02:12:39Z,37.60452811,-110.0022454,26.4,0,17.8,0,47.3,19.4,28.2,12.9,0,5,0,37,24.7,12.6
2021-04-17T12:41:43Z,37.60452811,-110.0022454,15.5,0,12.7,0,67.2,40.2,26.7,9.4,0,10.2,0,56.2,41.3,14.6
2021-05-17T23:10:47Z,37.60452811,-110.0022454,6.9,0,8.7,0,113.3,94.5,18,6.2,0,28.8,0,102.7,73.6,29.2
2021-06-17T09:39:51Z,37.60452811,-110.0022454,0.6,0,1.9,0,136.2,132.6,3.1,2.1,0,1.1,0,129.2,122.8,6.6
2021-07-17T20:08:54Z,37.60452811,-110.0022454,0,0,15.9,0,155.6,139.4,16,2.2,0,31.2,0,146.3,117,29.1
2021-08-17T06:37:58Z,37.60452811,-110.0022454,7,0,62.2,0,131,86.6,44.4,0.8,0,19.6,0,129.2,107.8,21.6
2021-09-16T17:07:02Z,37.60452811,-110.0022454,37.4,77.4,145.2,0,78.4,15.4,62.5,12.3,0,65.4,0,85.7,42.8,43.2
2021-10-17T03:36:06Z,37.60452811,-110.0022454,41.7,6.9,65.7,0,49,7.6,42,13.5,0,5.9,0,51.3,33.2,18.1
2021-11-16T14:05:10Z,37.60452811,-110.0022454,47.8,3.4,24.9,0.8,15.5,1.2,14.2,29.2,0,30.4,0,17.1,5.9,11.3
2021-12-17T00:34:14Z,37.60452811,-110.0022454,49.8,40.9,32.7,4.8,5.8,0,5.8,46.5,12.8,15.7,0,3.9,0.7,3.2
2022-01-16T05:14:31Z,37.60452811,-110.0022454,50.7,6.4,3.2,35.2,0,0,0,50.1,10,2,34.6,0.4,0,0.4
2022-02-15T15:43:35Z,37.60452811,-110.0022454,49.2,39.5,6.6,0.5,8.6,0.3,8.3,49.7,39.1,8.1,0.2,6.1,0.2,5.7
2022-03-18T02:12:39Z,37.60452811,-110.0022454,40.9,12.2,17.3,0,36,8.6,27.7,41.3,0.8,14.8,0,36.1,6.2,30.1
2022-04-17T12:41:43Z,37.60452811,-110.0022454,21.1,0,12.6,0,74.1,43.7,30.4,22.4,0,5.7,0,60.8,31.9,28.7
