date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,37.60452811,-110.0022454,50,79.8,51,0.2,0.4,0,0.4
1980-02-15T15:43:35Z,37.60452811,-110.0022454,49.5,58.6,56.5,0,10.7,0.3,10.1
1980-03-17T02:12:39Z,37.60452811,-110.0022454,47.9,17.3,23,3.3,14.7,0.8,13.9
1980-04-16T12:41:43Z,37.60452811,-110.0022454,34.6,7.7,16.7,0,59.8,16.3,43.5
1980-05-16T23:10:47Z,37.60452811,-110.0022454,18.8,0,31.1,0,87.5,43.9,43.4
1980-06-16T09:39:51Z,37.60452811,-110.0022454,3.8,0,0,0,130.7,121.1,9.6
1980-07-16T20:08:54Z,37.60452811,-110.0022454,0.2,0,6.8,0,148.7,140.9,7.2
1980-08-16T06:37:58Z,37.60452811,-110.0022454,1.9,0,18.2,0,122.9,110.6,12.4
1980-09-15T17:07:02Z,37.60452811,-110.0022454,11.4,0,28,0,86.9,61.2,25.6
1980-10-16T03:36:06Z,37.60452811,-110.0022454,12.1,0,26.3,0,45.1,27.8,17.3
1980-11-15T14:05:10Z,37.60452811,-110.0022454,15,0,4.2,0,21.2,14.3,6.8
1980-12-16T00:34:14Z,37.60452811,-110.0022454,22.2,0,6.3,0,15.2,7.6,7.6
1981-01-16T05:14:31Z,37.60452811,-110.0022454,18.3,0,7.3,1.5,13.1,8.4,4.7
1981-02-15T15:43:35Z,37.60452811,-110.0022454,25.6,0,6.5,0.2,15.9,7.2,8.8
1981-03-18T02:12:39Z,37.60452811,-110.0022454,44.8,13.8,41.2,0,18.6,1.2,17.2
1981-04-17T12:41:43Z,37.60452811,-110.0022454,32.9,0,20.2,0,72.8,23.2,49.6
1981-05-17T23:10:47Z,37.60452811,-110.0022454,12.8,0,36.3,0,92.3,52.2,40.2
1981-06-17T09:39:51Z,37.60452811,-110.0022454,6.8,0,22.4,0,135.1,100.5,34.4
1981-07-17T20:08:54Z,37.60452811,-110.0022454,2.5,0,35.9,0,144.8,108.7,36.1
1981-08-17T06:37:58Z,37.60452811,-110.0022454,3.1,0,46.1,0,123.2,82.1,41.1
1981-09-16T17:07:02Z,37.60452811,-110.0022454,19.3,0,46.1,0,84.4,43.5,40.9
1981-10-17T03:36:06Z,37.60452811,-110.0022454,43.2,8.6,71.9,0,42.2,3.4,38.5
1981-11-16T14:05:10Z,37.60452811,-110.0022454,28.8,0,8.7,6.4,22.6,9,13.8
1981-12-17T00:34:14Z,37.60452811,-110.0022454,34,0,3,0.7,8.2,2.2,6
1982-01-16T05:14:31Z,37.60452811,-110.0022454,44.3,3.6,5.7,0,3.3,0,3.1
1982-02-15T15:43:35Z,37.60452811,-110.0022454,48.7,15.6,2.2,0,11.2,0.6,10.7
1982-03-18T02:12:39Z,37.60452811,-110.0022454,45.7,9.1,36.7,0,24.6,1.6,23
1982-04-17T12:41:43Z,37.60452811,-110.0022454,34,0,2.9,0,55.7,19.5,36.3
1982-05-17T23:10:47Z,37.60452811,-110.0022454,10.9,0,13.3,0,93,66.5,26.8
1982-06-17T09:39:51Z,37.60452811,-110.0022454,1.7,0,3,0,121.9,114.7,7.3
1982-07-17T20:08:54Z,37.60452811,-110.0022454,0.2,0,25.2,0,139.4,114.2,24.7
1982-08-17T06:37:58Z,37.60452811,-110.0022454,10.5,0,81.3,0,123.4,64.9,58.5
1982-09-16T17:07:02Z,37.60452811,-110.0022454,22.7,0,46.2,0,83.3,38.7,44.8
1982-10-17T03:36:06Z,37.60452811,-110.0022454,19.4,0,20.3,0.3,36.4,21.1,15.3
1982-11-16T14:05:10Z,37.60452811,-110.0022454,43.1,8.7,30.7,4.2,10.6,2,8.3
1982-12-17T00:34:14Z,37.60452811,-110.0022454,50.4,14,5.4,10.2,3.6,0,3.5
1983-01-16T05:14:31Z,37.60452811,-110.0022454,49.7,20.2,6,10.1,3.7,0,3.7
1983-02-15T15:43:35Z,37.60452811,-110.0022454,49.9,32.8,21.3,1.3,7.4,0.2,7.3
1983-03-18T02:12:39Z,37.60452811,-110.0022454,48.4,61.1,59,0,17.6,0.8,16.4
1983-04-17T12:41:43Z,37.60452811,-110.0022454,43.1,14.9,11.7,0,35.5,6.1,29.5
1983-05-17T23:10:47Z,37.60452811,-110.0022454,18.6,0,21.4,0,88.3,46.4,42.1
1983-06-17T09:39:51Z,37.60452811,-110.0022454,8.5,0,32.5,0,113.6,81.7,31.8
1983-07-17T20:08:54Z,37.60452811,-110.0022454,8.4,0,51.6,0,134.2,83.7,50.4
1983-08-17T06:37:58Z,37.60452811,-110.0022454,6.1,0,32.2,0,123.5,81.1,42.4
1983-09-16T17:07:02Z,37.60452811,-110.0022454,3.4,0,40.9,0,85.7,64.5,21
1983-10-17T03:36:06Z,37.60452811,-110.0022454,23.6,0,18,0,46,21.4,24.5
1983-11-16T14:05:10Z,37.60452811,-110.0022454,28.5,0,23.9,29.5,13.7,7.5,6.3
1983-12-17T00:34:14Z,37.60452811,-110.0022454,48.5,51.7,15.1,4.9,0.3,0,0.3
1984-01-16T05:14:31Z,37.60452811,-110.0022454,49.4,9.1,0,0,3.5,0,3.5
1984-02-15T15:43:35Z,37.60452811,-110.0022454,46.8,1,0.2,0,6.8,0.1,6.3
1984-03-17T02:12:39Z,37.60452811,-110.0022454,44.1,0,15.6,0,24.4,2.5,21.5
1984-04-16T12:41:43Z,37.60452811,-110.0022454,39.7,1.8,22.1,0,45.2,9.1,35.9
1984-05-16T23:10:47Z,37.60452811,-110.0022454,15.4,0,1.6,0,108.3,76.5,31.9
1984-06-16T09:39:51Z,37.60452811,-110.0022454,9,0,30.6,0,118.6,86.6,31.8
1984-07-16T20:08:54Z,37.60452811,-110.0022454,1.1,0,28.2,0,140.8,112.2,28.2
1984-08-16T06:37:58Z,37.60452811,-110.0022454,4.2,0,43.2,0,120.9,79.7,41.7
1984-09-15T17:07:02Z,37.60452811,-110.0022454,3.2,0,16.5,0,84.4,66.5,17.8
1984-10-16T03:36:06Z,37.60452811,-110.0022454,32,0,53.8,0,32.4,8.6,23.7
1984-11-15T14:05:10Z,37.60452811,-110.0022454,31.8,0,2.5,13.9,17,5.5,11.6
1984-12-16T00:34:14Z,37.60452811,-110.0022454,47,42.6,30.5,0,1.7,0.1,1.6
1985-01-16T05:14:31Z,37.60452811,-110.0022454,50.2,19.5,4.7,8.5,2.2,0,2.2
1985-02-15T15:43:35Z,37.60452811,-110.0022454,48.4,13.7,0.8,0,9.6,0.7,8.6
1985-03-18T02:12:39Z,37.60452811,-110.0022454,46.6,14.1,35.1,12.1,22.1,0.8,21.1
1985-04-17T12:41:43Z,37.60452811,-110.0022454,38.8,10.8,38,0,64.7,12.5,52.1
1985-05-17T23:10:47Z,37.60452811,-110.0022454,18.5,0,14,0,95.7,51.7,44.2
1985-06-17T09:39:51Z,37.60452811,-110.0022454,2.8,0,3.3,0,131.7,121.6,10.7
1985-07-17T20:08:54Z,37.60452811,-110.0022454,4.6,0,45.3,0,145.2,107.3,37.1
1985-08-17T06:37:58Z,37.60452811,-110.0022454,2.8,0,0.9,0,127,118.6,8.6
1985-09-16T17:07:02Z,37.60452811,-110.0022454,29.7,5.7,96,0,69,19.8,49.1
1985-10-17T03:36:06Z,37.60452811,-110.0022454,41.1,22.6,49.8,0,45.3,7.6,37.7
1985-11-16T14:05:10Z,37.60452811,-110.0022454,35.8,13.7,30.3,5,10.3,3.8,6.5
1985-12-17T00:34:14Z,37.60452811,-110.0022454,49,5.9,2.5,0.2,6.4,0,6.2
1986-01-16T05:14:31Z,37.60452811,-110.0022454,43.3,0,0.5,0,14.7,2.2,12.8
1986-02-15T15:43:35Z,37.60452811,-110.0022454,41.5,5,7.6,0,16.1,2.4,13.7
1986-03-18T02:12:39Z,37.60452811,-110.0022454,39.7,1.3,21,0,38.6,7.2,31.3
1986-04-17T12:41:43Z,37.60452811,-110.0022454,34,0,28.6,0,57.3,16.7,40.7
1986-05-17T23:10:47Z,37.60452811,-110.0022454,12.4,0,13,0,91.9,62.1,29.7
1986-06-17T09:39:51Z,37.60452811,-110.0022454,1.8,0,10.8,0,128.5,113.3,15.3
1986-07-17T20:08:54Z,37.60452811,-110.0022454,2.4,0,35.6,0,134.7,101.7,32.3
1986-08-17T06:37:58Z,37.60452811,-110.0022454,7.4,0,65.2,0,126.1,85.8,40.4
1986-09-16T17:07:02Z,37.60452811,-110.0022454,28.9,8.5,74.7,0,72.4,26.8,45.7
1986-10-17T03:36:06Z,37.60452811,-110.0022454,42.3,3.9,33.9,0,40.4,5.7,34.7
1986-11-16T14:05:10Z,37.60452811,-110.0022454,47.7,16.5,30.1,0,16.8,0.5,15.9
1986-12-17T00:34:14Z,37.60452811,-110.0022454,47.7,6.8,8.5,0,7.9,0.2,7.6
1987-01-16T05:14:31Z,37.60452811,-110.0022454,45.7,12.8,2.5,5.7,2.4,0.1,2.3
1987-02-15T15:43:35Z,37.60452811,-110.0022454,49.6,11.9,7.8,14.5,8.5,0,8.5
1987-03-18T02:12:39Z,37.60452811,-110.0022454,48.9,27.3,18.8,0,18,0.6,17.5
1987-04-17T12:41:43Z,37.60452811,-110.0022454,33.9,2.1,14.9,0,68.3,24.7,43.7
1987-05-17T23:10:47Z,37.60452811,-110.0022454,8.6,0,23,0,95.1,60.8,34
1987-06-17T09:39:51Z,37.60452811,-110.0022454,1.6,0,5,0,131.4,122.5,9.4
1987-07-17T20:08:54Z,37.60452811,-110.0022454,4.1,0,42.4,0,134.8,101.3,33.3
1987-08-17T06:37:58Z,37.60452811,-110.0022454,18.5,0,77.2,0,117.6,59.4,58.2
1987-09-16T17:07:02Z,37.60452811,-110.0022454,13.9,0,11.4,0,83.1,50.3,32.7
1987-10-17T03:36:06Z,37.60452811,-110.0022454,13.3,0,46.5,0,52.4,32.7,19.8
1987-11-16T14:05:10Z,37.60452811,-110.0022454,49,25,51.3,5.2,13.5,0,13.3
1987-12-17T00:34:14Z,37.60452811,-110.0022454,49.4,2.1,0.7,19.7,3.1,0,3.1
1988-01-16T05:14:31Z,37.60452811,-110.0022454,49.4,15.2,0.3,30.9,0,0,0
1988-02-15T15:43:35Z,37.60452811,-110.0022454,48.6,37.5,6.8,0,12.3,1,11.4
1988-03-17T02:12:39Z,37.60452811,-110.0022454,39.3,0,5.3,2.6,22.3,5.1,16.9
1988-04-16T12:41:43Z,37.60452811,-110.0022454,31.7,0,35.1,0,57.7,18.7,39.5
1988-05-16T23:10:47Z,37.60452811,-110.0022454,16.4,0,16.4,0,94.5,55,39.6
1988-06-16T09:39:51Z,37.60452811,-110.0022454,3.3,0,31.5,0,132.1,97.7,34.6
1988-07-16T20:08:54Z,37.60452811,-110.0022454,1.3,0,13.9,0,145.8,128.2,17.6
1988-08-16T06:37:58Z,37.60452811,-110.0022454,2.1,0,51.1,0,121.9,82.2,39.4
1988-09-15T17:07:02Z,37.60452811,-110.0022454,16.8,0,34.5,0,77.6,45.7,31.9
1988-10-16T03:36:06Z,37.60452811,-110.0022454,8.6,0,6.8,0,56,42,14.4
1988-11-15T14:05:10Z,37.60452811,-110.0022454,10.9,0,11.2,1.7,15.1,10.3,4.9
1988-12-16T00:34:14Z,37.60452811,-110.0022454,14.6,0,0.1,16.6,6.2,3.9,2
1989-01-16T05:14:31Z,37.60452811,-110.0022454,18.1,0,2.4,36.1,0,0,0
1989-02-15T15:43:35Z,37.60452811,-110.0022454,42.5,20.2,7.4,0,8.9,0.5,8.1
1989-03-18T02:12:39Z,37.60452811,-110.0022454,37.3,0,13.6,0,43.1,10.9,31.9
1989-04-17T12:41:43Z,37.60452811,-110.0022454,15.2,0,0,0,73.6,51.8,22
1989-05-17T23:10:47Z,37.60452811,-110.0022454,3.4,0,8.7,0,101.3,87.6,13.7
1989-06-17T09:39:51Z,37.60452811,-110.0022454,0.5,0,1,0,126.2,124.1,2.1
1989-07-17T20:08:54Z,37.60452811,-110.0022454,3.2,0,49.9,0,147.1,112.4,34.6
1989-08-17T06:37:58Z,37.60452811,-110.0022454,8,0,23.1,0,118.3,84.5,34
1989-09-16T17:07:02Z,37.60452811,-110.0022454,2.5,0,7.2,0,85.4,75,10.1
1989-10-17T03:36:06Z,37.60452811,-110.0022454,2.5,0,13.1,0,46.1,35.6,9.6
1989-11-16T14:05:10Z,37.60452811,-110.0022454,3.5,0,0,0,21.4,20.1,1.5
1989-12-17T00:34:14Z,37.60452811,-110.0022454,2.6,0,0,0,9.1,8.7,0
1990-01-16T05:14:31Z,37.60452811,-110.0022454,8.5,0,3.8,12.5,2,1.2,0.8
1990-02-15T15:43:35Z,37.60452811,-110.0022454,26.5,0,1.8,0,10.6,2.8,7.6
1990-03-18T02:12:39Z,37.60452811,-110.0022454,30.3,0,7.7,0,34.6,12.4,22.1
1990-04-17T12:41:43Z,37.60452811,-110.0022454,16.5,0,28.8,2.1,64.2,33.7,30.2
1990-05-17T23:10:47Z,37.60452811,-110.0022454,14.8,0,9.8,0,94.8,65.2,29.3
1990-06-17T09:39:51Z,37.60452811,-110.0022454,1.8,0,3.7,0,137,128.6,8.6
1990-07-17T20:08:54Z,37.60452811,-110.0022454,3,0,28.4,0,142,114.4,27.5
1990-08-17T06:37:58Z,37.60452811,-110.0022454,0.6,0,25.2,0,122.7,101.3,21.4
1990-09-16T17:07:02Z,37.60452811,-110.0022454,12.1,0,61.3,0,87,46.3,40.6
1990-10-17T03:36:06Z,37.60452811,-110.0022454,34,0,40.8,0,45.7,12,33.9
1990-11-16T14:05:10Z,37.60452811,-110.0022454,34.9,0,7.7,9.2,12.6,3.6,9.1
1990-12-17T00:34:14Z,37.60452811,-110.0022454,44.1,0,1.7,19,0.4,0,0.4
1991-01-16T05:14:31Z,37.60452811,-110.0022454,47.2,0,0,45.3,0,0,0
1991-02-15T15:43:35Z,37.60452811,-110.0022454,46,41.3,4.8,2.8,14.6,1.6,12.9
