date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,36.86282664,-112.7398567,36.9,0,16.9,0,14.7,6.3,8.3,34,0,28.9,0,15.6,7.4,7.8
2020-02-15T15:43:35Z,36.86282664,-112.7398567,29,0,1.5,0,32.6,19.7,12.9,40.5,0,7.3,0,14.9,6.4,8.7
2020-03-17T02:12:39Z,36.86282664,-112.7398567,37.9,0,48.3,0,59.5,22,37.9,31.5,0,0.4,0,52.5,31.1,21.4
2020-04-16T12:41:43Z,36.86282664,-112.7398567,21.8,0,4.7,0,84,58,26.3,21.7,0,19.7,0,77.7,51.5,26.6
2020-05-16T23:10:47Z,36.86282664,-112.7398567,6.7,0,1.6,0,110.7,99.5,10.9,8.6,0,5.3,0,106.5,90,16.4
2020-06-16T09:39:51Z,36.86282664,-112.7398567,1.3,0,1.2,0,140.2,135.9,3.9,19.1,0,82.6,0,143.7,95.4,48.2
2020-07-16T20:08:54Z,36.86282664,-112.7398567,5.2,0,32.1,0,154.1,125.6,28.4,15.8,0,3.5,0,160.2,123.3,36.9
2020-08-16T06:37:58Z,36.86282664,-112.7398567,5.4,0,34.6,0,139.8,106,33.7,2.7,0,25.8,0,135.1,107.8,27.4
2020-09-15T17:07:02Z,36.86282664,-112.7398567,17.4,0,58.6,0,93.5,65,28.3,1.6,0,3.8,0,98.8,93.2,5.9
2020-10-16T03:36:06Z,36.86282664,-112.7398567,23.5,0,5.8,0,67.3,42.2,25,0.5,0,0,0,61.3,61.1,0
2020-11-15T14:05:10Z,36.86282664,-112.7398567,25.2,0,21.7,0,29.9,15.1,14.6,1.5,0,4.8,0,29.2,25.9,2.7
2020-12-16T00:34:14Z,36.86282664,-112.7398567,30,0,14.6,0,18.5,9.3,9.5,3.7,0,4.1,0,11.9,10.7,0.8
2021-01-16T05:14:31Z,36.86282664,-112.7398567,25.4,0,1.4,0,24.8,15.3,8.6,8.4,0,2.9,0,19.4,17.2,2.9
2021-02-15T15:43:35Z,36.86282664,-112.7398567,50.4,0,60.3,0,25.7,5.5,20,14.7,0,7.7,0,22.7,17.4,5
2021-03-18T02:12:39Z,36.86282664,-112.7398567,48.3,0,6.8,0,48.4,16.3,31.6,10.5,0,3.2,0,46.6,38.7,8.1
2021-04-17T12:41:43Z,36.86282664,-112.7398567,28.6,0,15.5,0,65,35.9,29.3,6.6,0,3.4,0,69.5,61.6,8.4
2021-05-17T23:10:47Z,36.86282664,-112.7398567,13.2,0,3,0,124.7,102.4,22,2.8,0,18.2,0,117.2,97.7,19.8
2021-06-17T09:39:51Z,36.86282664,-112.7398567,2.2,0,0.7,0,145.6,140.6,5.4,1.1,0,0,0,138.3,136.3,1.9
2021-07-17T20:08:54Z,36.86282664,-112.7398567,0.3,0,23.4,0,165.2,141.1,23.6,5.9,0,55.6,0,153.6,104.5,48.7
2021-08-17T06:37:58Z,36.86282664,-112.7398567,4,0,47.2,0,141.6,104.3,37.6,3.9,0,27.4,0,137.6,106.1,31.8
2021-09-16T17:07:02Z,36.86282664,-112.7398567,19.9,0,37,0,90.3,55.9,34.4,13.5,0,64.3,0,96.5,46.4,50
2021-10-17T03:36:06Z,36.86282664,-112.7398567,16.1,0,23.8,0,59.8,39.3,20.7,11.4,0,4.5,0,58.2,45.6,12.7
2021-11-16T14:05:10Z,36.86282664,-112.7398567,31.5,0,30.3,0,25.6,11.7,14.2,22,0,24.5,0,24.7,14.9,9.9
2021-12-17T00:34:14Z,36.86282664,-112.7398567,50.7,1.4,58.1,0,17.4,4.4,13,40.3,0,22.6,0,12.1,5.2,6.3
2022-01-16T05:14:31Z,36.86282664,-112.7398567,77.1,32.2,26.6,0,7,0,7,55.3,18.2,32.8,0,7,1.8,5.2
2022-02-15T15:43:35Z,36.86282664,-112.7398567,71.9,1.5,7.8,0,24.7,1.8,22.5,69.4,0,14,1.1,21.8,1.5,20.1
2022-03-18T02:12:39Z,36.86282664,-112.7398567,59.5,0,19.3,0,50.8,12.1,39,66.4,0.6,13.2,0,39.1,6.1,32.6
2022-04-17T12:41:43Z,36.86282664,-112.7398567,27.6,0,1.7,0,81.3,52.6,28.6,34.9,0,0.7,0,72,40.1,32.2
2022-05-17T23:10:47Z,36.86282664,-112.7398567,8.1,0,2.5,0,117,102.6,13.8,12.7,0,7.3,0,105.8,83.7,22.1
2022-06-17T09:39:51Z,36.86282664,-112.7398567,1.6,0,2.3,0,137.6,132.5,5.4,2.9,0,0,0,135.9,130.8,5
2022-07-17T20:08:54Z,36.86282664,-112.7398567,0.7,0,39.4,0,164,129.1,34.7,0.4,0,6,0,162,155.5,7
2022-08-17T06:37:58Z,36.86282664,-112.7398567,9,0,48.3,0,143.7,102.5,41.4,4.6,0,65.5,0,135,85.1,50
