date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,36.86282664,-112.7398567,57.2,33.1,87.7,0,11.6,2.6,9.1
1980-02-15T15:43:35Z,36.86282664,-112.7398567,74.6,68.6,83.2,0,26.3,0.8,25.2
1980-03-17T02:12:39Z,36.86282664,-112.7398567,74,30.9,62.4,0,30.6,1.4,29.1
1980-04-16T12:41:43Z,36.86282664,-112.7398567,51.3,0,9.6,0,73.1,22.9,50
1980-05-16T23:10:47Z,36.86282664,-112.7398567,24,0,21,0,95.7,58.1,38
1980-06-16T09:39:51Z,36.86282664,-112.7398567,7.6,0,5,0,130.7,113.4,17.2
1980-07-16T20:08:54Z,36.86282664,-112.7398567,3.9,0,22.9,0,150.6,126.9,23.6
1980-08-16T06:37:58Z,36.86282664,-112.7398567,4.4,0,32.8,0,129.2,103.8,25.5
1980-09-15T17:07:02Z,36.86282664,-112.7398567,9,0,17.7,0,92.4,70.7,21.7
1980-10-16T03:36:06Z,36.86282664,-112.7398567,13.3,0,28.4,0,54.6,39,15.5
1980-11-15T14:05:10Z,36.86282664,-112.7398567,16.1,0,3,0,27.9,19.7,7.7
1980-12-16T00:34:14Z,36.86282664,-112.7398567,18.4,0,7.6,0,21.1,14.2,6.9
1981-01-16T05:14:31Z,36.86282664,-112.7398567,15.2,0,5.5,2.7,18.7,14.9,4
1981-02-15T15:43:35Z,36.86282664,-112.7398567,23.8,0,13.3,0,26,15.3,10.6
1981-03-18T02:12:39Z,36.86282664,-112.7398567,46.6,0,54.1,0,41.7,9.8,32.2
1981-04-17T12:41:43Z,36.86282664,-112.7398567,36.3,0,15.4,0,83.2,42.7,40.7
1981-05-17T23:10:47Z,36.86282664,-112.7398567,18.1,0,38.9,0,104.5,60.3,44.1
1981-06-17T09:39:51Z,36.86282664,-112.7398567,8.3,0,6.1,0,143.9,122.4,21
1981-07-17T20:08:54Z,36.86282664,-112.7398567,3.3,0,31.6,0,154.8,122.7,32.3
1981-08-17T06:37:58Z,36.86282664,-112.7398567,17.1,0,57.4,0,133.1,86.3,46.6
1981-09-16T17:07:02Z,36.86282664,-112.7398567,9.7,0,18.3,0,93.2,69.6,22.8
1981-10-17T03:36:06Z,36.86282664,-112.7398567,31.7,0,49.5,0,50.2,21.5,28.8
1981-11-16T14:05:10Z,36.86282664,-112.7398567,27.7,0,17.3,0,29.5,17.3,12
1981-12-17T00:34:14Z,36.86282664,-112.7398567,39.1,0,2.2,0,18.7,8.5,9.8
1982-01-16T05:14:31Z,36.86282664,-112.7398567,50.8,0,12.4,0,7.6,1.9,6
1982-02-15T15:43:35Z,36.86282664,-112.7398567,69.5,7.7,14,0,20.1,2.1,18.2
1982-03-18T02:12:39Z,36.86282664,-112.7398567,57.7,0,26.8,0,39.1,6.1,32.7
1982-04-17T12:41:43Z,36.86282664,-112.7398567,40.5,0,6.5,0,67.1,30.7,36.6
1982-05-17T23:10:47Z,36.86282664,-112.7398567,17.4,0,13.9,0,102.5,71.7,30.7
1982-06-17T09:39:51Z,36.86282664,-112.7398567,4.3,0,1.9,0,126.2,117.7,8.7
1982-07-17T20:08:54Z,36.86282664,-112.7398567,0.8,0,19.5,0,145.3,126,19
1982-08-17T06:37:58Z,36.86282664,-112.7398567,15,0,72.1,0,128.5,69.1,59
1982-09-16T17:07:02Z,36.86282664,-112.7398567,10.9,0,27.9,0,88.8,57.7,30.9
1982-10-17T03:36:06Z,36.86282664,-112.7398567,9.4,0,12.4,0,47.9,37.6,10.4
1982-11-16T14:05:10Z,36.86282664,-112.7398567,32.7,0,49.2,3.9,18.1,9.6,8.4
1982-12-17T00:34:14Z,36.86282664,-112.7398567,65.2,0,15,3.5,7.6,1.1,6.5
1983-01-16T05:14:31Z,36.86282664,-112.7398567,73.8,18.2,24.4,0,10.9,0.6,9.9
1983-02-15T15:43:35Z,36.86282664,-112.7398567,73.1,7.8,25.4,0,22.6,1.3,21.6
1983-03-18T02:12:39Z,36.86282664,-112.7398567,75.6,49.7,71.7,0,34.4,1,33.4
1983-04-17T12:41:43Z,36.86282664,-112.7398567,56.1,0,22,0,53.4,11.3,41.9
1983-05-17T23:10:47Z,36.86282664,-112.7398567,30.7,0,2.9,0,98.7,61.1,37.6
1983-06-17T09:39:51Z,36.86282664,-112.7398567,7,0,0,0,128,116.6,11.8
1983-07-17T20:08:54Z,36.86282664,-112.7398567,1.5,0,34.1,0,147.2,115.4,32.2
1983-08-17T06:37:58Z,36.86282664,-112.7398567,7.7,0,44.1,0,130.2,90.5,39.8
1983-09-16T17:07:02Z,36.86282664,-112.7398567,9.3,0,39.6,0,95.2,72.7,22.5
1983-10-17T03:36:06Z,36.86282664,-112.7398567,22.9,0,11.8,0,56.5,34.6,21.7
1983-11-16T14:05:10Z,36.86282664,-112.7398567,24.2,0,24.7,0,19.6,12.5,7.4
1983-12-17T00:34:14Z,36.86282664,-112.7398567,46.2,0,19.7,0,14.9,5,10.1
