Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.452,1.932,5.969,3.364
bcc-csm1-1-m,3.597,-1.165,5.34,1.935
BNU-ESM,4.817,3.11,6.742,4.583
CanESM2,5.777,5.623,7.541,8.767
CCSM4,4.293,1.726,5.8,2.972
CNRM-CM5,3.892,3.443,5.303,6.641
CSIRO-Mk3-6-0,5.369,0.388,6.136,1.026
GFDL-ESM2M,2.135,1.124,3.957,0.022
GFDL-ESM2G,3.76,1.714,4.356,1.925
HadGEM2-CC365,4.977,2.886,7.374,1.399
HadGEM2-ES365,5.405,2.355,7.34,1.494
inmcm4,2.119,0.638,3.722,1.483
IPSL-CM5A-LR,4.577,-0.38,6.338,0.583
IPSL-CM5A-MR,5.404,0.512,7.426,2.033
IPSL-CM5B-LR,3.708,2.115,5.149,2.928
MIROC5,5.927,5.04,7.027,6.656
MIROC-ESM,6.838,5.795,8.291,4.895
MIROC-ESM-CHEM,6.643,6.672,8.668,8.216
MRI-CGCM3,1.994,3.045,3.227,5.348
NorESM1-M,4.967,5.124,6.258,4.415
20CMIP5ModelMean,4.532,2.585,6.098,3.534
