date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,45.444013,-111.106537,141.5,0,0,213.9,0,0,0,189.3,29.3,2.6,64.2,0,0,0
2020-02-15T15:43:35Z,45.444013,-111.106537,151.3,0,12.4,319.3,0,0,0,189.3,19.6,5.8,96.2,0,0,0
2020-03-17T02:12:39Z,45.444013,-111.106537,170.4,82.6,19.5,259.1,0,0,0,189.3,24.9,7.1,161,0,0,0
2020-04-16T12:41:43Z,45.444013,-111.106537,189.3,48.4,24,400.6,0,0,0,188.7,231.7,78.1,0,19.2,0,19
2020-05-16T23:10:47Z,45.444013,-111.106537,188.3,477.9,82.4,0,19.8,0.3,19.4,187.8,123.4,135.9,0.3,28.1,0.2,27.9
2020-06-16T09:39:51Z,45.444013,-111.106537,180,114,140.1,0,69.6,4.1,65.4,184.7,78.3,151.3,0,74.2,0.9,73.5
2020-07-16T20:08:54Z,45.444013,-111.106537,140.9,0,68,0,105.1,20.2,85.1,169.5,32.7,62.8,0,86.1,6.4,79.4
2020-08-16T06:37:58Z,45.444013,-111.106537,121.5,0,25.3,0,82.8,22.6,59.8,132.3,0,39.6,0,75.8,15.4,60.2
2020-09-15T17:07:02Z,45.444013,-111.106537,113,0,74.7,0,43.1,8.2,34.8,127.2,0,42.4,0,44.8,10.6,34.3
2020-10-16T03:36:06Z,45.444013,-111.106537,155.4,0,62,1,26.3,3.1,23.1,167.1,14.1,55.5,20.7,9.7,1.1,8.7
2020-11-15T14:05:10Z,45.444013,-111.106537,189.2,38.5,38.9,77.8,0,0,0,189.3,50.4,25.3,38.4,0,0,0
2020-12-16T00:34:14Z,45.444013,-111.106537,189.3,9.9,0,141.2,0,0,0,189.3,1.4,0,106.5,0,0,0
2021-01-16T05:14:31Z,45.444013,-111.106537,189.3,0,0,226,0,0,0,189.3,0,0,171.9,0,0,0
2021-02-15T15:43:35Z,45.444013,-111.106537,189.3,16,3,288.1,0,0,0,189.3,23.5,16,182.7,0,0,0
2021-03-18T02:12:39Z,45.444013,-111.106537,189.3,67.5,15.5,321.4,0,0,0,189.3,108,36.4,166.3,0,0,0
2021-04-17T12:41:43Z,45.444013,-111.106537,189.3,586.3,210.8,24.9,0,0,0,189,282.6,107.1,4.3,10.3,0,10.3
2021-05-17T23:10:47Z,45.444013,-111.106537,187,82.6,86.9,0,53.6,0.5,53.1,186.6,31.3,49.8,0,40.6,0.5,40.2
2021-06-17T09:39:51Z,45.444013,-111.106537,179.2,76.5,78.2,0,65.2,1.9,63.4,177.1,50.3,106.1,0,88,5.3,82.9
2021-07-17T20:08:54Z,45.444013,-111.106537,167.7,0,70.7,0,96.5,6.2,90.2,136.7,0,49.2,0,96.1,16.5,79.6
2021-08-17T06:37:58Z,45.444013,-111.106537,128.8,0,36.2,0,88.9,17.6,71,123.2,0,53,0,83,19.2,64
2021-09-16T17:07:02Z,45.444013,-111.106537,139.1,0,61.9,0,43.3,5.3,37.9,111.6,0,64.2,0,53.8,13.7,40.4
2021-10-17T03:36:06Z,45.444013,-111.106537,132,0,5.1,51.7,22.4,5,16.8,153.5,0,25.5,0,13.3,1.8,11.5
2021-11-16T14:05:10Z,45.444013,-111.106537,129.4,0,0,77.7,0,0,0,175.5,4.3,27.8,36.6,2.1,0.3,1.9
2021-12-17T00:34:14Z,45.444013,-111.106537,129.4,0,0,208.6,0,0,0,189.3,7.1,6.9,61,0,0,0
2022-01-16T05:14:31Z,45.444013,-111.106537,141.7,0,3.8,229.5,0,0,0,189.3,7.7,0,92.3,0,0,0
2022-02-15T15:43:35Z,45.444013,-111.106537,165.8,0,2.6,330.6,0,0,0,189.3,16.2,12.1,191.5,0,0,0
2022-03-18T02:12:39Z,45.444013,-111.106537,184.1,201.1,39.5,175.9,0,0,0,189.3,180.7,44.9,121.8,0,0,0
2022-04-17T12:41:43Z,45.444013,-111.106537,189.2,283.8,69.2,1.1,3.4,0,3.4,189.3,278.7,114.2,6,4.6,0,4.6
2022-05-17T23:10:47Z,45.444013,-111.106537,179.2,5.2,46,0,67.7,2.6,64.7,188.6,123.2,146.8,12.7,40.1,0,40
2022-06-17T09:39:51Z,45.444013,-111.106537,182.4,55.3,152.4,0,77.6,1.3,76.3,172.3,35.6,44.9,0,72.5,6,66.1
2022-07-17T20:08:54Z,45.444013,-111.106537,152.1,0,28.5,0,99.4,14.4,85.1,122.1,0,31.5,0,94.3,23.8,70.5
2022-08-17T06:37:58Z,45.444013,-111.106537,134.4,0,71,0,81.2,8.7,72.4,85.8,0,8.8,0,87.7,42.4,44.7
2022-09-16T17:07:02Z,45.444013,-111.106537,144.8,0,70.3,0,50,6.1,44.1,72.4,0,31.7,0,47.1,19.1,28
2022-10-17T03:36:06Z,45.444013,-111.106537,166.1,6.5,45,1.2,18.5,1.6,16.7,125.1,0,39,12,4.3,0.7,3.6
2022-11-16T14:05:10Z,45.444013,-111.106537,189.2,5.8,3.1,52.5,0.7,0,0.7,180.8,11.5,32.5,66.1,2.2,0.1,2.2
2022-12-17T00:34:14Z,45.444013,-111.106537,189.3,14.2,0.7,83.7,0,0,0,189.3,48.2,9.4,74.1,0,0,0
2023-01-16T05:14:31Z,45.444013,-111.106537,189.3,0,0,116.6,0,0,0,189.3,6.4,0,96.3,0,0,0
2023-02-15T15:43:35Z,45.444013,-111.106537,189,135.9,19.5,20,0.8,0,0.8,189.3,0.1,0.1,166.4,0,0,0
2023-03-18T02:12:39Z,45.444013,-111.106537,189.1,66.3,15.9,32.9,0.7,0,0.7,189.3,221.6,23.3,2.4,0,0,0
2023-04-17T12:41:43Z,45.444013,-111.106537,189.2,208.9,106.8,0.5,2.6,0,2.6,187.4,58,39.9,0,28.1,0.3,27.9
2023-05-17T23:10:47Z,45.444013,-111.106537,186.3,16.6,68.4,0,54.6,0.4,54.1,188.8,167.8,181.3,0,33.7,0,33.7
2023-06-17T09:39:51Z,45.444013,-111.106537,184.7,48.2,91.9,0,60.1,0.9,59.1,180,3.1,56.7,0,76.4,2.3,73.8
2023-07-17T20:08:54Z,45.444013,-111.106537,165.8,0,53.4,0,90.4,6.6,83.8,169.7,27.2,99.6,0,94.6,6.1,88.5
2023-08-17T06:37:58Z,45.444013,-111.106537,119.4,0,26.2,0,89.2,22.6,66.2,143.2,0,53.6,0,77.3,11.2,66.2
2023-09-16T17:07:02Z,45.444013,-111.106537,119.6,0,87,0,36,13.1,22.9,157.5,1.9,92.9,1.3,46.3,4.6,41.6
2023-10-17T03:36:06Z,45.444013,-111.106537,188.2,111.7,107.8,34.8,12,0.1,11.8,188.6,57.1,56.7,0,12.9,0,12.9
2023-11-16T14:05:10Z,45.444013,-111.106537,189.3,79.7,13.7,28.4,0,0,0,189.3,4.4,1.3,9.3,0,0,0
2023-12-17T00:34:14Z,45.444013,-111.106537,189.3,18.6,0,95.8,0,0,0,189.3,0,0,132.3,0,0,0
2024-01-16T05:14:31Z,45.444013,-111.106537,189.3,0,0,171.6,0,0,0,189.3,0,0,188.6,0,0,0
2024-02-15T15:43:35Z,45.444013,-111.106537,189.3,0,0,212.9,0,0,0,189.3,10.6,5.2,290.8,0,0,0
2024-03-17T02:12:39Z,45.444013,-111.106537,189.3,237.1,85.3,93.5,0,0,0,189.3,7.8,3.6,399.7,0,0,0
2024-04-16T12:41:43Z,45.444013,-111.106537,188.4,152.8,66.2,0,21,0,20.9,189.3,351,80.4,174.4,0,0,0
2024-05-16T23:10:47Z,45.444013,-111.106537,170.2,1.3,28.5,0,67.9,5.3,62.9,188,250,74.8,0,24.7,0.3,24.6
2024-06-16T09:39:51Z,45.444013,-111.106537,146.3,0,46.2,0,89.9,13.9,75.8,183.1,48.1,87.9,0,66.6,1.8,64.7
2024-07-16T20:08:54Z,45.444013,-111.106537,116.7,0,77.1,0,101.5,23.6,78,153.7,0,51.5,0,92,11.8,79.8
2024-08-16T06:37:58Z,45.444013,-111.106537,104.6,0,22.4,0,81.5,27,54.4,118.2,0,36.9,0,83.6,21.4,62.2
2024-09-15T17:07:02Z,45.444013,-111.106537,143.3,0,86.8,0,42.3,4.4,38,141.9,0,69.7,2.6,38.1,6.2,31.8
2024-10-16T03:36:06Z,45.444013,-111.106537,174.9,1.9,55.6,0.2,20.4,1.3,19.3,186.3,32,51.8,0,10.2,0,10.1
2024-11-15T14:05:10Z,45.444013,-111.106537,189.3,12.8,13.2,151.7,1.5,0,1.5,189.3,27,18.3,124.7,0.6,0,0.6
2024-12-16T00:34:14Z,45.444013,-111.106537,189.3,47.1,5.4,161.8,0,0,0,189.3,14.7,0,209.6,0,0,0
2025-01-16T05:14:31Z,45.444013,-111.106537,189.3,20.2,11,209.7,0,0,0,189.3,1.9,0,293.6,0,0,0
2025-02-15T15:43:35Z,45.444013,-111.106537,189.3,4.7,0,264.7,0,0,0,189.3,13.7,1.5,336.5,0,0,0
2025-03-18T02:12:39Z,45.444013,-111.106537,189.3,88.2,32.3,345.4,0,0,0,189.3,98.8,0.3,266.7,0,0,0
2025-04-17T12:41:43Z,45.444013,-111.106537,189.3,357.3,64.4,99.2,0,0,0,189.3,253,26.6,100.6,0,0,0
2025-05-17T23:10:47Z,45.444013,-111.106537,187.6,146.2,88.8,0,46.9,0.5,46.4,185.1,146.6,73.2,0,44.7,0.7,43.6
2025-06-17T09:39:51Z,45.444013,-111.106537,175.4,12.2,65.5,0,80.3,2.7,77.7,181,18.4,71.1,0,62.7,2.1,60.5
2025-07-17T20:08:54Z,45.444013,-111.106537,130,0,13.5,0,104,28.5,75.4,161.8,0,54.7,0,93.5,9.2,83.8
2025-08-17T06:37:58Z,45.444013,-111.106537,81,0,16.2,0,101.7,47.8,53.6,132.8,0,52.7,0,80.3,15.1,65
2025-09-16T17:07:02Z,45.444013,-111.106537,111.3,0,115.2,0,41.6,10.2,31.6,125.2,0,27.2,0,46.1,9.4,36.4
2025-10-17T03:36:06Z,45.444013,-111.106537,173.9,84.5,43.2,0,14.5,1.7,12.8,155.8,35,58.5,0.4,12.6,1.6,11
2025-11-16T14:05:10Z,45.444013,-111.106537,189,18.5,3.7,14.4,2.2,0,2.2,189,59,26.5,51.6,0.9,0,0.9
2025-12-17T00:34:14Z,45.444013,-111.106537,189.3,34.3,28.5,84.5,0,0,0,189.3,55,23.5,80.5,0,0,0
2026-01-16T05:14:31Z,45.444013,-111.106537,189.3,35.8,18.4,199.8,0,0,0,189.3,31.5,5.9,81.3,0,0,0
2026-02-15T15:43:35Z,45.444013,-111.106537,189.3,0.3,0.3,257.6,0,0,0,189.3,86.6,15.2,82.2,0,0,0
2026-03-18T02:12:39Z,45.444013,-111.106537,189.3,54,10.3,271.1,0,0,0,189.3,118.2,26.7,34.5,0,0,0
2026-04-17T12:41:43Z,45.444013,-111.106537,189.3,388.8,92.8,22.5,0,0,0,188.1,114.5,67.6,7.9,27.5,0,27.4
2026-05-17T23:10:47Z,45.444013,-111.106537,183.2,43.3,84.2,0,65.5,1.8,63.6,188.1,152.1,167.6,0,37.9,0.2,37.7
2026-06-17T09:39:51Z,45.444013,-111.106537,184.6,9.2,79.5,0,78.8,0.6,78.3,178.7,107.4,140,0,75,3.3,71.6
2026-07-17T20:08:54Z,45.444013,-111.106537,148.9,0,21.5,0,102.3,17.7,84.6,164.3,0,65.7,0,100.3,10.5,89.7
2026-08-17T06:37:58Z,45.444013,-111.106537,103,0,30.9,0,94.7,31.9,62.7,113.6,0,23.5,0,77.6,23.2,54.1
2026-09-16T17:07:02Z,45.444013,-111.106537,76,0,12.2,0,60.6,30.6,30.1,112.5,0,56.5,0,53,18.2,34.7
2026-10-17T03:36:06Z,45.444013,-111.106537,90.8,0,47.8,2.4,12.7,4.9,7.9,157.7,18.3,54.9,2.1,9.8,1.3,8.4
2026-11-16T14:05:10Z,45.444013,-111.106537,128.8,0,0,40.2,0,0,0,189.3,15.8,12.4,38.8,0,0,0
2026-12-17T00:34:14Z,45.444013,-111.106537,128.8,0,0,123.3,0,0,0,189.3,0,0,97,0,0,0
2027-01-16T05:14:31Z,45.444013,-111.106537,130.8,0,0,208.7,0,0,0,189.3,2.3,2.3,190.6,0,0,0
2027-02-15T15:43:35Z,45.444013,-111.106537,131.6,0,0.1,316.1,0,0,0,189.3,14.6,1.8,204.6,0,0,0
2027-03-18T02:12:39Z,45.444013,-111.106537,174.9,41.9,10.7,329.4,0,0,0,189.3,200,53.4,114.5,0,0,0
2027-04-17T12:41:43Z,45.444013,-111.106537,189.3,348.2,48.5,59.3,0,0,0,189.3,245.4,73.6,15.5,0,0,0
2027-05-17T23:10:47Z,45.444013,-111.106537,187.7,136.1,100.2,0,42.8,0.2,42.4,187.5,135.8,131,1,31,0.3,30.6
2027-06-17T09:39:51Z,45.444013,-111.106537,172,9.4,49,0,79.6,6.1,73.3,178.4,3.7,58.2,0,78.7,2.9,75.5
2027-07-17T20:08:54Z,45.444013,-111.106537,126.3,0,44.4,0,104,21.1,82.8,150.6,0,44.2,0,99.2,14.8,84.3
2027-08-17T06:37:58Z,45.444013,-111.106537,88.4,0,44,0,93.1,34.5,58.7,114.5,0,32.9,0,84.9,22.7,62.4
2027-09-16T17:07:02Z,45.444013,-111.106537,159.9,0,123.4,0,39.5,1,38.6,93.7,0,22.7,0,57.1,21.3,35.8
2027-10-17T03:36:06Z,45.444013,-111.106537,181.6,0,32.8,28.8,25.7,1,24.6,87.2,0,4,56.4,12.2,6,5.8
2027-11-16T14:05:10Z,45.444013,-111.106537,188.9,81.3,7.2,75.1,0,0,0,90.9,0,0.4,92.8,0,0,0
2027-12-17T00:34:14Z,45.444013,-111.106537,189.3,30.6,13,102.2,0,0,0,91.7,0,0,107.5,0,0,0
2028-01-16T05:14:31Z,45.444013,-111.106537,189.3,132.6,39.6,106.4,0,0,0,95,0,0,134.6,0,0,0
2028-02-15T15:43:35Z,45.444013,-111.106537,189.3,73.9,35.9,194.8,0,0,0,99.2,0,11.7,222.6,0,0,0
2028-03-17T02:12:39Z,45.444013,-111.106537,189.3,53.3,33,284.8,0,0,0,174.4,137.6,19.5,72.9,0,0,0
2028-04-16T12:41:43Z,45.444013,-111.106537,189.3,138.1,79.2,267.9,0,0,0,189.2,179.8,85.3,0,10,0,10
2028-05-16T23:10:47Z,45.444013,-111.106537,183.2,301.5,62.2,0,46.9,1.4,45.5,188.4,140.4,146.7,0,35,0,34.9
2028-06-16T09:39:51Z,45.444013,-111.106537,181.4,20.5,87.4,0,68.6,1.3,67.1,185.9,36.3,78.4,0,59.7,0.6,58.9
2028-07-16T20:08:54Z,45.444013,-111.106537,144.9,0,31.3,0,90.9,14.1,76.7,151.5,0,42.2,0,93.7,11.9,81.4
2028-08-16T06:37:58Z,45.444013,-111.106537,103.8,0,16.1,0,85.5,30.4,55,142.4,0,92.6,0,72.6,10.8,61.8
2028-09-15T17:07:02Z,45.444013,-111.106537,92.1,0,42.6,0,52.9,17,36,145.7,0,10.7,0,56.8,10.8,46.1
2028-10-16T03:36:06Z,45.444013,-111.106537,111.1,0,51.6,0,21.6,6,15.7,143.8,0,29,0,12.5,1.5,11
2028-11-15T14:05:10Z,45.444013,-111.106537,152.1,0,2.5,80.5,3.5,0.5,2.9,181.7,10.4,27.8,48.5,1.1,0,1.1
2028-12-16T00:34:14Z,45.444013,-111.106537,152.3,0,0,162.6,0,0,0,189.3,35.6,12.3,103.4,0,0,0
2029-01-16T05:14:31Z,45.444013,-111.106537,152.3,0,0,309.5,0,0,0,189.3,49.5,18.7,95,0,0,0
2029-02-15T15:43:35Z,45.444013,-111.106537,152.4,0,1,432.9,0,0,0,189.3,26.5,6.4,137.6,0,0,0
2029-03-18T02:12:39Z,45.444013,-111.106537,163.8,0,6.1,486.6,0,0,0,189.3,192,50.8,45.8,0,0,0
2029-04-17T12:41:43Z,45.444013,-111.106537,189,319.1,85.6,306.3,0,0,0,189.1,272.9,140.9,0,14.9,0,14.9
2029-05-17T23:10:47Z,45.444013,-111.106537,186.5,530.4,194.4,0,23.4,0.8,22.5,188.7,148.5,173.1,1,35.2,0.1,35.2
2029-06-17T09:39:51Z,45.444013,-111.106537,179.9,12.8,77.8,0,63.9,1.8,62.1,181.4,5.3,64.2,0,81.9,2,79.8
2029-07-17T20:08:54Z,45.444013,-111.106537,170.5,53.1,108.9,0,98.9,7.3,92,163.9,11.9,72.2,0,90.4,7.5,83.1
2029-08-17T06:37:58Z,45.444013,-111.106537,133.5,0,76.7,0,83.9,15.5,68.6,122.7,0,21.7,0,87.5,23.3,63.5
2029-09-16T17:07:02Z,45.444013,-111.106537,127.8,0,14.1,0,62.1,15.9,45.9,101.3,0,31.5,0,59.5,22.5,36.8
2029-10-17T03:36:06Z,45.444013,-111.106537,123.8,0,33.3,11.8,24.1,5.8,18.5,106.9,0,36.1,3.7,14.4,4.5,10.1
2029-11-16T14:05:10Z,45.444013,-111.106537,157.8,0,16.9,77.3,2.5,0.3,2.2,154.1,0,9.5,87.8,0,0,0
2029-12-17T00:34:14Z,45.444013,-111.106537,181.9,98.8,28.2,43.7,0.3,0,0.3,163.3,0,1.3,132.7,0,0,0
2030-01-16T05:14:31Z,45.444013,-111.106537,189.3,13.4,10.9,124.3,0,0,0,172.9,0,2.9,140,0,0,0
2030-02-15T15:43:35Z,45.444013,-111.106537,189.3,0.3,0.3,254.4,0,0,0,176.4,0,7.2,199.3,0,0,0
2030-03-18T02:12:39Z,45.444013,-111.106537,189.3,18.9,8.5,323.8,0,0,0,189,235.9,31,26.6,0,0,0
2030-04-17T12:41:43Z,45.444013,-111.106537,189.2,417.5,71.9,15.6,5.8,0,5.8,189,128.9,104.1,21,18.4,0,18.4
