date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,45.444013,-111.106537,189.3,0,0,164.2,0,0,0
1980-02-15T15:43:35Z,45.444013,-111.106537,189.3,22.2,10.7,226.6,0,0,0
1980-03-17T02:12:39Z,45.444013,-111.106537,189.3,0,0,367.1,0,0,0
1980-04-16T12:41:43Z,45.444013,-111.106537,189,421.1,39.2,0,8.7,0,8.7
1980-05-16T23:10:47Z,45.444013,-111.106537,187.8,141.5,152.4,0.3,33.4,0.2,33.2
1980-06-16T09:39:51Z,45.444013,-111.106537,186,53.8,95.7,0,58.2,0.6,57.4
1980-07-16T20:08:54Z,45.444013,-111.106537,157.4,0,33.5,0,88.8,11.2,77.7
1980-08-16T06:37:58Z,45.444013,-111.106537,127,0,53.5,0,64.7,11.8,53.3
1980-09-15T17:07:02Z,45.444013,-111.106537,167.4,13.3,97.7,0,40.7,2,38.6
1980-10-16T03:36:06Z,45.444013,-111.106537,181.7,36.9,18.7,0,13.6,0.7,12.9
1980-11-15T14:05:10Z,45.444013,-111.106537,188.8,9,13.3,44.7,3.8,0,3.7
1980-12-16T00:34:14Z,45.444013,-111.106537,189.3,83.8,13.7,12.9,0,0,0
1981-01-16T05:14:31Z,45.444013,-111.106537,189.3,14.1,3.6,38,0,0,0
1981-02-15T15:43:35Z,45.444013,-111.106537,189.3,47.5,33.9,84.3,0,0,0
1981-03-18T02:12:39Z,45.444013,-111.106537,189.3,62.9,33.7,93.2,0,0,0
1981-04-17T12:41:43Z,45.444013,-111.106537,189.1,173.4,66,0,13.5,0,13.5
1981-05-17T23:10:47Z,45.444013,-111.106537,189,203,183.9,0,29.7,0,29.7
1981-06-17T09:39:51Z,45.444013,-111.106537,185,117.5,144.6,0,56.7,1,55.5
1981-07-17T20:08:54Z,45.444013,-111.106537,143.7,0,24.6,0,87,15.5,71.1
1981-08-17T06:37:58Z,45.444013,-111.106537,105.1,0,18.9,0,78.5,26.4,52
1981-09-16T17:07:02Z,45.444013,-111.106537,84.6,0,28.5,0,43.6,20.6,23.5
1981-10-17T03:36:06Z,45.444013,-111.106537,153.7,0,50.6,3.4,6,1,4.9
1981-11-16T14:05:10Z,45.444013,-111.106537,188.4,10,13.7,46.8,4.3,0,4.2
1981-12-17T00:34:14Z,45.444013,-111.106537,189.3,31.9,6.7,128.4,0,0,0
1982-01-16T05:14:31Z,45.444013,-111.106537,189.3,0,0,227.2,0,0,0
1982-02-15T15:43:35Z,45.444013,-111.106537,189.3,50.6,13.5,234.3,0,0,0
1982-03-18T02:12:39Z,45.444013,-111.106537,189.3,26.5,21.5,352.1,0,0,0
1982-04-17T12:41:43Z,45.444013,-111.106537,189.3,191.9,45.3,300,0,0,0
1982-05-17T23:10:47Z,45.444013,-111.106537,189.1,369.5,76,17.5,13,0,13
1982-06-17T09:39:51Z,45.444013,-111.106537,184.3,83,92.3,0,56.6,1.1,55.3
1982-07-17T20:08:54Z,45.444013,-111.106537,161.8,0,46.2,0,84.6,8,76.9
1982-08-17T06:37:58Z,45.444013,-111.106537,124.5,0,45.2,0,77.7,16.3,61.3
1982-09-16T17:07:02Z,45.444013,-111.106537,145.7,9.9,79.3,5,32.5,7.7,24.5
1982-10-17T03:36:06Z,45.444013,-111.106537,188,51.9,44.2,8.4,6,0,5.8
1982-11-16T14:05:10Z,45.444013,-111.106537,189.3,12.4,0.3,54.4,0.4,0,0.4
1982-12-17T00:34:14Z,45.444013,-111.106537,189.3,0,0,161.6,0,0,0
1983-01-16T05:14:31Z,45.444013,-111.106537,189.3,12.9,4.6,189.5,0,0,0
1983-02-15T15:43:35Z,45.444013,-111.106537,189.3,28.5,13.8,237.6,0,0,0
1983-03-18T02:12:39Z,45.444013,-111.106537,189.3,125.9,30.9,231.7,0,0,0
1983-04-17T12:41:43Z,45.444013,-111.106537,189.3,160.1,3.9,149.8,0,0,0
1983-05-17T23:10:47Z,45.444013,-111.106537,185.8,275.5,94.1,0,22,1.1,21
1983-06-17T09:39:51Z,45.444013,-111.106537,179.4,18.4,91.8,0,58.1,1.5,56.5
1983-07-17T20:08:54Z,45.444013,-111.106537,177.8,28.1,76,0,85.1,3.8,81.3
1983-08-17T06:37:58Z,45.444013,-111.106537,140,0,44.7,0,82,13.8,68
1983-09-16T17:07:02Z,45.444013,-111.106537,153.9,19.1,87.7,2.1,30,3.8,26.3
1983-10-17T03:36:06Z,45.444013,-111.106537,188.4,58.6,40.2,0,11.5,0,11.4
1983-11-16T14:05:10Z,45.444013,-111.106537,189.1,24,27.6,89.3,0.5,0,0.5
1983-12-17T00:34:14Z,45.444013,-111.106537,189.3,0,0,184.7,0,0,0
1984-01-16T05:14:31Z,45.444013,-111.106537,189.3,5.8,0.7,226.8,0,0,0
1984-02-15T15:43:35Z,45.444013,-111.106537,189.3,0,0,287.9,0,0,0
1984-03-17T02:12:39Z,45.444013,-111.106537,189.3,26.4,14.4,397,0,0,0
1984-04-16T12:41:43Z,45.444013,-111.106537,189.3,171.8,45.3,377.8,0,0,0
1984-05-16T23:10:47Z,45.444013,-111.106537,188.9,468.4,61.8,0,13.8,0,13.8
1984-06-16T09:39:51Z,45.444013,-111.106537,185.7,60.2,84.1,0,50.3,1.2,49.2
1984-07-16T20:08:54Z,45.444013,-111.106537,152,0,58.1,0,90.8,10,80.5
1984-08-16T06:37:58Z,45.444013,-111.106537,145.4,0,84.4,0,78.1,9.3,69
1984-09-15T17:07:02Z,45.444013,-111.106537,171.4,24.8,55.9,0,28.8,3.4,25.3
1984-10-16T03:36:06Z,45.444013,-111.106537,186.7,0,9.9,59.6,11.2,0.1,10.9
1984-11-15T14:05:10Z,45.444013,-111.106537,189.2,21.3,5.6,96.2,0,0,0
1984-12-16T00:34:14Z,45.444013,-111.106537,189.3,0,0,160.8,0,0,0
1985-01-16T05:14:31Z,45.444013,-111.106537,189.3,0,0,210.2,0,0,0
1985-02-15T15:43:35Z,45.444013,-111.106537,189.3,0,0,277.7,0,0,0
1985-03-18T02:12:39Z,45.444013,-111.106537,189.3,5,4.1,371,0,0,0
1985-04-17T12:41:43Z,45.444013,-111.106537,189.1,424.3,27.3,0,5.5,0,5.5
1985-05-17T23:10:47Z,45.444013,-111.106537,184.2,24.8,68.8,0,51.7,0.8,50.3
1985-06-17T09:39:51Z,45.444013,-111.106537,170.5,16.1,46.7,0,70.9,5.5,65.1
1985-07-17T20:08:54Z,45.444013,-111.106537,127.2,0,35.6,0,97.9,21.9,76.1
1985-08-17T06:37:58Z,45.444013,-111.106537,137.4,0,70.9,0,63.2,10.7,52.1
1985-09-16T17:07:02Z,45.444013,-111.106537,176.3,34.8,89.8,8.3,20.1,1,19.2
1985-10-17T03:36:06Z,45.444013,-111.106537,188.5,56.1,8.5,0,10,0,10
1985-11-16T14:05:10Z,45.444013,-111.106537,188.5,0,1.6,69.5,0.6,0,0.6
1985-12-17T00:34:14Z,45.444013,-111.106537,188.7,0,0,100.8,0,0,0
1986-01-16T05:14:31Z,45.444013,-111.106537,189,29,4.3,129.6,0,0,0
1986-02-15T15:43:35Z,45.444013,-111.106537,189.3,59.6,0,187.7,0,0,0
1986-03-18T02:12:39Z,45.444013,-111.106537,189.3,253.8,48.4,9.8,0,0,0
1986-04-17T12:41:43Z,45.444013,-111.106537,189.1,87.8,43,47.5,6.8,0,6.7
1986-05-17T23:10:47Z,45.444013,-111.106537,186.5,139.7,73.8,0,38.2,0.9,37.3
1986-06-17T09:39:51Z,45.444013,-111.106537,178.6,35.2,114.9,0,80.4,2.4,78
1986-07-17T20:08:54Z,45.444013,-111.106537,173.5,0,61.2,0,78.6,3.4,74.9
1986-08-17T06:37:58Z,45.444013,-111.106537,148.3,0,68.9,0,76.5,11.1,65.3
1986-09-16T17:07:02Z,45.444013,-111.106537,175.4,22.5,59.7,2.5,22.8,1.8,20.9
1986-10-17T03:36:06Z,45.444013,-111.106537,186.6,16.7,15.6,8.4,14.6,0,14.3
1986-11-16T14:05:10Z,45.444013,-111.106537,189.3,21.6,10.7,82.8,0,0,0
1986-12-17T00:34:14Z,45.444013,-111.106537,189.3,0,0,105.9,0,0,0
1987-01-16T05:14:31Z,45.444013,-111.106537,189.3,0,0,166.7,0,0,0
1987-02-15T15:43:35Z,45.444013,-111.106537,189.3,13.2,0,194.8,0,0,0
