Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.446,1.931,5.965,3.559
bcc-csm1-1-m,3.599,-1.081,5.352,2.158
BNU-ESM,4.819,3.117,6.741,4.784
CanESM2,5.766,5.999,7.532,9.505
CCSM4,4.296,1.466,5.801,2.771
CNRM-CM5,3.886,3.677,5.31,7.267
CSIRO-Mk3-6-0,5.358,0.414,6.129,1.257
GFDL-ESM2M,2.147,1.226,3.963,0.016
GFDL-ESM2G,3.76,1.995,4.378,2.15
HadGEM2-CC365,4.952,3.01,7.322,1.304
HadGEM2-ES365,5.361,2.609,7.295,1.379
inmcm4,2.123,0.683,3.748,1.486
IPSL-CM5A-LR,4.581,-0.355,6.354,0.484
IPSL-CM5A-MR,5.396,0.224,7.412,1.861
IPSL-CM5B-LR,3.712,1.926,5.155,2.834
MIROC5,5.923,5.502,7.028,7.2
MIROC-ESM,6.858,6.079,8.308,5.054
MIROC-ESM-CHEM,6.665,7.43,8.702,8.982
MRI-CGCM3,2,3.288,3.241,5.702
NorESM1-M,4.944,5.581,6.249,4.722
20CMIP5ModelMean,4.53,2.736,6.1,3.724
