date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,45.343107,-111.049458,127.4,0,0,265.8,0,0,0,126.7,4.7,0,113.6,0,0,0
2020-02-15T15:43:35Z,45.343107,-111.049458,127.4,1.7,1.7,402.1,0,0,0,127.4,3.3,0,168.8,0,0,0
2020-03-17T02:12:39Z,45.343107,-111.049458,127.4,54.7,16.8,415.9,0,0,0,127.4,5.3,3.8,268.9,0,0,0
2020-04-16T12:41:43Z,45.343107,-111.049458,127.4,12.4,5.8,632.5,0,0,0,127.3,370.7,94.7,0.4,2.8,0,2.8
2020-05-16T23:10:47Z,45.343107,-111.049458,127.4,639.2,86.7,104.7,0,0,0,126.6,168.1,141.8,2.7,15.5,0,15.3
2020-06-16T09:39:51Z,45.343107,-111.049458,120.9,260.1,171,0,48.9,3.5,45.6,125.4,126.1,176.5,3.7,54,0.3,53.5
2020-07-16T20:08:54Z,45.343107,-111.049458,99.4,0,77.6,0,85.5,13.3,72.6,118.8,53.8,75,0,66.2,3.1,63.1
2020-08-16T06:37:58Z,45.343107,-111.049458,97.1,0,30,0,67.5,11.8,55.7,100,0,42,0,60.5,8.3,52
2020-09-15T17:07:02Z,45.343107,-111.049458,96.6,15.4,80.3,0,31.4,4.4,27,103.4,0,41.8,0,33.3,5.1,27.9
2020-10-16T03:36:06Z,45.343107,-111.049458,125.8,55.3,68,2.2,18,0,18,125.9,29.4,33.4,67,7,0.3,6.9
2020-11-15T14:05:10Z,45.343107,-111.049458,127.4,19.4,19.4,125.4,0,0,0,127.4,29.6,20.8,124.6,0,0,0
2020-12-16T00:34:14Z,45.343107,-111.049458,127.4,0,0,211.1,0,0,0,127.4,0,0,205.1,0,0,0
