date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,45.343107,-111.049458,127.4,0,0,254.4,0,0,0
1980-02-15T15:43:35Z,45.343107,-111.049458,127.4,5,0.9,341.3,0,0,0
1980-03-17T02:12:39Z,45.343107,-111.049458,127.4,0,0,492.4,0,0,0
1980-04-16T12:41:43Z,45.343107,-111.049458,127.4,414.6,24.2,142.8,0,0,0
1980-05-16T23:10:47Z,45.343107,-111.049458,126.9,316.7,134.6,26.7,9.6,0.1,9.4
1980-06-16T09:39:51Z,45.343107,-111.049458,126.1,121.1,124.1,0,43.7,0.3,43.3
1980-07-16T20:08:54Z,45.343107,-111.049458,114.5,7.7,52.1,0,71.1,4.1,66.6
1980-08-16T06:37:58Z,45.343107,-111.049458,106.1,0,68.3,0.1,49.5,4.2,44.8
1980-09-15T17:07:02Z,45.343107,-111.049458,126.4,98.6,114.7,0,27.7,0,27.3
1980-10-16T03:36:06Z,45.343107,-111.049458,121.9,32.5,16.1,21.4,9.5,0.6,8.7
1980-11-15T14:05:10Z,45.343107,-111.049458,127.2,29.4,10,60.4,1.9,0,1.9
1980-12-16T00:34:14Z,45.343107,-111.049458,127.4,26.4,5.9,93.4,0,0,0
1981-01-16T05:14:31Z,45.343107,-111.049458,127.4,1.1,1.1,134.9,0,0,0
1981-02-15T15:43:35Z,45.343107,-111.049458,127.4,11.5,11.5,219.2,0,0,0
1981-03-18T02:12:39Z,45.343107,-111.049458,127.4,21.4,18.7,284,0,0,0
1981-04-17T12:41:43Z,45.343107,-111.049458,127.4,326.2,74.6,63.7,0,0,0
1981-05-17T23:10:47Z,45.343107,-111.049458,127.2,304.2,180.5,0,15.7,0,15.7
1981-06-17T09:39:51Z,45.343107,-111.049458,125.5,179.8,175.1,0,38.6,0.5,38.1
1981-07-17T20:08:54Z,45.343107,-111.049458,104.5,0,31.4,0,69.2,8.3,60.9
1981-08-17T06:37:58Z,45.343107,-111.049458,78.9,0,28.1,0,62.5,14.5,48
1981-09-16T17:07:02Z,45.343107,-111.049458,67.8,0,26.1,0,33.8,14.1,19.6
1981-10-17T03:36:06Z,45.343107,-111.049458,123.2,64,38.6,10.6,2.9,0.4,2.5
1981-11-16T14:05:10Z,45.343107,-111.049458,127.1,26.6,13.9,61,2.6,0,2.6
1981-12-17T00:34:14Z,45.343107,-111.049458,127.4,9.1,1.7,176.6,0,0,0
1982-01-16T05:14:31Z,45.343107,-111.049458,127.4,0,0,297.2,0,0,0
1982-02-15T15:43:35Z,45.343107,-111.049458,127.4,16.7,10.7,344.6,0,0,0
1982-03-18T02:12:39Z,45.343107,-111.049458,127.4,0,0,522.2,0,0,0
