date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,40.44039704,-111.7093944,45.4,0,0,0,1.5,0.7,0.8,138.4,5.3,1.7,56.4,0,0,0
2020-02-15T15:43:35Z,40.44039704,-111.7093944,68,0,13.1,0,9.2,3,6.1,138.4,40.1,28,76.2,0,0,0
2020-03-17T02:12:39Z,40.44039704,-111.7093944,82.4,0,47.6,0,41.1,10.7,30.2,138.2,114.9,28.9,7.7,2.9,0,2.9
2020-04-16T12:41:43Z,40.44039704,-111.7093944,111,0,60.1,0,40,4.9,35.2,129.3,8.3,31.9,0,52.5,2.6,49.5
2020-05-16T23:10:47Z,40.44039704,-111.7093944,124.1,11.7,88,0,90.8,7.4,83.6,132.6,40.6,108.1,0,60.4,2,58
2020-06-16T09:39:51Z,40.44039704,-111.7093944,88.5,0,6.6,0,103.6,36.3,68.1,127.7,45.4,114,0,91.3,6.2,85
2020-07-16T20:08:54Z,40.44039704,-111.7093944,39.5,0,10.6,0,125.4,81.1,44.7,109.2,0,50.4,0,104.3,17.6,86.6
2020-08-16T06:37:58Z,40.44039704,-111.7093944,18.8,0,7.7,0,108.4,86.8,21.1,77.9,0,76.3,0,98.3,27.2,71.6
2020-09-15T17:07:02Z,40.44039704,-111.7093944,17.6,0,50.9,0,67.5,48.5,19.6,79,0,34.5,0,61.9,19.2,42.7
2020-10-16T03:36:06Z,40.44039704,-111.7093944,75.3,15.3,115.2,0,33.7,10.5,23.3,121.8,0,72.4,0,28.3,2.9,24.8
2020-11-15T14:05:10Z,40.44039704,-111.7093944,137,30,28.9,2.5,8.6,0,8.6,138.2,100.9,76.5,40.7,3.9,0,3.9
2020-12-16T00:34:14Z,40.44039704,-111.7093944,138.3,75.7,35.2,55.9,0,0,0,138.4,0,0,54.5,0,0,0
2021-01-16T05:14:31Z,40.44039704,-111.7093944,137.3,254.1,164.1,0.7,4.8,0,4.8,138.4,0,0,70.4,0,0,0
2021-02-15T15:43:35Z,40.44039704,-111.7093944,137.3,66.7,46.5,6.8,4.6,0,4.6,138.4,55.1,43.8,96,0,0,0
2021-03-18T02:12:39Z,40.44039704,-111.7093944,133.2,48.2,69.8,0,31.3,0.6,30.5,137.6,155.5,54.1,0,13.8,0,13.8
2021-04-17T12:41:43Z,40.44039704,-111.7093944,134.6,45.9,96.6,0,56.2,0.9,55.3,134.6,9.4,45.6,0.1,38.7,0.9,37.7
2021-05-17T23:10:47Z,40.44039704,-111.7093944,132,44.4,99.4,0,73,2.5,70.4,122.5,33.5,59.2,0,76.6,8.4,68.1
2021-06-17T09:39:51Z,40.44039704,-111.7093944,86.9,0,0,0,96.1,37.1,59.1,114.7,15.2,83.4,0,97.6,16.7,80.9
2021-07-17T20:08:54Z,40.44039704,-111.7093944,42.6,0,14.7,0,121.6,79.2,42.3,73.3,0,59.6,0,117.1,43.2,73.9
2021-08-17T06:37:58Z,40.44039704,-111.7093944,21.5,0,3.3,0,107.1,87.4,19.8,64.3,0,45.3,0,104.3,43.3,60.9
2021-09-16T17:07:02Z,40.44039704,-111.7093944,14.6,0,18.2,0,69.3,55,14.1,56.5,0,94.3,0,70.6,33,38
2021-10-17T03:36:06Z,40.44039704,-111.7093944,47.9,0,58.1,0.1,29.4,17.3,12,117.5,0,32.7,0,25.9,4.1,22
2021-11-16T14:05:10Z,40.44039704,-111.7093944,103.9,17.9,49.8,21.7,3.1,1.1,1.9,137.6,106.8,86.8,21,6.8,0.1,6.7
2021-12-17T00:34:14Z,40.44039704,-111.7093944,138.4,17.4,12.1,106.3,0,0,0,138.4,42.8,20.4,23.1,0.9,0,0.9
2022-01-16T05:14:31Z,40.44039704,-111.7093944,138.4,50.7,10.8,86.8,0,0,0,138.4,1.1,0,36.7,0,0,0
2022-02-15T15:43:35Z,40.44039704,-111.7093944,138.4,12.1,12.1,173,0,0,0,138.4,27,17,180.5,0,0,0
2022-03-18T02:12:39Z,40.44039704,-111.7093944,138.3,227,45.1,0,1.8,0,1.8,138.3,296.2,85.9,0,4.2,0,4.2
2022-04-17T12:41:43Z,40.44039704,-111.7093944,131.1,16.8,37.6,0,45.4,2.5,43.1,136.7,73.7,78.2,0,29.5,0.3,29.3
2022-05-17T23:10:47Z,40.44039704,-111.7093944,131.3,74.5,154.8,1.6,58.6,2,57,132.9,41.8,101.3,0.3,61.6,1.8,59.8
2022-06-17T09:39:51Z,40.44039704,-111.7093944,119.7,13,25.2,0,89.8,14.6,75.1,107.8,24.1,41.8,0,107.2,24.5,83.1
2022-07-17T20:08:54Z,40.44039704,-111.7093944,61.6,0,32.1,0,126.7,60.8,65.9,52.4,0,16.5,0,121,67.1,54
2022-08-17T06:37:58Z,40.44039704,-111.7093944,36.4,0,7.6,0,101.3,68.2,32.7,24.7,0,8.6,0,115,87.1,27.9
2022-09-16T17:07:02Z,40.44039704,-111.7093944,23.1,0,14.8,0,66.7,46.9,19.8,18.3,0,21.5,0,69.1,52.2,16.8
2022-10-17T03:36:06Z,40.44039704,-111.7093944,18.2,0,0.3,0,38.8,33.4,5.5,70.9,0,86.4,0,23.8,7.8,16.2
2022-11-16T14:05:10Z,40.44039704,-111.7093944,59.6,0,53.8,35.7,5.4,0.9,4.5,114.2,0,30.5,26,9.8,0.9,8.7
