date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,40.44039704,-111.7093944,136.2,22.9,27.7,190.1,0,0,0
1980-02-15T15:43:35Z,40.44039704,-111.7093944,138.4,181.7,106.1,183.6,0,0,0
1980-03-17T02:12:39Z,40.44039704,-111.7093944,138.4,43.9,13.9,228.2,0,0,0
1980-04-16T12:41:43Z,40.44039704,-111.7093944,137.1,234.3,25.2,0,22.8,0.2,22.6
1980-05-16T23:10:47Z,40.44039704,-111.7093944,135.8,66.8,104.1,0,46.7,0.8,46
1980-06-16T09:39:51Z,40.44039704,-111.7093944,102.6,0,5.6,0,91.3,22.6,69
1980-07-16T20:08:54Z,40.44039704,-111.7093944,63.3,0,32.9,0,113,51.2,61.8
1980-08-16T06:37:58Z,40.44039704,-111.7093944,37.7,0,30.9,0,92,58.9,33
1980-09-15T17:07:02Z,40.44039704,-111.7093944,57.2,0,46,0,59.2,25.9,33
1980-10-16T03:36:06Z,40.44039704,-111.7093944,71.5,0,28.9,0,26.5,11.7,14.9
1980-11-15T14:05:10Z,40.44039704,-111.7093944,100,0,23.1,12.8,8.9,3.1,5.7
1980-12-16T00:34:14Z,40.44039704,-111.7093944,137.7,36.5,20.6,0,4.1,0,4.1
1981-01-16T05:14:31Z,40.44039704,-111.7093944,138.2,28.6,15.4,28,0.6,0,0.6
1981-02-15T15:43:35Z,40.44039704,-111.7093944,138.3,53.4,14.1,12.6,1.6,0,1.6
1981-03-18T02:12:39Z,40.44039704,-111.7093944,138.3,90.9,39.3,20.2,1.3,0,1.3
1981-04-17T12:41:43Z,40.44039704,-111.7093944,133.6,32.9,30.3,0,40.6,1.3,39.2
1981-05-17T23:10:47Z,40.44039704,-111.7093944,136.8,127.4,171.6,0,50.4,0.2,50.2
1981-06-17T09:39:51Z,40.44039704,-111.7093944,109.6,3.4,29.7,0,97.2,19.5,78
1981-07-17T20:08:54Z,40.44039704,-111.7093944,55,0,11.1,0,115.3,62.7,52.6
1981-08-17T06:37:58Z,40.44039704,-111.7093944,27.3,0,19.3,0,100.8,66.6,34.5
1981-09-16T17:07:02Z,40.44039704,-111.7093944,39.3,0,46.4,0,63.9,34.2,29.5
1981-10-17T03:36:06Z,40.44039704,-111.7093944,114.8,32,131.5,17.4,15.9,1.5,14.4
1981-11-16T14:05:10Z,40.44039704,-111.7093944,137.3,33.2,21.8,15.4,9.5,0,9.5
1981-12-17T00:34:14Z,40.44039704,-111.7093944,138.1,41.7,14.8,72.5,2,0,2
1982-01-16T05:14:31Z,40.44039704,-111.7093944,138.4,10.5,0.6,175,0,0,0
1982-02-15T15:43:35Z,40.44039704,-111.7093944,138.4,158.1,22,71.9,0,0,0
1982-03-18T02:12:39Z,40.44039704,-111.7093944,138.4,230,117.6,65.7,0,0,0
1982-04-17T12:41:43Z,40.44039704,-111.7093944,133.5,109,40.6,0,21.1,1,19.8
1982-05-17T23:10:47Z,40.44039704,-111.7093944,129.2,6.2,66.1,0,56.9,2.3,54.6
1982-06-17T09:39:51Z,40.44039704,-111.7093944,108.9,0,26.7,0,89.1,16.2,73.1
1982-07-17T20:08:54Z,40.44039704,-111.7093944,75.1,0,59.3,0,107.4,38,69.4
1982-08-17T06:37:58Z,40.44039704,-111.7093944,53.2,0,18.6,0,102.2,52.7,49.6
1982-09-16T17:07:02Z,40.44039704,-111.7093944,83.9,93.5,204.8,1.6,48.8,16.5,32.4
1982-10-17T03:36:06Z,40.44039704,-111.7093944,135.8,67.1,70,5.9,17.4,0.2,17
1982-11-16T14:05:10Z,40.44039704,-111.7093944,138.3,41.8,34.5,54.4,1.6,0,1.6
1982-12-17T00:34:14Z,40.44039704,-111.7093944,138.4,15.6,12,123.2,0,0,0
1983-01-16T05:14:31Z,40.44039704,-111.7093944,138.4,49.3,18.7,130.9,0,0,0
1983-02-15T15:43:35Z,40.44039704,-111.7093944,138.4,74.3,27.6,160,0,0,0
1983-03-18T02:12:39Z,40.44039704,-111.7093944,138.4,216.6,38.6,63.4,0,0,0
1983-04-17T12:41:43Z,40.44039704,-111.7093944,138.2,138.7,58.9,3.2,5.9,0,5.9
1983-05-17T23:10:47Z,40.44039704,-111.7093944,134.2,88.5,90.9,0,37,1.8,35.3
1983-06-17T09:39:51Z,40.44039704,-111.7093944,116.9,0,35.3,0,85.8,12.5,73.2
1983-07-17T20:08:54Z,40.44039704,-111.7093944,78.1,0,58.4,0,107.8,30.5,77.5
1983-08-17T06:37:58Z,40.44039704,-111.7093944,84.7,0,102.2,0,97.9,20,78.1
1983-09-16T17:07:02Z,40.44039704,-111.7093944,102.7,0,75.5,0,61.5,10,51.4
1983-10-17T03:36:06Z,40.44039704,-111.7093944,130.4,0.9,43.4,0,30,0.9,28.9
1983-11-16T14:05:10Z,40.44039704,-111.7093944,137,23.8,31,80.9,6.2,0,6.1
1983-12-17T00:34:14Z,40.44039704,-111.7093944,138.4,36.5,10.4,233.7,0,0,0
1984-01-16T05:14:31Z,40.44039704,-111.7093944,138.4,0,0,265.7,0,0,0
1984-02-15T15:43:35Z,40.44039704,-111.7093944,138.4,0,0,312.1,0,0,0
1984-03-17T02:12:39Z,40.44039704,-111.7093944,138.4,118.1,31.3,250.9,0,0,0
1984-04-16T12:41:43Z,40.44039704,-111.7093944,137.8,313.8,47.4,2.2,6.3,0,6.3
1984-05-16T23:10:47Z,40.44039704,-111.7093944,118.3,24.6,57.6,0,66.1,10.7,55.4
1984-06-16T09:39:51Z,40.44039704,-111.7093944,117.3,87.3,124.9,0,84.1,13,71
1984-07-16T20:08:54Z,40.44039704,-111.7093944,73.2,0,59,0,108.4,31.2,77.1
1984-08-16T06:37:58Z,40.44039704,-111.7093944,62.3,0,55.4,0,95.3,32.2,63.2
1984-09-15T17:07:02Z,40.44039704,-111.7093944,69,0,66.9,0,57.9,19.2,38.7
1984-10-16T03:36:06Z,40.44039704,-111.7093944,132.2,44.4,69.6,14.2,14.2,1.2,13.1
1984-11-15T14:05:10Z,40.44039704,-111.7093944,138.3,69.1,31.9,40.8,2,0,2
1984-12-16T00:34:14Z,40.44039704,-111.7093944,138.4,5.8,5.8,106.5,0,0,0
1985-01-16T05:14:31Z,40.44039704,-111.7093944,138.4,0,0,144.8,0,0,0
1985-02-15T15:43:35Z,40.44039704,-111.7093944,138.4,0,0,186.7,0,0,0
1985-03-18T02:12:39Z,40.44039704,-111.7093944,138.4,185.9,28.3,80.4,0,0,0
1985-04-17T12:41:43Z,40.44039704,-111.7093944,131.4,81.3,24.4,0,36.9,1.8,35
1985-05-17T23:10:47Z,40.44039704,-111.7093944,127.9,66.9,116.5,0,66.8,3.9,62.7
1985-06-17T09:39:51Z,40.44039704,-111.7093944,97.9,0,60.5,0,97.6,25.1,72.7
1985-07-17T20:08:54Z,40.44039704,-111.7093944,81.5,0,51.2,0,114.2,32.5,81.6
1985-08-17T06:37:58Z,40.44039704,-111.7093944,53.5,0,2.2,0,98.3,58.3,39.9
1985-09-16T17:07:02Z,40.44039704,-111.7093944,67.5,0,81.6,0,51.9,19.5,32.3
1985-10-17T03:36:06Z,40.44039704,-111.7093944,124.5,7.8,64.9,0,24.4,2.4,21.9
1985-11-16T14:05:10Z,40.44039704,-111.7093944,137.4,16.4,21.3,105,2.9,0,2.7
1985-12-17T00:34:14Z,40.44039704,-111.7093944,138.4,48.4,8.5,110.9,0,0,0
1986-01-16T05:14:31Z,40.44039704,-111.7093944,138.4,127.5,36.6,42.7,0,0,0
1986-02-15T15:43:35Z,40.44039704,-111.7093944,138.2,195.4,74.5,0,3.5,0,3.5
1986-03-18T02:12:39Z,40.44039704,-111.7093944,135.8,70,63.8,0.6,20.8,0.3,20.5
1986-04-17T12:41:43Z,40.44039704,-111.7093944,137.3,90.1,71.5,0,22.5,0.2,22.3
1986-05-17T23:10:47Z,40.44039704,-111.7093944,128.5,50.2,66.2,0,58.8,5.2,53.4
1986-06-17T09:39:51Z,40.44039704,-111.7093944,80,0,13.3,0,102.2,38.5,63.9
