Model,X_RCP45(°F),Y_RCP45(in),X_RCP85(°F),Y_RCP85(in)
bcc-csm1-1,4.441,0.204,5.935,1.045
bcc-csm1-1-m,3.559,-0.672,5.327,0.321
BNU-ESM,4.867,1.425,6.727,1.953
CanESM2,5.635,2.38,7.448,3.587
CCSM4,4.187,0.004,5.67,0.395
CNRM-CM5,3.861,0.826,5.258,1.819
CSIRO-Mk3-6-0,5.359,-0.246,6.091,0.208
GFDL-ESM2M,2.188,0.767,3.929,-0.118
GFDL-ESM2G,3.797,0.884,4.474,1.41
HadGEM2-CC365,4.959,0.572,7.285,-0.498
HadGEM2-ES365,5.292,0.675,7.274,-0.431
inmcm4,2.172,0.673,3.788,0.272
IPSL-CM5A-LR,4.567,-0.681,6.4,-0.419
IPSL-CM5A-MR,5.34,-0.411,7.333,0.119
IPSL-CM5B-LR,3.719,0.874,5.2,1.039
MIROC5,5.881,1.721,7.007,2.388
MIROC-ESM,6.91,2.03,8.379,1.393
MIROC-ESM-CHEM,6.815,2.182,8.825,2.7
MRI-CGCM3,1.996,1.059,3.3,1.716
NorESM1-M,4.819,1.883,6.182,1.609
20CMIP5ModelMean,4.519,0.807,6.092,1.025
