date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,44.915,-110.368,42.3,0,1.3,34.2,0,0,0,75.7,0,0,66.5,0,0,0
2020-02-15T15:43:35Z,44.915,-110.368,59.9,0,7,58.5,0,0,0,75.7,0,0,95.6,0,0,0
2020-03-17T02:12:39Z,44.915,-110.368,88.2,19.6,3.2,18.8,0,0,0,97.4,98.6,29.7,12.7,0,0,0
2020-04-16T12:41:43Z,44.915,-110.368,98.2,19.5,7.1,0,27.2,1.7,25.4,103.6,43.5,11.4,0,3.1,0,3
2020-05-16T23:10:47Z,44.915,-110.368,92.1,7.5,70,0,68.6,4.8,63.9,99,13.5,54,0,46.5,1.5,45.2
2020-06-16T09:39:51Z,44.915,-110.368,64.9,0,26.5,0,95.4,27.1,68.4,90.3,0.5,43.7,0,84.3,8.1,76.4
2020-07-16T20:08:54Z,44.915,-110.368,48,0,66.6,0,94.1,24.5,69.5,61.6,0,51.2,0,92.6,26.8,66.2
2020-08-16T06:37:58Z,44.915,-110.368,32,0,25.9,0,88.9,45.1,43.5,40.5,0,11.5,0,83.8,45.1,38.7
2020-09-15T17:07:02Z,44.915,-110.368,27.7,0,26.2,0,49.5,24.7,24.6,28,0,33.4,0,52.5,25.5,26.7
2020-10-16T03:36:06Z,44.915,-110.368,30.7,0,26.3,0.1,19.2,9.7,9.4,65.3,0,46.6,0,15,2.2,12.8
2020-11-15T14:05:10Z,44.915,-110.368,51.1,0,5.2,2.7,2.2,0.6,1.4,82,0,2.2,8.5,3.3,0.5,2.8
2020-12-16T00:34:14Z,44.915,-110.368,72.1,0,0,45.1,0,0,0,82.4,0,0,47.3,0,0,0
2021-01-16T05:14:31Z,44.915,-110.368,72.8,0,0.6,79.3,0,0,0,82.4,0,0,65.9,0,0,0
2021-02-15T15:43:35Z,44.915,-110.368,72.8,0,0,80.9,0,0,0,86.1,0,0.3,77.5,0,0,0
2021-03-18T02:12:39Z,44.915,-110.368,87.2,54.4,1.5,0,11.7,0.3,11.2,98,86.8,12.8,0,10.4,0.4,10.1
2021-04-17T12:41:43Z,44.915,-110.368,98.3,14,27.2,0,35.4,1.5,34.1,93.3,11.4,33,0,43.7,3.6,39.5
2021-05-17T23:10:47Z,44.915,-110.368,84.2,5.7,63.4,0,56,6.6,49,97.4,24.1,74.4,0,37.6,0.4,37.3
2021-06-17T09:39:51Z,44.915,-110.368,88.4,3.8,37,0,82,11.3,70.7,98.6,18.4,77.6,0,70.5,2,68.3
2021-07-17T20:08:54Z,44.915,-110.368,86.4,13.8,95.5,0,90.2,10.5,80.1,94.8,6,89.2,0,87.1,4.3,82.8
2021-08-17T06:37:58Z,44.915,-110.368,54.8,0,70.8,0,92.7,24.5,68.4,64.9,0,20.1,0,91.7,26.2,65.2
