date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,44.915,-110.368,70,0,0,63.3,0,0,0
1980-02-15T15:43:35Z,44.915,-110.368,72.2,0,2.2,75.3,0,0,0
1980-03-17T02:12:39Z,44.915,-110.368,88,0,2.6,115.5,0,0,0
1980-04-16T12:41:43Z,44.915,-110.368,96.5,109.6,8.3,0,22.7,1.5,21.3
1980-05-16T23:10:47Z,44.915,-110.368,89.8,10.9,67.8,0,50.4,3.9,46.3
1980-06-16T09:39:51Z,44.915,-110.368,92.8,9,49.5,0,76,6.2,69.8
1980-07-16T20:08:54Z,44.915,-110.368,69.3,0,49.2,0,92.3,21.8,70.7
1980-08-16T06:37:58Z,44.915,-110.368,47.2,0,48,0,68.6,21.4,47.5
1980-09-15T17:07:02Z,44.915,-110.368,67,0,55.9,0,44.8,6.8,38
1980-10-16T03:36:06Z,44.915,-110.368,67.4,0,5.5,0,17.4,5.2,12.3
1980-11-15T14:05:10Z,44.915,-110.368,81.1,0,17.3,10.4,3.9,0.8,2.8
1980-12-16T00:34:14Z,44.915,-110.368,100.9,25.7,8.5,0,0.9,0,0.9
1981-01-16T05:14:31Z,44.915,-110.368,103.3,0,0,11.1,0.4,0,0.4
1981-02-15T15:43:35Z,44.915,-110.368,103.8,41.4,10.9,4.9,0,0,0
1981-03-18T02:12:39Z,44.915,-110.368,103.7,17.3,9,4.5,3,0,2.9
1981-04-17T12:41:43Z,44.915,-110.368,100.6,18.5,20.4,0,24.8,1,23.8
1981-05-17T23:10:47Z,44.915,-110.368,101.7,46,85.8,0,42.2,0.3,41.8
1981-06-17T09:39:51Z,44.915,-110.368,98.8,33.4,77.2,0,67.1,2.4,64.4
1981-07-17T20:08:54Z,44.915,-110.368,61.3,0,32.4,0,92.6,28.4,64.2
1981-08-17T06:37:58Z,44.915,-110.368,36.7,0,15.2,0,82.5,43.6,38.8
1981-09-16T17:07:02Z,44.915,-110.368,24.4,0,20.4,0,50.3,33.3,17
1981-10-17T03:36:06Z,44.915,-110.368,53.3,0,29.5,0,10.8,4.4,6.6
1981-11-16T14:05:10Z,44.915,-110.368,67.4,0,12.6,16,5.6,2.4,3.2
1981-12-17T00:34:14Z,44.915,-110.368,91.3,0,4.2,38.5,0.3,0,0.3
1982-01-16T05:14:31Z,44.915,-110.368,97,0,0,77.4,0,0,0
1982-02-15T15:43:35Z,44.915,-110.368,101.2,59.9,10.5,29.4,0,0,0
1982-03-18T02:12:39Z,44.915,-110.368,103.8,48.5,22.3,30.1,0,0,0
1982-04-17T12:41:43Z,44.915,-110.368,103.7,83.8,23,0,4,0,4
1982-05-17T23:10:47Z,44.915,-110.368,96.2,7.2,34.4,0,41.5,2.4,39.1
1982-06-17T09:39:51Z,44.915,-110.368,95.2,16.2,62.8,0,66.1,4.1,61.7
1982-07-17T20:08:54Z,44.915,-110.368,78.8,0,53.3,0,83.5,13.6,70
1982-08-17T06:37:58Z,44.915,-110.368,50.2,0,33.4,0,82.7,30.8,52.4
1982-09-16T17:07:02Z,44.915,-110.368,50.7,0,38.7,0.3,36.1,17.4,18.8
1982-10-17T03:36:06Z,44.915,-110.368,88.7,0,24.7,1.1,11.4,1,10.4
1982-11-16T14:05:10Z,44.915,-110.368,101,1.9,2,15.7,0.3,0,0.3
1982-12-17T00:34:14Z,44.915,-110.368,103.8,0,0,43.4,0,0,0
1983-01-16T05:14:31Z,44.915,-110.368,103.8,6.5,1.7,53,0,0,0
1983-02-15T15:43:35Z,44.915,-110.368,103.8,28.6,4.6,40.7,0,0,0
1983-03-18T02:12:39Z,44.915,-110.368,103.7,56.4,9.7,9,1.2,0,1.2
1983-04-17T12:41:43Z,44.915,-110.368,101.1,16.4,3.5,0.5,11.3,0.3,10.8
1983-05-17T23:10:47Z,44.915,-110.368,97.9,11.6,15.3,0,29.4,3.1,26.5
1983-06-17T09:39:51Z,44.915,-110.368,73.4,0,37.3,0,64.6,10.4,54
1983-07-17T20:08:54Z,44.915,-110.368,78.8,0,76.9,0,83.4,12.7,70.8
1983-08-17T06:37:58Z,44.915,-110.368,58.3,0,37.4,0,82.8,23.8,58.7
1983-09-16T17:07:02Z,44.915,-110.368,52.9,0,57.7,0,38.2,11.4,26.8
1983-10-17T03:36:06Z,44.915,-110.368,99.1,14.2,37.4,0,16.6,0.4,15.9
1983-11-16T14:05:10Z,44.915,-110.368,103.3,15.8,19.7,22.9,0.6,0,0.5
1983-12-17T00:34:14Z,44.915,-110.368,103.8,0,0,56.9,0,0,0
1984-01-16T05:14:31Z,44.915,-110.368,103.8,0,0,67.1,0,0,0
1984-02-15T15:43:35Z,44.915,-110.368,103.8,0,0,77.9,0,0,0
1984-03-17T02:12:39Z,44.915,-110.368,103.8,36.1,7.9,60.9,0,0,0
1984-04-16T12:41:43Z,44.915,-110.368,103.5,75.6,9.1,13,3.5,0,3.5
1984-05-16T23:10:47Z,44.915,-110.368,100.5,40.3,40.9,0,39.3,1.4,37.9
1984-06-16T09:39:51Z,44.915,-110.368,92.2,14.4,40.2,0,57.6,6.7,50.6
1984-07-16T20:08:54Z,44.915,-110.368,66.6,0,70.2,0,91.5,19.8,71.4
1984-08-16T06:37:58Z,44.915,-110.368,66.2,0,53.6,0,77.2,15.7,61.4
1984-09-15T17:07:02Z,44.915,-110.368,70.3,0,35.4,0,29.7,9.5,20.4
1984-10-16T03:36:06Z,44.915,-110.368,85.6,0,0.2,11.9,12.1,1.6,10.3
1984-11-15T14:05:10Z,44.915,-110.368,98.4,0.5,7.7,14.5,0,0,0
1984-12-16T00:34:14Z,44.915,-110.368,103.8,0,0,39.4,0,0,0
1985-01-16T05:14:31Z,44.915,-110.368,103.8,0,0,54.8,0,0,0
1985-02-15T15:43:35Z,44.915,-110.368,103.8,0,0,74.4,0,0,0
1985-03-18T02:12:39Z,44.915,-110.368,103.8,10.5,1.5,91.7,0,0,0
1985-04-17T12:41:43Z,44.915,-110.368,99,96.9,3,0,19.7,0.8,18.6
1985-05-17T23:10:47Z,44.915,-110.368,91.3,0,32.4,0,51.8,4.2,47.4
1985-06-17T09:39:51Z,44.915,-110.368,76.8,0,39.1,0,74.2,13.7,60.9
1985-07-17T20:08:54Z,44.915,-110.368,52,0,62.5,0,94.3,28.7,65.8
1985-08-17T06:37:58Z,44.915,-110.368,53.8,0,26.7,0,67.4,24.3,43.2
1985-09-16T17:07:02Z,44.915,-110.368,70.5,0,55,0.1,26,6,20.1
1985-10-17T03:36:06Z,44.915,-110.368,96.8,0,1.7,0,12.2,0.4,11.8
1985-11-16T14:05:10Z,44.915,-110.368,99.2,0,0.9,52.5,0.5,0,0.5
1985-12-17T00:34:14Z,44.915,-110.368,99.3,0,0,70.3,0,0,0
1986-01-16T05:14:31Z,44.915,-110.368,99.9,0.8,1,88.2,0,0,0
1986-02-15T15:43:35Z,44.915,-110.368,103.8,42.7,14.4,86.6,0,0,0
1986-03-18T02:12:39Z,44.915,-110.368,103.3,116.2,26.3,0.3,6.1,0,6.1
1986-04-17T12:41:43Z,44.915,-110.368,100.8,23.5,26.5,7,12.7,0.2,12.2
1986-05-17T23:10:47Z,44.915,-110.368,97.1,17.7,19.1,0,41.6,3.6,37.9
1986-06-17T09:39:51Z,44.915,-110.368,73.4,0,46.9,0,82.1,15.7,66.2
1986-07-17T20:08:54Z,44.915,-110.368,62,0,77.9,0,79.1,13.2,66
1986-08-17T06:37:58Z,44.915,-110.368,59.7,0,44.7,0,76.5,19.6,56.8
1986-09-16T17:07:02Z,44.915,-110.368,71,0,48.2,1,26.8,6.3,20.4
1986-10-17T03:36:06Z,44.915,-110.368,92.8,0,7.7,4.1,16.9,1.9,15.3
1986-11-16T14:05:10Z,44.915,-110.368,96.3,0,2,34.7,0.6,0,0.6
1986-12-17T00:34:14Z,44.915,-110.368,96.7,0,0,38.4,0,0,0
1987-01-16T05:14:31Z,44.915,-110.368,96.7,0,0,56.1,0,0,0
1987-02-15T15:43:35Z,44.915,-110.368,96.7,0,0,67.2,0,0,0
1987-03-18T02:12:39Z,44.915,-110.368,103.1,80.9,8.2,4.2,0,0,0
1987-04-17T12:41:43Z,44.915,-110.368,97.3,5.1,3.3,0,32.4,2.5,30
1987-05-17T23:10:47Z,44.915,-110.368,82.6,3.1,72.8,0,58.1,8.3,49.9
1987-06-17T09:39:51Z,44.915,-110.368,91.1,6.3,47.2,0,76.6,6.8,69.7
1987-07-17T20:08:54Z,44.915,-110.368,87.2,12.3,100.7,0,83.4,8.2,74.9
1987-08-17T06:37:58Z,44.915,-110.368,73.6,0,39.2,0,69.1,15.6,53.6
1987-09-16T17:07:02Z,44.915,-110.368,59.8,0,4.9,0,46,17.3,28.7
1987-10-17T03:36:06Z,44.915,-110.368,44.5,0,1.2,0,21,11.7,8.9
1987-11-16T14:05:10Z,44.915,-110.368,48.5,0,7.9,5.9,2.8,1.5,1.3
1987-12-17T00:34:14Z,44.915,-110.368,55.5,0,0.3,24.2,0,0,0
1988-01-16T05:14:31Z,44.915,-110.368,56.1,0,0,46,0,0,0
1988-02-15T15:43:35Z,44.915,-110.368,56.5,0,0,60,0,0,0
1988-03-17T02:12:39Z,44.915,-110.368,76.4,0,1.5,38.6,0,0,0
1988-04-16T12:41:43Z,44.915,-110.368,102,72.7,36.3,1.1,16.6,0.4,16.2
1988-05-16T23:10:47Z,44.915,-110.368,93.4,35.7,51.5,0,49.9,5,44.9
1988-06-16T09:39:51Z,44.915,-110.368,66.9,0,19.7,0,92.4,26.5,65.5
1988-07-16T20:08:54Z,44.915,-110.368,34,0,17.6,0,99.1,56.9,42.2
1988-08-16T06:37:58Z,44.915,-110.368,15.9,0,4.1,0,75.8,60,15.4
1988-09-15T17:07:02Z,44.915,-110.368,11.2,0,9.6,0,37.6,28.4,9
1988-10-16T03:36:06Z,44.915,-110.368,13.2,0,6.3,0,26.4,21.6,5.1
1988-11-15T14:05:10Z,44.915,-110.368,16.8,0,3.1,35.2,1,0.6,0.4
1988-12-16T00:34:14Z,44.915,-110.368,17.7,0,0,53.4,0,0,0
1989-01-16T05:14:31Z,44.915,-110.368,17.7,0,0,90.5,0,0,0
1989-02-15T15:43:35Z,44.915,-110.368,17.7,0,0,117.3,0,0,0
1989-03-18T02:12:39Z,44.915,-110.368,78.6,34.6,15.5,53.6,0,0,0
1989-04-17T12:41:43Z,44.915,-110.368,101.7,69.3,17.5,0,16.8,0.6,16.2
1989-05-17T23:10:47Z,44.915,-110.368,101.2,38.7,68,0,41.8,0.6,41.3
1989-06-17T09:39:51Z,44.915,-110.368,87.3,0,39.2,0,72.2,8,64.2
1989-07-17T20:08:54Z,44.915,-110.368,55.1,0,36.6,0,99.6,32.8,66.7
1989-08-17T06:37:58Z,44.915,-110.368,38.1,0,38.2,0,71.3,28.9,42.3
1989-09-16T17:07:02Z,44.915,-110.368,33.6,0,12.4,0,42.9,23,20
1989-10-17T03:36:06Z,44.915,-110.368,55.2,0,37.2,12.9,12.6,5.5,7.5
1989-11-16T14:05:10Z,44.915,-110.368,78.7,0,3.2,8.7,1.5,0.1,1.4
1989-12-17T00:34:14Z,44.915,-110.368,85.1,0,0,51.4,0,0,0
1990-01-16T05:14:31Z,44.915,-110.368,85.1,0,0,82.5,0,0,0
1990-02-15T15:43:35Z,44.915,-110.368,85.1,0,0,95.1,0,0,0
1990-03-18T02:12:39Z,44.915,-110.368,96.3,24.7,4.2,71.4,0,0,0
1990-04-17T12:41:43Z,44.915,-110.368,100.9,78.5,19.1,12.7,20.3,0.4,19.8
1990-05-17T23:10:47Z,44.915,-110.368,101.9,41.4,49.1,0,34,0.2,33.8
1990-06-17T09:39:51Z,44.915,-110.368,91.4,0.6,38.3,0,71.8,7.8,64.3
1990-07-17T20:08:54Z,44.915,-110.368,54.1,0,33.9,0,90.1,30.6,59.3
1990-08-17T06:37:58Z,44.915,-110.368,44.9,0,46.5,0,78.3,30.5,47.6
1990-09-16T17:07:02Z,44.915,-110.368,40.9,0,23.1,0,54.3,24.7,29.4
1990-10-17T03:36:06Z,44.915,-110.368,58.9,0,9.2,0,10.4,2.3,8.2
1990-11-16T14:05:10Z,44.915,-110.368,72.4,0,0.4,9.3,1.9,0.4,1.5
1990-12-17T00:34:14Z,44.915,-110.368,73.2,0,0,36.7,0,0,0
1991-01-16T05:14:31Z,44.915,-110.368,73.2,0,0,51.4,0,0,0
1991-02-15T15:43:35Z,44.915,-110.368,79.4,0,4.7,45,0,0,0
1991-03-18T02:12:39Z,44.915,-110.368,93.6,0,4.5,67.6,0,0,0
1991-04-17T12:41:43Z,44.915,-110.368,103.6,109.4,16.1,7.4,5,0,5
1991-05-17T23:10:47Z,44.915,-110.368,99.7,80.7,87.5,0,37.8,0.9,37
1991-06-17T09:39:51Z,44.915,-110.368,72.2,0,24.5,0,74.2,16.2,58.1
1991-07-17T20:08:54Z,44.915,-110.368,40.7,0,20.2,0,94.8,46.7,48.6
1991-08-17T06:37:58Z,44.915,-110.368,25.6,0,26.6,0,83.7,47.8,35.7
1991-09-16T17:07:02Z,44.915,-110.368,39.5,0,46.6,0,41.5,18.1,23.3
1991-10-17T03:36:06Z,44.915,-110.368,44.5,0,5.3,37,16.4,9,7
1991-11-16T14:05:10Z,44.915,-110.368,46.4,0,0.9,74.4,0,0,0
1991-12-17T00:34:14Z,44.915,-110.368,46.8,0,0,97.7,0,0,0
1992-01-16T05:14:31Z,44.915,-110.368,46.8,0,0,101.8,0,0,0
1992-02-15T15:43:35Z,44.915,-110.368,50.5,0,1.9,99.9,0,0,0
1992-03-17T02:12:39Z,44.915,-110.368,101.6,73.1,8.8,0,3.8,0,3.8
1992-04-16T12:41:43Z,44.915,-110.368,100.6,27.1,34,0,26.3,1,25.3
1992-05-16T23:10:47Z,44.915,-110.368,87.3,0,53.3,0,58.6,5.7,53.2
1992-06-16T09:39:51Z,44.915,-110.368,95.8,52.2,127.8,0,73.8,2.2,71.5
1992-07-16T20:08:54Z,44.915,-110.368,96.4,4.5,61.1,0,78.4,4.3,74.4
1992-08-16T06:37:58Z,44.915,-110.368,61.5,0,20.6,0,73.9,21.6,52.1
1992-09-15T17:07:02Z,44.915,-110.368,66.3,0,40.7,0,38.5,9.5,28.8
1992-10-16T03:36:06Z,44.915,-110.368,81.9,0,25.4,0.4,15.1,3.5,11.6
1992-11-15T14:05:10Z,44.915,-110.368,91.2,0,0.9,25,0,0,0
1992-12-16T00:34:14Z,44.915,-110.368,91.4,0,0,65.6,0,0,0
1993-01-16T05:14:31Z,44.915,-110.368,91.4,0,0,91.8,0,0,0
1993-02-15T15:43:35Z,44.915,-110.368,91.4,0,0,109.7,0,0,0
1993-03-18T02:12:39Z,44.915,-110.368,98.7,122.4,19.4,0,1.7,0,1.7
1993-04-17T12:41:43Z,44.915,-110.368,103.6,52.9,34.4,2.1,5.7,0,5.7
1993-05-17T23:10:47Z,44.915,-110.368,98.2,24,59.9,0,56.4,2.3,54.2
1993-06-17T09:39:51Z,44.915,-110.368,97.1,28,74.1,0,56.4,2.8,53.7
1993-07-17T20:08:54Z,44.915,-110.368,93.6,0,74.1,0,70.3,3.7,66.6
1993-08-17T06:37:58Z,44.915,-110.368,79.5,0,34.5,0,67,8.9,58.1
1993-09-16T17:07:02Z,44.915,-110.368,57.3,0,7.4,0,40.5,15.8,24.6
1993-10-17T03:36:06Z,44.915,-110.368,58.8,0,14.6,0.2,14.2,5,9
1993-11-16T14:05:10Z,44.915,-110.368,63.8,0,0,17.2,0,0,0
1993-12-17T00:34:14Z,44.915,-110.368,65,0,0,35.5,0,0,0
1994-01-16T05:14:31Z,44.915,-110.368,65.6,0,0,55.6,0,0,0
1994-02-15T15:43:35Z,44.915,-110.368,65.6,0,0,91.7,0,0,0
1994-03-18T02:12:39Z,44.915,-110.368,101.4,77.4,5.4,0,1.2,0,1.2
1994-04-17T12:41:43Z,44.915,-110.368,99.3,13.6,10,0.1,20.1,0.9,19
1994-05-17T23:10:47Z,44.915,-110.368,93.5,0,50.4,0,59.3,3.1,56.5
1994-06-17T09:39:51Z,44.915,-110.368,91.3,6.4,60,0,73.6,6.1,67.3
1994-07-17T20:08:54Z,44.915,-110.368,68.8,0,41.5,0,89,20.8,68
1994-08-17T06:37:58Z,44.915,-110.368,37.3,0,17.1,0,82.1,41,41
1994-09-16T17:07:02Z,44.915,-110.368,26.3,0,18.4,0,48.7,27.2,21.3
1994-10-17T03:36:06Z,44.915,-110.368,42.9,0,19.7,2.3,12.2,4,8.3
