date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,37.29823699,-113.026442,42.6,29.1,29.3,1,7.1,0.1,6.9,39.4,25.8,33.2,0,9.9,0.9,8.7
2020-02-15T15:43:35Z,37.29823699,-113.026442,36.4,0,6,0,25.2,3.9,21.3,41.3,18.7,9.8,0,4.5,0.2,4.3
2020-03-17T02:12:39Z,37.29823699,-113.026442,37.1,57.4,78.9,0,41.1,4.9,36,33.1,0,2.9,0,33.5,7.7,25.5
2020-04-16T12:41:43Z,37.29823699,-113.026442,21.2,0,15.1,0,67.9,32.8,35.2,28.4,6.6,35,0,57.3,20.6,37.1
2020-05-16T23:10:47Z,37.29823699,-113.026442,4.4,0,5,0,93.1,80.5,12.8,7.8,0,2.8,0,88.3,70.5,17.8
2020-06-16T09:39:51Z,37.29823699,-113.026442,0.5,0,3.8,0,120.3,114.6,4.7,7.7,0,46.9,0,123.5,87.9,35.9
2020-07-16T20:08:54Z,37.29823699,-113.026442,7.3,0,47.9,0,135.2,91.4,43.4,4,0,15.2,0,140.8,112.7,28
2020-08-16T06:37:58Z,37.29823699,-113.026442,4.7,0,39,0,124.2,83.8,40.4,1.2,0,32.2,0,118.6,92.1,26.1
2020-09-15T17:07:02Z,37.29823699,-113.026442,22.6,0,78.9,0,79.7,33.6,46.4,2.9,0,7.1,0,84.1,72.3,12.6
2020-10-16T03:36:06Z,37.29823699,-113.026442,19.5,0,5.2,0,58,27.3,30.4,0.5,0,0.9,0,52.7,51,1.2
2020-11-15T14:05:10Z,37.29823699,-113.026442,24,0,27.2,0,23.4,7.5,15.9,4.6,0,11.4,0,23.2,18.8,4.3
2020-12-16T00:34:14Z,37.29823699,-113.026442,37.4,0.4,25.9,0,11.1,0.7,10.3,11.1,0,9.9,2.1,6.2,4.9,1.2
2021-01-16T05:14:31Z,37.29823699,-113.026442,37,0.7,6.8,0.2,18.1,2,15.8,27.5,0,3.7,0,13.6,4.5,8.8
2021-02-15T15:43:35Z,37.29823699,-113.026442,42.6,78.4,80.9,4.4,12.1,0.2,12,38.5,4.6,9.5,0,9.2,0.5,8.6
2021-03-18T02:12:39Z,37.29823699,-113.026442,34.2,6.1,13.8,4.4,28.4,4.9,23.7,33.2,0,5,4.6,25.6,6.8,18.9
2021-04-17T12:41:43Z,37.29823699,-113.026442,31.5,0,25.5,0,48.4,12,36.1,23.2,0,9.4,0,51.6,23.9,28.2
2021-05-17T23:10:47Z,37.29823699,-113.026442,16.7,0,10.4,0,106.5,68.1,38.3,9.5,0,38.8,0,100.3,62,38
2021-06-17T09:39:51Z,37.29823699,-113.026442,1.1,0,5.2,0,126.5,118,8.4,4.7,0,3.7,0,119.1,103,15.8
2021-07-17T20:08:54Z,37.29823699,-113.026442,0.5,0,29.4,0,147.3,122.4,24.8,16.4,14.9,97.8,0,134.2,65.9,68.3
2021-08-17T06:37:58Z,37.29823699,-113.026442,12,0,74,0,126,65.5,60.5,8.5,0,38.5,0,121.4,72.7,48.9
